Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,
Timestamp,Timestamp,System Timestamp,Low Noise Accelerometer X,Low Noise Accelerometer X,Low Noise Accelerometer Y,Low Noise Accelerometer Y,Low Noise Accelerometer Z,Low Noise Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,VSenseBatt,VSenseBatt,External ADC A7,External ADC A7,External ADC A6,External ADC A6,External ADC A15,External ADC A15,Internal ADC A13,Internal ADC A13,Pressure,Pressure,Temperature,Temperature,GSR,GSR,GSR Conductance,
RAW,CAL,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,CAL,
no units,mSecs,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,mVolts,no units,mVolts,no units,mVolts,no units,mVolts,no units,mVolts,no units,kPa,no units,Celcius*,no units,kOhms,uSiemens,
14102016,113100713.439941,1711746168433.69,12021,-700.240963855422,60167,-120.168674698795,5382,-40.1807228915663,-15617,398.656488549618,-26112,238.427480916031,8959,-136.778625954198,-31739,-46225.0051282051,9225,6758.24175824176,64776,47454.945054945,46855,34326.0073260073,13320,9758.24175824176,3994.35546875,2.73158693397867,54642,162.477326662858,48136,284.671532846715,3.51282051282051,
14134784,113101713.439941,1711746169433.69,12277,-697.156626506024,59911,-123.253012048193,5638,-43.2650602409639,-15617,433.832061068702,-28416,238.427480916031,9471,-144.595419847328,-27899,-40632.3897435897,18697,13697.4358974359,17928,13134.0659340659,31496,23073.9926739927,13064,9570.69597069597,3994.35546875,2.26608412700662,52850,153.462921415624,48392,257.207461842849,3.88791208791209,
14167552,113102713.439941,1711746170433.69,12277,-700.240963855422,60167,-123.253012048193,5382,-40.1807228915663,-15617,363.480916030534,-23808,238.427480916031,8191,-125.053435114504,-29947,-43615.1179487179,18185,13322.3443223443,25096,18385.347985348,47112,34514.2857142857,12808,9383.15018315018,3994.35546875,2.06232715784034,52082,149.591446711184,48136,284.671532846715,3.51282051282051,
14200320,113103713.439941,1711746171433.69,12277,-694.072289156627,59655,-123.253012048193,5126,-37.0963855421687,-15617,383.022900763359,-25088,238.427480916031,9471,-144.595419847328,31237,45493.8871794872,4873,3569.96336996337,16649,12197.0695970696,27912,20448.3516483516,12552,9195.60439560439,3994.36328125,3.11869312744309,56178,170.184978228763,48392,257.207461842849,3.88791208791209,
14233088,113104713.439941,1711746172433.69,12533,-703.325301204819,60423,-126.33734939759,5382,-40.1807228915663,-15617,328.30534351145,-21504,238.427480916031,10751,-164.137404580153,-27899,-40632.3897435897,44809,32827.1062271062,19720,14446.8864468864,32520,23824.1758241758,13064,9570.69597069597,3994.36328125,1.8562039605257,51314,145.714599396085,48392,257.207461842849,3.88791208791209,
14265856,113105713.439941,1711746173433.69,12533,-703.325301204819,60423,-126.33734939759,5894,-46.3493975903614,-15617,383.022900763359,-25088,238.427480916031,7935,-121.145038167939,-31739,-46225.0051282051,22793,16698.1684981685,34312,25136.9963369963,54536,39953.1135531136,12807,9382.41758241758,3994.36328125,2.46736542426587,53618,157.329363533413,48392,257.207461842849,3.88791208791209,
14298624,113106713.439941,1711746174433.69,12789,-700.240963855422,60167,-129.421686746988,5638,-43.2650602409639,-15617,410.381679389313,-26880,238.427480916031,7167,-109.419847328244,-31483,-45852.1641025641,15369,11259.3406593407,23304,17072.5274725275,33544,24574.358974359,12552,9195.60439560439,3994.359375,3.79662450932363,58994,184.276857774788,48392,257.207461842849,3.88791208791209,
14331392,113107713.439941,1711746175433.69,12277,-700.240963855422,60167,-123.253012048193,5638,-43.2650602409639,-15617,394.748091603053,-25856,238.427480916031,9471,-144.595419847328,-31739,-46225.0051282051,9993,7320.87912087912,7432,5444.68864468864,60936,44641.7582417582,12295,9007.32600732601,3994.359375,1.57778395274879,50290,140.536465421763,48136,284.671532846715,3.51282051282051,
14364160,113108713.439941,1711746176433.69,12533,-706.409638554217,60679,-126.33734939759,5894,-46.3493975903614,-15617,351.75572519084,-23040,238.427480916031,8959,-136.778625954198,-31995,-46597.8461538461,8713,6383.15018315018,62216,45579.4871794872,37895,27761.9047619048,12552,9195.60439560439,3994.359375,2.33346628442219,53106,154.752278678203,48392,257.207461842849,3.88791208791209,
14396928,113109713.439941,1711746177433.69,11765,-703.325301204819,60423,-117.084337349398,5126,-37.0963855421687,-15617,414.290076335878,-27136,238.427480916031,9471,-144.595419847328,-28411,-41378.0717948718,16393,12009.5238095238,10504,7695.23809523809,6408,4694.50549450549,12296,9008.05860805861,3994.359375,2.26609828078563,52850,153.462921415624,48136,284.671532846715,3.51282051282051,
14429696,113110713.439941,1711746178433.69,12021,-703.325301204819,60423,-120.168674698795,5382,-40.1807228915663,-15617,375.206106870229,-24576,238.427480916031,10751,-164.137404580153,-28667,-41750.9128205128,18441,13509.8901098901,20488,15009.5238095238,27656,20260.8058608059,12296,9008.05860805861,3994.359375,2.46735120995759,53618,157.329363533413,48392,257.207461842849,3.88791208791209,
14462464,113111713.439941,1711746179433.69,12533,-709.493975903614,60935,-126.33734939759,5382,-40.1807228915663,-15617,351.75572519084,-23040,238.427480916031,11007,-168.045801526718,30725,44748.2051282051,3337,2444.68864468864,9993,7320.87912087912,3080,2256.41025641026,12296,9008.05860805861,3994.359375,2.19845205312616,52594,152.173005207607,48392,257.207461842849,3.88791208791209,
14495232,113112713.439941,1711746180433.69,12533,-703.325301204819,60423,-126.33734939759,5382,-40.1807228915663,-15617,398.656488549618,-26112,238.427480916031,9471,-144.595419847328,30213,44002.5230769231,24329,17823.4432234432,55305,40516.4835164835,45832,33576.5567765568,12296,9008.05860805861,3994.3515625,2.66596050423696,54386,161.19108498859,48392,257.207461842849,3.88791208791209,
14528000,113113713.439941,1711746181433.69,12277,-703.325301204819,60423,-123.253012048193,5126,-37.0963855421687,-15617,359.572519083969,-23552,238.427480916031,5631,-85.969465648855,-31483,-45852.1641025641,44553,32639.5604395604,33544,24574.358974359,56584,41453.4798534799,12551,9194.87179487179,3994.3515625,2.53383142819166,53874,158.617113885824,48392,257.207461842849,3.88791208791209,
14560768,113114713.439941,1711746182433.69,12789,-709.493975903614,60935,-129.421686746988,5894,-46.3493975903614,-15617,340.030534351145,-22272,238.427480916031,8959,-136.778625954198,-30715,-44733.641025641,24841,18198.5347985348,44040,32263.7362637363,9480,6945.05494505494,12296,9008.05860805861,3994.3515625,1.71745114766967,50802,143.126867745139,48392,257.207461842849,3.88791208791209,
14593536,113115713.439941,1711746183433.69,12021,-694.072289156627,59655,-120.168674698795,4614,-30.9277108433735,-15617,398.656488549618,-26112,238.427480916031,8191,-125.053435114504,-28155,-41005.2307692308,24073,17635.8974358974,47112,34514.2857142857,23304,17072.5274725275,13320,9758.24175824176,3994.35546875,2.26608412700662,52850,153.462921415624,48136,284.671532846715,3.51282051282051,
14626304,113116713.439941,1711746184433.69,11765,-697.156626506024,59911,-117.084337349398,4614,-30.9277108433735,-15617,394.748091603053,-25856,238.427480916031,11263,-171.954198473282,-27643,-40259.5487179487,24073,17635.8974358974,48392,35452.0146520147,32264,23636.63003663,12808,9383.15018315018,3994.35546875,2.06232715784034,52082,149.591446711184,48392,257.207461842849,3.88791208791209,
14659072,113117713.439941,1711746185433.69,12533,-700.240963855422,60167,-126.33734939759,5126,-37.0963855421687,-15617,441.648854961832,-28928,238.427480916031,12543,-191.496183206107,-28155,-41005.2307692308,23561,17260.8058608059,47112,34514.2857142857,28936,21198.5347985348,13064,9570.69597069597,3994.35546875,2.53384566221481,53874,158.617113885824,48136,284.671532846715,3.51282051282051,
