model,scene,mean_r2,std_r2,n_seeds
LSTM,Hallway,0.22034861445426937,0.03101293802556718,10
LSTM,Hall,0.15714280605316158,0.020290715259091686,10
LSTM,Elevator,0.03810907602310176,0.004773561788087036,10
LSTM,Outside,-0.02785363197326656,0.011171368830866368,10
GRU,Hallway,0.2547472596168518,0.023509990954745402,10
GRU,Hall,0.1679904460906982,0.01261699344318752,10
GRU,Elevator,0.05352666378021235,0.01090110237589033,10
GRU,Outside,-0.03995690345764156,0.013931338133495352,10
GRU_Attn,Hallway,0.3420921802520752,0.04266364089047258,10
GRU_Attn,Hall,0.13837813138961788,0.021043555445492187,10
GRU_Attn,Elevator,0.1049417674541473,0.010625075304177299,10
GRU_Attn,Outside,-0.029869759082794135,0.01651017771605331,10
