param,coef,std_err,z,p_value
Intercept,4.443229287068312,0.16960585833510122,26.197380978960865,2.8464179810242884e-151
C(scene)[T.Outside],0.4971479056088731,0.17402258664445017,2.8568010348254864,0.00427933993987377
C(scene)[T.Hallway],-1.1719093046658688,0.17402258664445017,-6.73423678651683,1.647926253386345e-11
C(scene)[T.Elevator2],-0.8056223037316802,0.17402258664445017,-4.6294123036894455,3.6670498336774638e-06
C(scene)[T.Hall],-0.9760351825362917,0.17402258664445017,-5.608669548915816,2.038878955594801e-08
SSQ_z,0.4066675764524132,0.1697660906413476,2.3954582149832855,0.016599606148042647
C(scene)[T.Outside]:SSQ_z,0.021800547132923735,0.17418699158111156,0.12515600008380726,0.9004000501197319
C(scene)[T.Hallway]:SSQ_z,-0.10854181433550977,0.17418699158111156,-0.6231338709639888,0.5331965533375237
C(scene)[T.Elevator2]:SSQ_z,0.11912633357099969,0.17418699158111156,0.6838991390211109,0.4940388577507565
C(scene)[T.Hall]:SSQ_z,0.1499625629136086,0.17418699158111156,0.8609286006514288,0.3892773683472669
