SubjectID, Time, X, Y, Z
39166, 150.4898, -6.5175, 0.1105734, 7.351834
39166, 150.5098, -6.522737, 0.2841679, 7.327674
39166, 150.532, -6.522814, 0.2841671, 7.327067
39166, 150.5762, -6.522883, 0.2844564, 7.325978
39166, 150.596, -6.52265, 0.2845442, 7.322917
39166, 150.6163, -6.522105, 0.2845642, 7.3168
39166, 150.6372, -6.521145, 0.2845581, 7.307694
39166, 150.6594, -6.519528, 0.2848277, 7.293823
39166, 150.6826, -6.51768, 0.2846974, 7.276103
39166, 150.7048, -6.516603, 0.2846893, 7.264952
39166, 150.8624, -6.515976, 0.2847528, 7.26422
39166, 150.8853, -6.515952, 0.2848911, 7.264292
39166, 150.9069, -6.515782, 0.2849708, 7.264574
39166, 150.9277, -6.515821, 0.2848639, 7.264671
39166, 150.9496, -6.515736, 0.284953, 7.264878
39166, 150.9708, -6.515718, 0.2851101, 7.265311
39166, 151.043, -6.515123, 0.2852726, 7.266908
39166, 151.0641, -6.515191, 0.2853238, 7.267266
39166, 151.0894, -6.515394, 0.2854226, 7.267949
39166, 151.1596, -6.516577, 0.2862049, 7.270444
39166, 151.2118, -6.517068, 0.2865209, 7.272263
39166, 151.3519, -6.518902, 0.2869812, 7.2775
39166, 151.4374, -6.520056, 0.2880153, 7.280147
39166, 151.511, -6.520872, 0.2884913, 7.281492
39166, 151.5351, -6.521128, 0.2887275, 7.281706
39166, 151.5598, -6.52131, 0.2891414, 7.28214
39166, 151.5834, -6.521351, 0.2890868, 7.282603
39166, 151.6097, -6.521695, 0.2891858, 7.282776
39166, 151.7209, -6.522009, 0.2889391, 7.284328
39166, 151.7426, -6.52223, 0.2888948, 7.284857
39166, 151.7894, -6.522141, 0.289025, 7.285431
39166, 151.8139, -6.522299, 0.2888683, 7.285743
39166, 151.8368, -6.522491, 0.2884811, 7.286261
39166, 151.9078, -6.522596, 0.288154, 7.287983
39166, 151.9302, -6.522539, 0.2882072, 7.28869
39166, 151.9722, -6.523064, 0.2885798, 7.290118
