SubjectID, Time, X, Y, Z
39166, 150.4898, 355.3364, 190.9644, 1.061466
39166, 150.5098, 356.3347, 191.0396, 0.8278834
39166, 150.532, 356.3809, 191.0035, 0.8180554
39166, 150.5535, 356.4245, 190.9732, 0.8502
39166, 150.5762, 356.4404, 190.9296, 0.8646466
39166, 150.596, 356.453, 190.9, 0.8860118
39166, 150.6163, 356.4518, 190.8811, 0.9067878
39166, 150.6372, 356.4218, 190.8596, 0.9484602
39166, 150.6594, 356.398, 190.8379, 0.9764412
39166, 150.6826, 356.3814, 190.7999, 1.015695
39166, 150.7048, 356.3642, 190.8026, 1.036771
39166, 150.7261, 356.3924, 190.7964, 1.053766
39166, 150.7482, 356.4319, 190.7993, 1.05796
39166, 150.7718, 356.4894, 190.8023, 1.073397
39166, 150.7927, 356.5022, 190.8105, 1.07165
39166, 150.8149, 356.506, 190.7855, 1.093253
39166, 150.8385, 356.4796, 190.7607, 1.109763
39166, 150.8624, 356.4723, 190.7418, 1.115597
39166, 150.8853, 356.4479, 190.7466, 1.114081
39166, 150.9069, 356.4402, 190.7919, 1.120744
39166, 150.9277, 356.4397, 190.8486, 1.107322
39166, 150.9496, 356.4045, 190.9339, 1.092656
39166, 150.9708, 356.3747, 191.0075, 1.123672
39166, 150.9957, 356.2936, 191.0941, 1.137869
39166, 151.0173, 356.27, 191.1934, 1.144326
39166, 151.043, 356.239, 191.3471, 1.148265
39166, 151.0641, 356.1917, 191.548, 1.120107
39166, 151.0894, 356.1639, 191.786, 1.073195
39166, 151.1166, 356.05, 192.278, 1.044805
39166, 151.1398, 355.9245, 192.6955, 1.014496
39166, 151.1596, 355.7486, 193.1188, 0.9666101
39166, 151.1858, 355.5753, 193.5411, 0.8852667
39166, 151.2118, 355.4096, 193.9579, 0.8593208
39166, 151.232, 355.2935, 194.3727, 0.7935513
39166, 151.2538, 355.1746, 194.7702, 0.739521
39166, 151.2781, 355.0555, 195.1844, 0.6667975
39166, 151.3074, 354.928, 195.7003, 0.57257
39166, 151.3285, 354.8539, 196.0228, 0.5116839
39166, 151.3519, 354.7695, 196.3518, 0.4637694
39166, 151.3728, 354.6805, 196.6609, 0.4400941
39166, 151.3938, 354.6017, 196.9956, 0.4734324
39166, 151.4146, 354.4917, 197.4286, 0.5409398
39166, 151.4374, 354.3311, 197.8981, 0.640402
39166, 151.4632, 354.2191, 198.3823, 0.6991844
39166, 151.4863, 354.1516, 198.8334, 0.72576
39166, 151.511, 353.9816, 199.2606, 0.7472844
39166, 151.5351, 353.7878, 199.6537, 0.7513671
39166, 151.5598, 353.6022, 200.174, 0.7780156
39166, 151.5834, 353.5093, 200.5208, 0.778062
39166, 151.6097, 353.4847, 200.8497, 0.777302
39166, 151.6316, 353.5035, 201.1453, 0.7801445
39166, 151.6532, 353.609, 201.4312, 0.7238554
39166, 151.6782, 353.6708, 201.6961, 0.6655717
39166, 151.7, 353.6183, 201.9895, 0.6233803
39166, 151.7209, 353.4906, 202.2382, 0.6407088
39166, 151.7426, 353.4259, 202.5165, 0.6369333
39166, 151.764, 353.4254, 202.7769, 0.6090409
39166, 151.7894, 353.392, 203.0272, 0.576041
39166, 151.8139, 353.3891, 203.2053, 0.5425766
39166, 151.8368, 353.5719, 203.4646, 0.600685
39166, 151.8588, 353.7626, 203.6515, 0.622535
39166, 151.8846, 354.0198, 203.8318, 0.6656672
39166, 151.9078, 354.1776, 204.0646, 0.7183147
39166, 151.9302, 354.1831, 204.2991, 0.7251594
39166, 151.9518, 354.0932, 204.5326, 0.7382247
39166, 151.9722, 353.9688, 204.8138, 0.7652556
39166, 151.9941, 353.876, 205.2461, 0.7766875
39166, 152.0162, 353.8277, 205.9442, 0.7722738
39166, 152.0416, 353.7931, 206.8453, 0.7940056
39166, 152.0646, 353.6968, 208.0937, 0.831578
39166, 152.0911, 353.7005, 209.7503, 0.8147036
39166, 152.1155, 353.819, 212.8408, 0.7328445
39166, 152.1382, 353.9337, 215.179, 0.5936312
39166, 152.1653, 354.0285, 217.748, 0.5251718
39166, 152.1909, 354.0672, 220.5351, 0.4927242
39166, 152.2116, 354.061, 223.3741, 0.4396292
39166, 152.2319, 354.0383, 226.323, 0.4021209
39166, 152.2552, 354.0161, 229.2217, 0.2987604
39166, 152.2809, 353.8766, 233.4115, 0.1689817
39166, 152.3033, 353.8282, 236.0851, 0.03338458
39166, 152.3253, 353.8969, 238.7395, 359.9221
39166, 152.3475, 353.9472, 241.2553, 359.7897
39166, 152.3716, 353.9413, 243.5988, 359.5894
39166, 152.3939, 353.9139, 245.8376, 359.3714
39166, 152.4191, 353.9593, 247.9921, 359.1467
39166, 152.4418, 354.023, 249.9374, 358.8686
39166, 152.4629, 354.1146, 251.7291, 358.6254
39166, 152.4835, 354.2674, 253.2906, 358.4034
39166, 152.506, 354.3781, 254.6972, 358.1986
39166, 152.5278, 354.4471, 256.0531, 357.9888
39166, 152.5525, 354.459, 257.2481, 357.7433
39166, 152.5762, 354.4654, 258.3983, 357.6252
39166, 152.6011, 354.4963, 259.5924, 357.5666
39166, 152.6261, 354.751, 261.4529, 357.4238
39166, 152.6474, 355.0451, 262.7696, 357.2166
39166, 152.672, 355.2337, 264.0843, 357.0323
39166, 152.6972, 355.3881, 265.3304, 356.9416
39166, 152.7219, 355.6727, 266.5961, 356.8464
39166, 152.7437, 356.0515, 267.8797, 356.7126
39166, 152.7664, 356.3803, 269.1577, 356.5117
39166, 152.7887, 356.588, 270.3667, 356.2902
39166, 152.8113, 356.7415, 271.466, 356.0682
39166, 152.835, 357.0083, 272.4288, 355.9068
39166, 152.8562, 357.282, 273.2411, 355.8224
39166, 152.8801, 357.5312, 273.8762, 355.8719
39166, 152.9016, 357.7032, 274.3856, 355.9823
39166, 152.925, 357.8489, 274.9923, 356.2461
39166, 152.9495, 357.9726, 275.2536, 356.5211
39166, 152.9726, 358.0393, 275.4448, 356.8137
39166, 152.9961, 358.1037, 275.4909, 357.1513
39166, 153.0177, 358.0893, 275.4301, 357.4874
39166, 153.0402, 358.0743, 275.3076, 357.7997
39166, 153.0643, 357.9742, 275.1701, 358.0431
39166, 153.0873, 357.793, 275.0087, 358.3438
39166, 153.108, 357.6303, 274.9583, 358.581
39166, 153.1337, 357.3409, 275.0709, 358.751
39166, 153.1552, 357.0658, 275.3514, 358.9873
39166, 153.1813, 356.5755, 276.4455, 359.3812
39166, 153.2051, 356.3946, 277.4844, 359.6647
39166, 153.2314, 356.2977, 278.7335, 359.8925
39166, 153.2534, 356.2661, 280.2386, 0.06749321
39166, 153.2769, 356.2707, 282.0627, 0.1861205
39166, 153.2964, 356.2411, 283.9131, 0.2681466
39166, 153.3231, 356.1849, 285.7829, 0.327398
39166, 153.346, 355.9847, 287.7028, 0.3480524
39166, 153.3707, 355.5843, 290.6064, 0.2594342
39166, 153.3914, 355.2805, 292.414, 0.1565982
39166, 153.4137, 355.068, 294.0623, 0.1016965
39166, 153.4372, 354.8885, 295.5984, 0.07907125
39166, 153.4625, 354.7609, 297.0374, 0.03911491
39166, 153.4822, 354.7221, 298.41, 0.03487425
39166, 153.5027, 354.7767, 299.6516, 0.04320769
39166, 153.5247, 354.7845, 300.7388, 0.05021171
39166, 153.5469, 354.7836, 301.7101, 0.06134607
39166, 153.5713, 354.8348, 302.5882, 0.08654846
39166, 153.5913, 354.9413, 303.3162, 0.04611264
39166, 153.6161, 355.0156, 303.967, 359.9906
39166, 153.64, 355.0491, 304.5443, 359.9366
39166, 153.6631, 355.093, 305.0699, 359.8928
39166, 153.6856, 355.1342, 305.5625, 359.8379
39166, 153.7068, 355.1503, 306.0531, 359.7758
39166, 153.7293, 355.1312, 306.5399, 359.7186
39166, 153.7527, 355.0793, 307.058, 359.7123
39166, 153.7735, 355.0128, 307.6259, 359.7117
39166, 153.7932, 354.9321, 308.22, 359.6989
39166, 153.8158, 354.8775, 308.7851, 359.6878
39166, 153.8404, 354.8385, 309.298, 359.6804
39166, 153.8671, 354.8207, 309.7943, 359.7026
