SubjectID, Time, X, Y, Z
56948, 291.8559, 114.4376, -0.263873, -60.43356
56948, 291.9567, 114.4375, -0.2638721, -60.45878
56948, 292.0678, 114.437, -0.2638694, -60.4928
56948, 292.1789, 114.4365, -0.2638664, -60.53023
56948, 292.2789, 114.436, -0.2638636, -60.5666
56948, 292.39, 114.4354, -0.2638601, -60.60966
56948, 292.5011, 114.4347, -0.2638565, -60.65594
56948, 292.6025, 114.4341, -0.2638527, -60.70374
56948, 292.7137, 114.4332, -0.2638481, -60.76208
56948, 292.8248, 114.4323, -0.2638429, -60.82604
56948, 292.9359, 114.4314, -0.2638375, -60.89491
56948, 293.0469, 114.4304, -0.2638317, -60.96821
56948, 293.1574, 114.4293, -0.2638257, -61.04517
56948, 293.268, 114.4282, -0.2638193, -61.12569
56948, 293.3681, 114.4271, -0.2638134, -61.20127
56948, 293.4791, 114.4259, -0.2638065, -61.28787
56948, 293.5794, 114.4248, -0.2638001, -61.36831
56948, 293.6797, 114.4237, -0.2637937, -61.45072
56948, 293.7802, 114.4225, -0.263787, -61.53495
56948, 293.8912, 114.4212, -0.2637796, -61.6298
56948, 293.9915, 114.42, -0.2637728, -61.71696
56948, 294.0915, 114.4188, -0.2637658, -61.80515
56948, 294.2025, 114.4174, -0.263758, -61.9044
56948, 294.4243, 114.4146, -0.2637422, -62.10615
56948, 294.6357, 114.4119, -0.2637267, -62.30225
56948, 294.968, 114.4075, -0.263702, -62.61621
56948, 295.4907, 114.4005, -0.2636622, -63.11991
56948, 298.1467, 114.3641, -0.2640118, -65.75024
56948, 298.4689, 114.3596, -0.2656527, -66.07182
56948, 298.5689, 114.3583, -0.2650837, -66.1717
56948, 310.1944, 114.1974, -0.2656527, -77.79472
56948, 310.3054, 114.1959, -0.2656527, -77.90235
56948, 310.4165, 114.1946, -0.2656527, -77.99906
56948, 310.5274, 114.1934, -0.2656527, -78.08532
56948, 310.6384, 114.1923, -0.2656527, -78.16259
56948, 310.7494, 114.1913, -0.2656527, -78.2317
56948, 310.8494, 114.1905, -0.2656527, -78.28772
56948, 310.9611, 114.1898, -0.2656527, -78.34392
56948, 311.0715, 114.1891, -0.2656527, -78.39362
56948, 311.1719, 114.1885, -0.2656527, -78.43429
56948, 311.283, 114.1879, -0.2656527, -78.4747
56948, 311.3831, 114.1875, -0.2656527, -78.5075
56948, 311.4937, 114.187, -0.2656527, -78.54006
56948, 311.6047, 114.1866, -0.2656527, -78.56931
56948, 311.7047, 114.1863, -0.2656527, -78.59299
56948, 311.8157, 114.186, -0.2656527, -78.61664
56948, 311.9266, 114.1856, -0.2656527, -78.63777
56948, 312.0376, 114.1854, -0.2656527, -78.65668
56948, 312.1377, 114.1852, -0.2656527, -78.67201
56948, 312.2385, 114.185, -0.2656527, -78.686
56948, 312.3486, 114.1848, -0.2656527, -78.69971
56948, 312.4597, 114.1846, -0.2656527, -78.71211
56948, 312.6713, 114.1843, -0.2656527, -78.7322
56948, 312.8825, 114.1841, -0.2656527, -78.74841
56948, 313.2047, 114.1839, -0.2656527, -78.76736
56948, 313.7484, 114.1835, -0.2656527, -78.78822
56948, 314.2711, 114.1834, -0.2656527, -78.80031
56948, 314.382, 114.1832, -0.2656527, -78.81095
56948, 314.482, 114.183, -0.2656527, -78.82964
56948, 314.5931, 114.1826, -0.2656527, -78.85949
56948, 314.7041, 114.182, -0.2656527, -78.8979
56948, 314.8151, 114.1814, -0.2656527, -78.94396
56948, 314.9258, 114.1806, -0.2656527, -78.99674
56948, 315.0368, 114.1798, -0.2656527, -79.05582
56948, 315.1479, 114.1789, -0.2656527, -79.1204
56948, 315.248, 114.178, -0.2656527, -79.18284
56948, 315.3589, 114.177, -0.2656527, -79.25613
56948, 315.4699, 114.1759, -0.2656527, -79.33357
56948, 315.581, 114.1748, -0.2656527, -79.41457
56948, 315.6814, 114.1737, -0.2656527, -79.4905
56948, 315.7924, 114.1725, -0.2656527, -79.57716
56948, 315.9034, 114.1712, -0.2656527, -79.66644
56948, 316.0034, 114.1701, -0.2656527, -79.74886
56948, 316.1145, 114.1688, -0.2656527, -79.84235
56948, 316.2255, 114.1674, -0.2656527, -79.93758
56948, 316.3366, 114.1661, -0.2656527, -80.03462
56948, 316.4476, 114.1647, -0.2656527, -80.1331
56948, 316.5583, 114.1633, -0.2656527, -80.23257
56948, 316.7694, 114.1606, -0.2656527, -80.42349
56948, 316.8802, 114.1598, -0.2656527, -80.47928
56948, 316.9802, 114.1598, -0.2656527, -80.48441
56948, 325.7657, 114.1598, -0.2656527, -80.48441
56948, 325.8767, 114.1574, -0.2656527, -80.45068
56948, 325.9877, 114.1499, -0.2656527, -80.36342
56948, 326.0986, 114.1419, -0.2656527, -80.27091
56948, 326.1989, 114.1348, -0.2656527, -80.18976
56948, 326.3099, 114.1272, -0.2656527, -80.10215
56948, 326.4102, 114.1205, -0.2656527, -80.02502
56948, 326.6212, 114.1068, -0.2656527, -79.86656
56948, 326.7322, 114.0994, -0.2656527, -79.78063
56948, 326.8432, 114.0917, -0.2656527, -79.69205
56948, 326.9538, 114.0838, -0.2656527, -79.60157
56948, 327.0647, 114.0757, -0.2656527, -79.50864
56948, 327.1757, 114.0675, -0.2656527, -79.41386
56948, 327.2759, 114.06, -0.2656527, -79.32691
56948, 327.3765, 114.0523, -0.2656527, -79.23826
56948, 327.4876, 114.0437, -0.2656527, -79.13916
56948, 327.6985, 114.0271, -0.2656527, -78.94768
56948, 327.9096, 114.0102, -0.2656527, -78.75247
56948, 328.2422, 113.983, -0.2656527, -78.43925
56948, 328.8971, 113.9283, -0.2656527, -77.80898
56948, 335.505, 113.3594, -0.2656527, -71.25022
56948, 335.6161, 113.3507, -0.2656527, -71.14949
56948, 335.7163, 113.3436, -0.2656527, -71.06782
56948, 335.8171, 113.3371, -0.2656527, -70.99352
56948, 335.9282, 113.3307, -0.2656527, -70.91997
56948, 336.039, 113.325, -0.2656527, -70.8543
56948, 336.139, 113.3204, -0.2656527, -70.80103
56948, 336.2502, 113.3158, -0.2656527, -70.74774
56948, 336.3612, 113.3117, -0.2656527, -70.70019
56948, 336.4725, 113.308, -0.2656527, -70.65757
56948, 336.5833, 113.3047, -0.2656527, -70.61958
56948, 336.6942, 113.3017, -0.2656527, -70.58558
56948, 336.8053, 113.2991, -0.2656527, -70.55512
56948, 336.9166, 113.2967, -0.2656527, -70.52785
56948, 337.0167, 113.2948, -0.2656527, -70.50578
56948, 337.1167, 113.2931, -0.2656527, -70.48584
56948, 337.217, 113.2915, -0.2656527, -70.46777
