SubjectID, Time, X, Y, Z
34086, 88.44457, 3.889709, 0.4888357, 3.933242
34086, 88.46457, 3.888749, 0.2911913, 3.932286
34086, 88.49418, 3.888668, 0.2911178, 3.932359
34086, 88.51439, 3.888726, 0.2909184, 3.93226
34086, 88.56519, 3.888239, 0.2908298, 3.933169
34086, 88.71645, 3.887952, 0.2910904, 3.933956
34086, 89.01205, 3.888839, 0.2913195, 3.929414
34086, 89.09925, 3.88799, 0.2920602, 3.928204
34086, 89.16201, 3.887798, 0.2928142, 3.926468
34086, 89.18328, 3.888105, 0.2932526, 3.925458
34086, 89.20316, 3.887382, 0.2934051, 3.927471
34086, 89.22586, 3.886023, 0.2935367, 3.932192
34086, 89.24522, 3.883795, 0.293836, 3.940008
34086, 89.26754, 3.880155, 0.2941699, 3.951984
34086, 89.28967, 3.874655, 0.2944226, 3.969092
34086, 89.31693, 3.868267, 0.2945169, 3.988588
34086, 89.33405, 3.86138, 0.2946438, 4.00942
34086, 89.35779, 3.855564, 0.2947727, 4.027388
34086, 89.37848, 3.85003, 0.2949775, 4.046259
34086, 89.40074, 3.843913, 0.2948732, 4.066711
34086, 89.42295, 3.837841, 0.2948036, 4.087604
34086, 89.44521, 3.832029, 0.2947574, 4.109035
34086, 89.46733, 3.827337, 0.2948474, 4.131114
34086, 89.48958, 3.826542, 0.2948505, 4.154676
34086, 89.51175, 3.828997, 0.2948045, 4.176631
34086, 89.53435, 3.832338, 0.2947268, 4.196855
34086, 89.56079, 3.836515, 0.2948284, 4.220765
34086, 89.58565, 3.84125, 0.2948937, 4.247226
34086, 89.60314, 3.844958, 0.2948457, 4.26729
34086, 89.62443, 3.848198, 0.2948546, 4.285489
34086, 89.64691, 3.852758, 0.2948902, 4.309943
34086, 89.66883, 3.85611, 0.2948303, 4.329217
34086, 89.69104, 3.860328, 0.2948571, 4.350736
34086, 89.71504, 3.864663, 0.2948903, 4.37226
34086, 89.73553, 3.869164, 0.2948715, 4.393934
34086, 89.75774, 3.873955, 0.2947053, 4.415924
34086, 89.78197, 3.879424, 0.294612, 4.439131
34086, 89.80219, 3.884608, 0.2946267, 4.458904
34086, 89.82437, 3.890234, 0.2945805, 4.481722
34086, 89.84667, 3.895084, 0.2944631, 4.502156
34086, 89.86882, 3.900333, 0.294301, 4.523979
34086, 89.893, 3.905665, 0.2942138, 4.54652
34086, 89.91322, 3.910647, 0.2942645, 4.566805
34086, 89.93809, 3.915846, 0.2942035, 4.588561
34086, 89.95804, 3.921132, 0.2940907, 4.610301
34086, 89.98247, 3.926311, 0.2939594, 4.63271
34086, 90.00323, 3.931933, 0.2940471, 4.654694
34086, 90.02583, 3.937737, 0.2938592, 4.677815
34086, 90.04848, 3.942575, 0.2937918, 4.698279
34086, 90.16085, 3.969457, 0.2938409, 4.807729
34086, 90.18307, 3.974596, 0.2938525, 4.829926
34086, 90.20523, 3.979509, 0.2938159, 4.851191
34086, 90.22746, 3.984504, 0.2938131, 4.872911
34086, 90.2497, 3.989534, 0.2939329, 4.894376
34086, 90.2719, 3.994448, 0.2940275, 4.916018
34086, 90.29414, 3.999688, 0.2940252, 4.93956
34086, 90.3194, 4.004343, 0.2940113, 4.960546
34086, 90.34063, 4.009291, 0.2939858, 4.98192
34086, 90.36192, 4.014617, 0.2943082, 5.002098
34086, 90.38351, 4.020117, 0.2942744, 5.026584
34086, 90.40488, 4.025306, 0.294168, 5.047664
34086, 90.42923, 4.025431, 0.2941536, 5.04756
34086, 90.44936, 4.025156, 0.2939034, 5.047542
34086, 90.47158, 4.025981, 0.2942259, 5.046885
34086, 90.49378, 4.025801, 0.2940588, 5.04673
34086, 90.51593, 4.025897, 0.2938887, 5.046968
34086, 90.54057, 4.026519, 0.2940015, 5.04678
34086, 90.56035, 4.026268, 0.2937776, 5.047456
34086, 90.58262, 4.026401, 0.2936895, 5.047777
34086, 90.60475, 4.026659, 0.2935817, 5.047786
34086, 90.62703, 4.026626, 0.2934735, 5.048071
34086, 90.67243, 4.026908, 0.293415, 5.048249
34086, 90.69373, 4.026856, 0.29346, 5.048665
34086, 90.71617, 4.027051, 0.2934415, 5.048679
34086, 90.73827, 4.027048, 0.2933883, 5.049037
34086, 90.80515, 4.027723, 0.2935672, 5.048846
34086, 90.82738, 4.028569, 0.2938062, 5.047773
34086, 90.84955, 4.02885, 0.2937462, 5.047535
34086, 90.89774, 4.028903, 0.2935766, 5.047417
34086, 90.91467, 4.02908, 0.2935428, 5.047288
34086, 90.93623, 4.029691, 0.2938327, 5.046599
34086, 90.98336, 4.029536, 0.2933247, 5.046631
34086, 91.0034, 4.029756, 0.2932707, 5.046477
34086, 91.025, 4.029577, 0.2931308, 5.046837
34086, 91.04716, 4.030007, 0.2932301, 5.046471
34086, 91.11375, 4.030536, 0.2932343, 5.04649
34086, 91.13597, 4.030847, 0.2931905, 5.0463
34086, 91.18034, 4.03111, 0.2929333, 5.046537
34086, 91.20255, 4.030934, 0.2927291, 5.04698
34086, 91.22482, 4.031104, 0.2927245, 5.047915
34086, 91.24701, 4.031474, 0.2926964, 5.05196
34086, 91.26952, 4.031656, 0.2925742, 5.059629
34086, 91.31458, 4.031954, 0.2923738, 5.084806
34086, 91.33719, 4.032091, 0.2922863, 5.102374
34086, 91.3597, 4.031831, 0.2923039, 5.125387
34086, 91.38217, 4.031753, 0.2922977, 5.146249
34086, 91.40477, 4.032104, 0.292338, 5.168272
34086, 91.42703, 4.032046, 0.2921357, 5.190636
34086, 91.45174, 4.032063, 0.2921305, 5.2132
34086, 91.47361, 4.032159, 0.2921556, 5.238742
34086, 91.495, 4.03231, 0.2921342, 5.260925
34086, 91.51384, 4.032316, 0.2919903, 5.279733
34086, 91.53612, 4.032433, 0.2918867, 5.300107
34086, 91.5583, 4.032769, 0.2919104, 5.324308
34086, 91.58054, 4.03319, 0.2919231, 5.344649
34086, 91.60271, 4.033623, 0.2919055, 5.366952
34086, 91.62495, 4.034232, 0.291873, 5.388987
34086, 91.64716, 4.034521, 0.2917849, 5.411449
34086, 91.67235, 4.034932, 0.2916828, 5.435283
34086, 91.69231, 4.035417, 0.2916743, 5.459836
34086, 91.71375, 4.035991, 0.2917796, 5.478688
34086, 91.75827, 4.03716, 0.2918057, 5.523115
34086, 91.7804, 4.037385, 0.291604, 5.545516
34086, 91.80418, 4.037964, 0.291576, 5.567799
34086, 91.82494, 4.038501, 0.2917072, 5.590062
34086, 91.84977, 4.039108, 0.2918051, 5.612774
34086, 91.86977, 4.03907, 0.292056, 5.612829
34086, 91.89226, 4.039245, 0.2921108, 5.612488
34086, 91.93713, 4.039201, 0.2925205, 5.612397
34086, 91.96035, 4.039077, 0.2925816, 5.612577
34086, 92.02594, 4.039294, 0.2924141, 5.612501
34086, 92.04831, 4.03927, 0.2925033, 5.612659
34086, 92.09269, 4.039681, 0.2928703, 5.612733
34086, 92.11485, 4.03974, 0.2928427, 5.612889
34086, 92.13879, 4.040026, 0.2930699, 5.612863
34086, 92.15929, 4.040103, 0.2930081, 5.613523
34086, 92.18154, 4.040083, 0.2929542, 5.617988
34086, 92.20375, 4.040117, 0.2930562, 5.626089
34086, 92.24969, 4.040385, 0.2932289, 5.652784
34086, 92.27135, 4.0407, 0.2932558, 5.671398
34086, 92.29253, 4.041022, 0.293256, 5.693258
34086, 92.31474, 4.041315, 0.2931892, 5.715512
34086, 92.33698, 4.041678, 0.2932045, 5.738362
34086, 92.35942, 4.042011, 0.2932131, 5.759737
34086, 92.3823, 4.04232, 0.2932642, 5.782284
34086, 92.40589, 4.042596, 0.2932735, 5.804596
34086, 92.42773, 4.042982, 0.2933072, 5.830277
34086, 92.44805, 4.04321, 0.2933872, 5.84845
34086, 92.47027, 4.043329, 0.2934264, 5.870617
34086, 92.49506, 4.043651, 0.293625, 5.892905
34086, 92.52054, 4.043956, 0.2936695, 5.918986
34086, 92.54089, 4.044196, 0.2936785, 5.940738
34086, 92.55774, 4.044247, 0.2937477, 5.961036
34086, 92.57803, 4.044519, 0.2937161, 5.978233
34086, 92.60094, 4.044641, 0.2937795, 6.000518
34086, 92.62653, 4.044889, 0.2938168, 6.024949
34086, 92.64462, 4.045004, 0.2939084, 6.047283
34086, 92.66683, 4.045042, 0.294054, 6.067381
34086, 92.69181, 4.045121, 0.2941538, 6.091187
34086, 92.71126, 4.045228, 0.2939369, 6.112653
34086, 92.73347, 4.045205, 0.2937684, 6.134415
34086, 92.75573, 4.045306, 0.2936745, 6.156667
34086, 92.77792, 4.045292, 0.2936369, 6.17969
34086, 92.80016, 4.045354, 0.2934993, 6.201053
34086, 92.82232, 4.045469, 0.293362, 6.223223
34086, 92.84454, 4.045613, 0.2933282, 6.245172
34086, 92.86708, 4.04568, 0.2932655, 6.266999
34086, 92.88901, 4.045875, 0.2934345, 6.288966
34086, 92.91162, 4.04561, 0.2935938, 6.311628
34086, 92.93423, 4.04563, 0.2935459, 6.334253
34086, 92.95692, 4.045583, 0.2935847, 6.356135
34086, 93.00221, 4.045743, 0.293682, 6.400364
34086, 93.02487, 4.045596, 0.293685, 6.422572
34086, 93.04749, 4.045918, 0.2939487, 6.444071
34086, 93.07005, 4.045656, 0.2939396, 6.467623
34086, 93.0931, 4.045304, 0.2940317, 6.488554
34086, 93.11657, 4.045139, 0.2941012, 6.512571
34086, 93.1374, 4.044833, 0.2940506, 6.532743
34086, 93.15957, 4.044749, 0.2940733, 6.555876
34086, 93.18183, 4.044583, 0.2940924, 6.576406
34086, 93.204, 4.044433, 0.2941466, 6.598404
34086, 93.22623, 4.044338, 0.2941126, 6.619824
34086, 93.24982, 4.044269, 0.294085, 6.641604
34086, 93.27065, 4.044328, 0.2941012, 6.663368
34086, 93.29436, 4.044369, 0.2941879, 6.685096
34086, 93.31506, 4.04421, 0.2941527, 6.707299
34086, 93.38169, 4.043943, 0.2941215, 6.772569
34086, 93.40536, 4.043784, 0.2941419, 6.794388
34086, 93.42612, 4.043563, 0.294208, 6.816327
34086, 93.44833, 4.043164, 0.2941492, 6.838573
34086, 93.47059, 4.043088, 0.2942115, 6.86051
34086, 93.49332, 4.042907, 0.2942413, 6.882362
34086, 93.51688, 4.042456, 0.2942748, 6.906469
34086, 93.53719, 4.042229, 0.2942814, 6.926929
34086, 93.5594, 4.042167, 0.2942818, 6.948339
34086, 93.58334, 4.042006, 0.2942502, 6.970336
34086, 93.60384, 4.042974, 0.2946168, 6.993276
34086, 93.62582, 4.042845, 0.2946222, 7.012083
34086, 93.64806, 4.04224, 0.2943419, 7.034303
34086, 93.67018, 4.041745, 0.2943206, 7.056491
34086, 93.69244, 4.041589, 0.2943825, 7.078726
34086, 93.71478, 4.041388, 0.2944308, 7.102087
34086, 93.73694, 4.041216, 0.2944732, 7.122594
34086, 93.75907, 4.041049, 0.2945506, 7.144622
34086, 93.78126, 4.040693, 0.2945441, 7.166925
34086, 93.80492, 4.040586, 0.2946762, 7.188912
34086, 93.82578, 4.040586, 0.2949435, 7.211027
34086, 93.84794, 4.040586, 0.2951639, 7.232931
34086, 93.87016, 4.040654, 0.2954091, 7.243678
34086, 93.8924, 4.040495, 0.2957302, 7.243393
34086, 93.91455, 4.040488, 0.2958881, 7.242855
34086, 93.93675, 4.0403, 0.2962051, 7.242413
34086, 93.95906, 4.040283, 0.2966549, 7.241814
34086, 94.02646, 4.039762, 0.2975136, 7.240647
34086, 94.0517, 4.039769, 0.2980378, 7.240041
34086, 94.09327, 4.039337, 0.2985913, 7.239589
34086, 94.11278, 4.039238, 0.2990425, 7.239071
34086, 94.13501, 4.038881, 0.2995366, 7.238934
34086, 94.20168, 4.038599, 0.3004027, 7.237712
34086, 94.22453, 4.038734, 0.3007557, 7.23697
34086, 94.24608, 4.039258, 0.301309, 7.235619
34086, 94.26826, 4.038827, 0.3015975, 7.235419
34086, 94.31272, 4.038724, 0.3022161, 7.234618
34086, 94.33492, 4.038569, 0.302471, 7.234556
34086, 94.35708, 4.038718, 0.3027201, 7.234004
34086, 94.4248, 4.03853, 0.3030386, 7.233412
34086, 94.44814, 4.038622, 0.303084, 7.23287
34086, 94.60307, 4.037777, 0.3030358, 7.231741
34086, 94.62532, 4.037495, 0.3028821, 7.231755
34086, 94.64755, 4.037324, 0.3029259, 7.231729
