SubjectID, Time, X, Y, Z
34086, 88.44457, 356.3356, 2.250839, 359.3028
34086, 88.46457, 356.359, 1.481784, 359.4743
34086, 88.49418, 356.4141, 1.48792, 359.4939
34086, 88.51439, 356.5213, 1.559785, 359.5156
34086, 88.54169, 356.5454, 1.603885, 359.5194
34086, 88.56519, 356.5112, 1.666286, 359.5341
34086, 88.58333, 356.4547, 1.731971, 359.526
34086, 88.60399, 356.4026, 1.779703, 359.534
34086, 88.62632, 356.3242, 1.822349, 359.5494
34086, 88.64581, 356.2449, 1.840128, 359.5579
34086, 88.6707, 356.2148, 1.847985, 359.5409
34086, 88.69096, 356.1941, 1.846167, 359.5145
34086, 88.71645, 356.1919, 1.857049, 359.4832
34086, 89.01205, 356.1609, 1.573922, 359.4854
34086, 89.02919, 356.1066, 1.575473, 359.5279
34086, 89.05046, 356.0122, 1.599031, 359.5299
34086, 89.07298, 355.8677, 1.58485, 359.5386
34086, 89.09925, 355.706, 1.573134, 359.5622
34086, 89.11876, 355.5624, 1.53502, 359.5999
34086, 89.14074, 355.4472, 1.505972, 359.6208
34086, 89.16201, 355.387, 1.488506, 359.6468
34086, 89.18328, 355.3068, 1.493781, 359.6369
34086, 89.20316, 355.2289, 1.470685, 359.6872
34086, 89.22586, 355.0872, 1.44982, 359.7351
34086, 89.24522, 354.9336, 1.447573, 359.7614
34086, 89.26754, 354.768, 1.432023, 359.7776
34086, 89.28967, 354.6082, 1.434771, 359.7935
34086, 89.31693, 354.4629, 1.443123, 359.8126
34086, 89.33405, 354.3741, 1.454959, 359.8234
34086, 89.35779, 354.3224, 1.492347, 359.8144
34086, 89.37848, 354.1612, 1.536808, 359.761
34086, 89.40074, 354.1027, 1.605839, 359.7755
34086, 89.42295, 354.0129, 1.675216, 359.7751
34086, 89.44521, 353.9538, 1.749195, 359.7881
34086, 89.46733, 353.9163, 1.832591, 359.7722
34086, 89.48958, 353.8777, 1.915962, 359.7321
34086, 89.51175, 353.8786, 1.99326, 359.6613
34086, 89.53435, 353.9047, 2.057287, 359.5879
34086, 89.56079, 353.9273, 2.126083, 359.522
34086, 89.58565, 353.929, 2.181416, 359.4651
34086, 89.60314, 353.8989, 2.248932, 359.3818
34086, 89.62443, 353.8779, 2.312852, 359.3043
