SubjectID, Time, X, Y, Z
39172, 129.6876, 357.0041, 176.3913, 0.9834415
39172, 129.7076, 357.4304, 176.3798, 0.7765803
39172, 129.7308, 357.4835, 176.3758, 0.8086947
39172, 129.7571, 357.5507, 176.408, 0.7733448
39172, 129.7824, 357.6075, 176.4001, 0.739644
39172, 129.8068, 357.6725, 176.3537, 0.7075297
39172, 129.8269, 357.7226, 176.3154, 0.6720337
39172, 129.8482, 357.7652, 176.2645, 0.6612603
39172, 129.8693, 357.8057, 176.218, 0.659197
39172, 129.89, 357.867, 176.1838, 0.6615581
39172, 129.9128, 357.9428, 176.1933, 0.6917461
39172, 129.9379, 357.9926, 176.2146, 0.7222487
39172, 129.9628, 358.0204, 176.2558, 0.7209973
39172, 129.9843, 358.0319, 176.299, 0.6847917
39172, 130.0096, 358.0693, 176.318, 0.6650019
39172, 130.0379, 358.0263, 176.3265, 0.6654533
39172, 130.063, 357.7396, 176.4212, 0.8706791
39172, 130.0855, 357.6836, 176.4561, 0.8598989
39172, 130.1088, 357.6376, 176.4558, 0.835606
39172, 130.1317, 357.6054, 176.4532, 0.8238255
39172, 130.1562, 357.5726, 176.4862, 0.7891812
39172, 130.1796, 357.5699, 176.5354, 0.7743294
39172, 130.2013, 357.5845, 176.6, 0.7683828
39172, 130.2237, 357.6099, 176.6629, 0.7533558
39172, 130.2475, 357.6493, 176.7251, 0.733042
39172, 130.2762, 357.6504, 176.8087, 0.6779113
39172, 130.298, 357.6315, 176.9044, 0.6764163
39172, 130.3226, 357.666, 177.0174, 0.6608061
39172, 130.3462, 357.6818, 177.0538, 0.6319513
39172, 130.3705, 357.683, 177.0689, 0.6148142
39172, 130.3974, 357.6607, 177.0833, 0.6117256
39172, 130.4178, 357.6191, 177.1006, 0.6388478
39172, 130.4389, 357.5894, 177.1195, 0.652728
39172, 130.4612, 357.575, 177.1429, 0.6679947
39172, 130.4821, 357.5347, 177.2358, 0.6803246
39172, 130.5058, 357.524, 177.3399, 0.7070857
39172, 130.5279, 357.5454, 177.4652, 0.7144423
39172, 130.5492, 357.5738, 177.5974, 0.6945558
39172, 130.5728, 357.6153, 177.729, 0.660817
39172, 130.5955, 357.5934, 177.8787, 0.6262738
39172, 130.6183, 357.5303, 178.03, 0.6085026
