SubjectID, Time, X, Y, Z
87666, 647.4434, 48.9, 22.79, -132.19
87666, 665.4482, 48.9, 22.79, -132.19
87666, 665.5629, 48.90065, 22.79, -132.1853
87666, 665.667, 48.90306, 22.79, -132.1674
87666, 665.782, 48.9071, 22.79, -132.1376
87666, 665.8823, 48.91164, 22.79, -132.1041
87666, 665.9923, 48.91758, 22.79, -132.0602
87666, 666.1037, 48.92446, 22.79, -132.0093
87666, 666.2175, 48.93238, 22.79, -131.9508
87666, 666.3256, 48.94064, 22.79, -131.8898
87666, 666.4373, 48.94985, 22.79, -131.8217
87666, 666.5483, 48.95966, 22.79, -131.7493
87666, 666.6588, 48.96999, 22.79, -131.673
87666, 666.7717, 48.98102, 22.79, -131.5915
87666, 666.8728, 48.99127, 22.79, -131.5158
87666, 667.0482, 49.00945, 22.79, -131.3815
87666, 684.9089, 49.00945, 22.79, -131.3815
87666, 685.0197, 49.0098, 22.79, -131.3928
87666, 707.9947, 49.0098, 22.79, -131.3928
87666, 708.1096, 49.01072, 22.79, -131.4087
87666, 708.3298, 49.01813, 22.79, -131.5373
87666, 708.4362, 49.02137, 22.79, -131.5937
87666, 708.66, 49.02761, 22.79, -131.7018
87666, 708.7686, 49.03097, 22.79, -131.7602
87666, 708.8701, 49.0344, 22.79, -131.8197
87666, 708.9833, 49.03849, 22.79, -131.8907
87666, 709.0942, 49.04272, 22.79, -131.9641
87666, 709.2094, 49.04736, 22.79, -132.0446
87666, 709.3164, 49.05186, 22.79, -132.1228
87666, 709.4274, 49.05671, 22.79, -132.2069
87666, 709.5352, 49.06159, 22.79, -132.2916
87666, 709.6465, 49.06678, 22.79, -132.3817
87666, 709.7602, 49.07221, 22.79, -132.476
87666, 709.8715, 49.07764, 22.79, -132.5703
87666, 709.98, 49.08304, 22.79, -132.664
87666, 710.0807, 49.08812, 22.79, -132.7522
87666, 710.3156, 49.10015, 22.79, -132.961
87666, 726.1045, 49.10015, 22.79, -132.961
87666, 726.21, 49.0968, 22.79, -132.9565
87666, 726.3112, 49.06713, 22.79, -132.9169
87666, 726.4117, 49.02261, 22.79, -132.8575
87666, 726.5242, 48.97692, 22.79, -132.7964
87666, 726.6254, 48.93503, 22.79, -132.7405
87666, 726.7256, 48.89629, 22.79, -132.6887
87666, 726.8309, 48.88427, 22.79, -132.6727
87666, 754.7097, 48.88427, 22.79, -132.6727
87666, 754.8292, 48.88473, 22.79, -132.6337
87666, 754.9369, 48.8855, 22.79, -132.5673
87666, 755.0407, 48.88622, 22.79, -132.5054
87666, 755.1434, 48.88699, 22.79, -132.4401
87666, 755.2537, 48.88786, 22.79, -132.366
87666, 755.3542, 48.88869, 22.79, -132.2951
87666, 755.4685, 48.88967, 22.79, -132.2111
87666, 755.5753, 48.89062, 22.79, -132.1297
87666, 755.6791, 48.89157, 22.79, -132.048
87666, 755.787, 48.89259, 22.79, -131.9606
87666, 755.9008, 48.89368, 22.79, -131.8664
87666, 756.0012, 48.89468, 22.79, -131.7814
87666, 756.1017, 48.89568, 22.79, -131.6949
