SubjectID, Time, X, Y, Z
56974, 204.4774, 114.4376, -0.263873, -60.43356
56974, 204.5812, 114.437, -0.2638693, -60.45132
56974, 204.6925, 114.4358, -0.2638626, -60.47668
56974, 204.8034, 114.4344, -0.2638547, -60.50634
56974, 204.9144, 114.4328, -0.2638458, -60.53989
56974, 205.0146, 114.4313, -0.263837, -60.57318
56974, 205.1254, 114.4294, -0.2638264, -60.613
56974, 205.2263, 114.4276, -0.2638159, -60.65217
56974, 205.3373, 114.4253, -0.2638028, -60.70157
56974, 205.4483, 114.4227, -0.2637879, -60.75751
56974, 205.5596, 114.4198, -0.2637715, -60.81935
56974, 205.6704, 114.4166, -0.2637538, -60.88616
56974, 205.7713, 114.4136, -0.2637365, -60.95103
56974, 205.8713, 114.4104, -0.2637185, -61.01874
56974, 205.9818, 114.4068, -0.2636976, -61.09713
56974, 206.0929, 114.4029, -0.2636759, -61.17934
56974, 206.204, 114.3989, -0.2636532, -61.26455
56974, 206.3047, 114.3952, -0.2636321, -61.34419
56974, 206.4158, 114.391, -0.2636082, -61.43435
56974, 206.5266, 114.3867, -0.2635837, -61.52652
56974, 206.6376, 114.3823, -0.2635586, -61.62078
56974, 206.7486, 114.3778, -0.2635331, -61.71679
56974, 206.8488, 114.3737, -0.2635098, -61.80476
56974, 206.9598, 114.3691, -0.2634835, -61.90366
56974, 207.1708, 114.3601, -0.2634326, -62.09496
56974, 207.3929, 114.3505, -0.2633781, -62.30037
56974, 207.7149, 114.3363, -0.2632977, -62.60375
56974, 208.2482, 114.3124, -0.2631615, -63.11672
56974, 210.6246, 114.2026, -0.2625378, -65.46526
56974, 211.2683, 114.1726, -0.2656527, -66.10699
56974, 211.3683, 114.1679, -0.263983, -66.20677
56974, 211.4684, 114.1632, -0.2656527, -66.30663
56974, 225.4843, 113.509, -0.2656527, -80.30612
56974, 225.5845, 113.5046, -0.2656527, -80.39999
56974, 225.6952, 113.5021, -0.2656527, -80.45228
56974, 225.7952, 113.502, -0.2656527, -80.45605
56974, 238.5555, 113.502, -0.2656527, -80.45605
56974, 238.6556, 113.5016, -0.2656527, -80.42825
56974, 238.7667, 113.499, -0.2656527, -80.34134
56974, 238.8671, 113.4962, -0.2656527, -80.25095
56974, 238.9779, 113.4933, -0.2656527, -80.15459
56974, 239.0889, 113.4904, -0.2656527, -80.06117
56974, 239.2, 113.4876, -0.2656527, -79.97048
56974, 239.3001, 113.4851, -0.2656527, -79.89105
56974, 239.4111, 113.4825, -0.2656527, -79.80433
56974, 239.5112, 113.48, -0.2656527, -79.72429
56974, 239.6218, 113.4772, -0.2656527, -79.63367
56974, 239.7326, 113.4743, -0.2656527, -79.54083
56974, 239.8326, 113.4717, -0.2656527, -79.45534
56974, 239.9435, 113.4687, -0.2656527, -79.35897
56974, 240.0442, 113.466, -0.2656527, -79.27013
56974, 240.1442, 113.4632, -0.2656527, -79.18075
56974, 240.3549, 113.4573, -0.2656527, -78.98927
56974, 240.5659, 113.4512, -0.2656527, -78.79384
56974, 240.8773, 113.4422, -0.2656527, -78.50025
56974, 241.4212, 113.426, -0.2656527, -77.9768
56974, 242.4986, 113.3934, -0.2656527, -76.91836
56974, 242.5989, 113.3904, -0.2656527, -76.82233
56974, 242.699, 113.3877, -0.2656527, -76.73573
56974, 242.8098, 113.3851, -0.2656527, -76.64937
56974, 242.9104, 113.3829, -0.2656527, -76.57898
56974, 243.0213, 113.3807, -0.2656527, -76.5091
