SubjectID, Time, X, Y, Z
34086, 19.83812, 4.03219, 0.436224, 4.010688
34086, 19.85812, 4.03323, 0.2383395, 6.011147
34086, 19.95071, 4.033767, 0.2382852, 6.011701
34086, 19.97077, 4.034547, 0.2384281, 6.010856
34086, 20.10307, 4.034081, 0.2384863, 6.01189
34086, 20.17084, 4.033457, 0.2383336, 6.012796
34086, 20.19295, 4.033516, 0.2384249, 6.012681
34086, 20.30291, 4.033792, 0.2384567, 6.013571
34086, 20.3252, 4.035238, 0.2386896, 6.012099
34086, 20.34891, 4.035096, 0.2385351, 6.012607
34086, 20.3711, 4.034781, 0.2383058, 6.013464
34086, 20.39467, 4.035334, 0.2383377, 6.013345
34086, 20.44449, 4.035516, 0.2382081, 6.013923
34086, 20.46231, 4.035843, 0.238184, 6.013944
34086, 20.48168, 4.035656, 0.2379988, 6.014491
34086, 20.5034, 4.035745, 0.2379465, 6.014703
34086, 20.52504, 4.036044, 0.2378937, 6.014672
34086, 20.54886, 4.036114, 0.2378445, 6.014871
34086, 20.57059, 4.035964, 0.2377261, 6.015337
34086, 20.6814, 4.036156, 0.2377589, 6.016336
34086, 20.70275, 4.035909, 0.2376462, 6.016879
34086, 20.72494, 4.035829, 0.2376108, 6.017019
34086, 20.9394, 4.035688, 0.237828, 6.017045
34086, 20.95817, 4.035782, 0.2379285, 6.016807
34086, 20.98045, 4.036342, 0.2379552, 6.016141
34086, 21.00259, 4.036393, 0.2378983, 6.015906
34086, 21.0282, 4.036077, 0.2377378, 6.016059
34086, 21.09147, 4.036042, 0.2376796, 6.015842
34086, 21.16005, 4.035455, 0.2376364, 6.01633
34086, 21.22517, 4.035512, 0.2377538, 6.016022
34086, 21.40579, 4.035185, 0.237543, 6.015699
34086, 21.42999, 4.03545, 0.2375544, 6.015389
34086, 21.63255, 4.035472, 0.2376553, 6.01495
34086, 21.65216, 4.035575, 0.2377117, 6.014729
34086, 21.67352, 4.03545, 0.2375621, 6.014965
34086, 21.69915, 4.035441, 0.2375713, 6.014874
34086, 21.71784, 4.035512, 0.2377449, 6.014671
34086, 21.82447, 4.035459, 0.2376316, 6.014532
34086, 21.89269, 4.035564, 0.2375722, 6.013873
34086, 21.9163, 4.035439, 0.2374795, 6.01401
34086, 22.00218, 4.035213, 0.2374432, 6.013448
34086, 22.05014, 4.034936, 0.2373646, 6.013518
34086, 22.06974, 4.035274, 0.2374626, 6.012955
34086, 22.09177, 4.035064, 0.2373718, 6.013118
34086, 22.11445, 4.034943, 0.2373633, 6.013083
34086, 22.13715, 4.034999, 0.2373073, 6.0129
34086, 22.15988, 4.034786, 0.2374375, 6.012892
34086, 22.18262, 4.034949, 0.2375924, 6.012616
34086, 22.22898, 4.034658, 0.2375395, 6.012638
34086, 22.25172, 4.034259, 0.2374341, 6.013084
34086, 22.29503, 4.033674, 0.2374935, 6.013405
34086, 22.34133, 4.033554, 0.2375923, 6.013126
34086, 22.36387, 4.033337, 0.2375287, 6.013221
34086, 22.38836, 4.033967, 0.237786, 6.012281
34086, 22.44877, 4.03339, 0.237713, 6.012516
34086, 22.47074, 4.033525, 0.2377835, 6.012258
34086, 22.51755, 4.033034, 0.2377317, 6.012434
34086, 22.53737, 4.03367, 0.2379632, 6.011553
34086, 22.55958, 4.033975, 0.2380469, 6.010902
34086, 22.60427, 4.033663, 0.237951, 6.010931
34086, 22.62623, 4.032969, 0.2375083, 6.011422
34086, 22.69288, 4.032233, 0.2372735, 6.011481
34086, 22.71516, 4.032061, 0.2374393, 6.0114
34086, 22.73904, 4.031394, 0.2374187, 6.011991
34086, 22.76255, 4.031129, 0.237429, 6.012118
34086, 22.78361, 4.030673, 0.2374209, 6.012384
34086, 22.82704, 4.03001, 0.2373879, 6.012574
34086, 22.84932, 4.030323, 0.2373912, 6.011762
34086, 22.8958, 4.029669, 0.2369735, 6.012052
34086, 22.91838, 4.029775, 0.2368753, 6.011598
34086, 22.93812, 4.029412, 0.2367234, 6.01174
34086, 22.98661, 4.029304, 0.2368987, 6.011946
34086, 23.00618, 4.029016, 0.2370121, 6.012416
34086, 23.02699, 4.029966, 0.2375098, 6.011566
34086, 23.07142, 4.029938, 0.2372991, 6.011465
34086, 23.09363, 4.029769, 0.2368821, 6.011815
34086, 23.11586, 4.029947, 0.2365577, 6.011431
34086, 23.16335, 4.030111, 0.2362133, 6.011112
34086, 23.20494, 4.030377, 0.2360387, 6.010281
34086, 23.2281, 4.030421, 0.2361577, 6.010141
34086, 23.24941, 4.030152, 0.2362872, 6.010354
34086, 23.27172, 4.030224, 0.2365754, 6.010185
34086, 23.29514, 4.031037, 0.2369262, 6.008971
34086, 23.33979, 4.03119, 0.2369635, 6.008129
34086, 23.51829, 4.031869, 0.2379234, 6.007108
34086, 23.58545, 4.031629, 0.2377829, 6.007352
34086, 23.60554, 4.032712, 0.2379363, 6.005797
34086, 23.69449, 4.032532, 0.2376747, 6.006835
34086, 23.71667, 4.032257, 0.2374942, 6.007349
34086, 23.78469, 4.032142, 0.2372442, 6.008029
34086, 23.80603, 4.031645, 0.2370615, 6.00861
34086, 23.96505, 4.030895, 0.2371785, 6.009594
34086, 24.00549, 4.031001, 0.2372856, 6.009192
34086, 24.02826, 4.030569, 0.2371527, 6.009517
34086, 24.07014, 4.03013, 0.2373767, 6.009633
34086, 24.0907, 4.02979, 0.2373635, 6.009826
34086, 24.13554, 4.029296, 0.2374799, 6.009833
34086, 24.15696, 4.028908, 0.2374758, 6.009977
34086, 24.17892, 4.028731, 0.2375033, 6.010004
34086, 24.20114, 4.028688, 0.2376451, 6.009853
34086, 24.2255, 4.029372, 0.2378672, 6.008872
34086, 24.24556, 4.029271, 0.2379407, 6.008784
34086, 24.26783, 4.028899, 0.2378298, 6.008873
34086, 24.29005, 4.028729, 0.237898, 6.008818
34086, 24.42535, 4.027141, 0.2380392, 6.009636
34086, 24.44821, 4.027264, 0.2381872, 6.00937
34086, 24.49355, 4.026869, 0.2380675, 6.009682
34086, 24.51632, 4.026414, 0.2379481, 6.010081
34086, 24.5388, 4.027434, 0.2382579, 6.00844
34086, 24.58777, 4.027138, 0.2382904, 6.008393
34086, 24.60687, 4.026569, 0.2380198, 6.008884
34086, 24.62857, 4.026231, 0.2378623, 6.00917
34086, 24.65003, 4.026083, 0.2377716, 6.009322
34086, 24.67071, 4.026056, 0.2378395, 6.009391
34086, 24.69521, 4.026182, 0.2379089, 6.009126
34086, 24.73734, 4.026226, 0.2378936, 6.009042
34086, 24.76187, 4.025993, 0.2377356, 6.009364
34086, 24.80448, 4.026257, 0.2378096, 6.00909
34086, 24.82617, 4.026737, 0.2378761, 6.008445
34086, 24.89279, 4.027394, 0.2377582, 6.008041
34086, 24.93727, 4.027606, 0.2374283, 6.007949
34086, 24.98288, 4.027923, 0.2375825, 6.007824
34086, 25.00439, 4.028445, 0.2377806, 6.007227
34086, 25.04873, 4.028808, 0.2376755, 6.006894
34086, 25.09314, 4.029061, 0.2375936, 6.007004
34086, 25.11535, 4.029358, 0.2374643, 6.006896
34086, 25.13773, 4.029514, 0.2372471, 6.006938
34086, 25.16012, 4.029854, 0.2371581, 6.00674
34086, 25.36463, 4.032349, 0.2352812, 6.00825
34086, 25.41428, 4.033, 0.2350292, 6.007986
34086, 25.45937, 4.033072, 0.2348605, 6.008118
34086, 25.50055, 4.033491, 0.2349538, 6.008029
34086, 25.52401, 4.033336, 0.2347783, 6.008412
34086, 25.54931, 4.033637, 0.2349529, 6.007513
34086, 25.57139, 4.033772, 0.2350274, 6.007377
34086, 25.59131, 4.03395, 0.2352974, 6.006861
34086, 25.61158, 4.033953, 0.2354603, 6.006814
34086, 25.63382, 4.03411, 0.2355442, 6.006408
34086, 25.68007, 4.034093, 0.235312, 6.005867
34086, 25.70045, 4.034133, 0.2353444, 6.005787
34086, 25.72267, 4.0341, 0.2355747, 6.005823
34086, 25.74489, 4.034211, 0.2356878, 6.005652
34086, 25.76744, 4.034154, 0.2355706, 6.005661
34086, 25.78955, 4.034203, 0.2356208, 6.005264
34086, 25.81233, 4.03431, 0.2356056, 6.005156
34086, 25.85868, 4.03392, 0.2358048, 6.005229
34086, 25.87941, 4.033859, 0.2359613, 6.005054
34086, 25.90163, 4.034356, 0.2363345, 6.004437
34086, 26.01144, 4.032952, 0.2366155, 6.005009
34086, 26.03671, 4.032422, 0.2365241, 6.005416
34086, 26.07815, 4.031666, 0.236689, 6.005859
34086, 26.21128, 4.028695, 0.2364502, 6.008763
34086, 26.25578, 4.029346, 0.236633, 6.007745
34086, 26.27797, 4.029181, 0.2364177, 6.007762
34086, 26.30317, 4.029259, 0.2362936, 6.007441
34086, 26.32301, 4.028658, 0.2359496, 6.008178
34086, 26.39142, 4.028139, 0.2359154, 6.009057
34086, 26.41386, 4.028585, 0.2362064, 6.008639
34086, 26.43679, 4.028646, 0.2363165, 6.008639
34086, 26.50484, 4.029143, 0.2361768, 6.007961
34086, 26.52702, 4.030341, 0.2366262, 6.006669
34086, 26.54923, 4.03021, 0.2365822, 6.006629
34086, 26.59503, 4.0301, 0.2372351, 6.006536
34086, 26.61585, 4.029428, 0.2371573, 6.00703
34086, 26.63866, 4.029036, 0.2372137, 6.007159
34086, 26.66119, 4.029149, 0.2374637, 6.006787
34086, 26.68443, 4.028642, 0.2375878, 6.006824
34086, 26.73301, 4.027832, 0.2384064, 6.007254
34086, 26.75243, 4.027798, 0.2392145, 6.007402
34086, 26.77387, 4.027824, 0.2400449, 6.008067
34086, 26.79216, 4.028063, 0.2409284, 6.00873
34086, 26.81103, 4.027995, 0.241558, 6.009621
34086, 26.83321, 4.028026, 0.2420752, 6.010346
34086, 26.85644, 4.027772, 0.2423222, 6.011374
34086, 26.92227, 4.027578, 0.242112, 6.014033
34086, 27.05538, 4.028223, 0.2385087, 6.018664
34086, 27.07755, 4.028476, 0.2381457, 6.019282
34086, 27.14421, 4.029687, 0.2379377, 6.020384
34086, 27.16641, 4.030261, 0.2379823, 6.020428
34086, 27.19043, 4.030725, 0.2381587, 6.020659
34086, 27.21292, 4.032641, 0.2387789, 6.018954
34086, 27.23444, 4.03308, 0.2389072, 6.019059
34086, 27.25734, 4.033265, 0.2390196, 6.019328
34086, 27.2801, 4.033792, 0.2393186, 6.019312
34086, 27.30563, 4.03399, 0.239337, 6.019948
34086, 27.39444, 4.036087, 0.2398345, 6.019749
34086, 27.41551, 4.03677, 0.2399303, 6.019515
34086, 27.4405, 4.037219, 0.2398762, 6.019686
34086, 27.46693, 4.037562, 0.2399248, 6.020299
34086, 27.58362, 4.03919, 0.2400133, 6.021485
34086, 27.60175, 4.039641, 0.2399196, 6.021463
34086, 27.62587, 4.039903, 0.2398334, 6.021757
34086, 27.64667, 4.040419, 0.2399358, 6.021544
34086, 27.66766, 4.040592, 0.2399225, 6.021932
34086, 27.71063, 4.041263, 0.2398979, 6.022403
34086, 27.77725, 4.041894, 0.2392958, 6.023547
34086, 27.79948, 4.041976, 0.2391309, 6.024376
34086, 27.8217, 4.042296, 0.2392131, 6.024656
34086, 27.84422, 4.042363, 0.2390904, 6.025221
34086, 27.95684, 4.043405, 0.239058, 6.025993
34086, 27.97785, 4.043291, 0.2388072, 6.026533
34086, 28.00066, 4.043192, 0.2388167, 6.026792
34086, 28.02338, 4.043362, 0.2389512, 6.026406
34086, 28.1598, 4.042458, 0.2386051, 6.027007
34086, 28.18199, 4.041936, 0.2381395, 6.027767
34086, 28.20418, 4.042259, 0.2383595, 6.026701
34086, 28.2266, 4.042173, 0.2382827, 6.02631
34086, 28.24863, 4.041634, 0.2382223, 6.026432
34086, 28.27087, 4.041337, 0.2383014, 6.026304
34086, 28.296, 4.040921, 0.2380624, 6.026577
34086, 28.31564, 4.040497, 0.2380073, 6.026636
34086, 28.33727, 4.040764, 0.2382869, 6.025915
34086, 28.38417, 4.039965, 0.2383866, 6.025925
34086, 28.47499, 4.03961, 0.2386386, 6.025016
34086, 28.53417, 4.039702, 0.238606, 6.024161
34086, 28.55475, 4.039949, 0.2386504, 6.023513
34086, 28.57896, 4.039953, 0.2384743, 6.023332
34086, 28.62191, 4.040032, 0.2381772, 6.022616
34086, 28.688, 4.039749, 0.237807, 6.021543
34086, 28.71015, 4.039803, 0.237814, 6.020684
34086, 28.73271, 4.039691, 0.2377757, 6.020175
34086, 28.75465, 4.039421, 0.2377375, 6.019949
34086, 28.77675, 4.039263, 0.2377456, 6.019408
34086, 28.79897, 4.039287, 0.2376866, 6.018727
34086, 28.86609, 4.03877, 0.2375917, 6.017142
34086, 28.88885, 4.038556, 0.2373844, 6.016944
34086, 28.93427, 4.038525, 0.2373591, 6.015429
34086, 28.95796, 4.038452, 0.2373751, 6.014974
34086, 28.97979, 4.039117, 0.2376841, 6.013633
34086, 29.00388, 4.038568, 0.2377585, 6.013803
34086, 29.02522, 4.038452, 0.2378808, 6.013501
34086, 29.04795, 4.038128, 0.2378539, 6.013439
34086, 29.09308, 4.037869, 0.2377203, 6.012767
34086, 29.11535, 4.039314, 0.2383225, 6.010616
34086, 29.13879, 4.038726, 0.237885, 6.010464
34086, 29.20771, 4.038384, 0.2376502, 6.009205
34086, 29.22701, 4.038625, 0.2378318, 6.008448
34086, 29.24712, 4.038308, 0.2378399, 6.008083
34086, 29.27127, 4.038354, 0.2381013, 6.007784
34086, 29.29408, 4.038131, 0.2382875, 6.00768
34086, 29.31361, 4.037669, 0.2382594, 6.007808
34086, 29.36144, 4.037189, 0.2384582, 6.007975
34086, 29.38843, 4.037633, 0.2387343, 6.007096
34086, 29.41612, 4.03751, 0.23853, 6.006832
34086, 29.44363, 4.036766, 0.238289, 6.007576
34086, 29.47122, 4.036624, 0.2382417, 6.00772
34086, 29.50191, 4.036068, 0.2382843, 6.008401
34086, 29.54326, 4.035964, 0.238167, 6.008621
34086, 29.57279, 4.035649, 0.2383183, 6.008892
34086, 29.64365, 4.035501, 0.2381807, 6.009471
34086, 29.66737, 4.036148, 0.2382267, 6.008513
34086, 29.6911, 4.036306, 0.2383188, 6.008399
34086, 30.04015, 4.034389, 0.2380802, 6.010128
34086, 30.06844, 4.033899, 0.238067, 6.010844
34086, 30.13178, 4.033649, 0.2381862, 6.011668
34086, 30.15407, 4.033775, 0.2382023, 6.01165
34086, 30.24281, 4.033519, 0.2383649, 6.01303
34086, 30.265, 4.033296, 0.2382525, 6.013587
34086, 30.37882, 4.033122, 0.2381799, 6.01478
34086, 30.42735, 4.033643, 0.2382134, 6.014254
34086, 30.44948, 4.034095, 0.2382734, 6.016751
34086, 30.46953, 4.035501, 0.2383859, 6.023148
34086, 30.51524, 4.040085, 0.2384711, 6.048887
34086, 30.54184, 4.043144, 0.238559, 6.071113
34086, 30.55953, 4.045655, 0.2384866, 6.093946
34086, 30.58118, 4.047795, 0.2383962, 6.111524
34086, 30.60188, 4.051492, 0.2385851, 6.134271
34086, 30.62096, 4.05372, 0.2386486, 6.153378
34086, 30.64264, 4.056187, 0.2384482, 6.174056
34086, 30.68707, 4.062152, 0.2379954, 6.218577
34086, 30.71083, 4.065627, 0.237991, 6.240809
34086, 30.73495, 4.069074, 0.2382208, 6.26614
34086, 30.75928, 4.072462, 0.2383426, 6.289039
34086, 30.78156, 4.076318, 0.2383812, 6.313965
34086, 30.80464, 4.07965, 0.2384557, 6.336542
34086, 30.82523, 4.083008, 0.2385263, 6.358631
34086, 30.84857, 4.086051, 0.2386623, 6.378325
34086, 30.87318, 4.089875, 0.2386997, 6.402736
34086, 30.89299, 4.093783, 0.2385751, 6.425933
34086, 30.91308, 4.096469, 0.2385373, 6.443581
34086, 30.93858, 4.100451, 0.238533, 6.467011
34086, 30.9648, 4.104889, 0.2385285, 6.49297
34086, 30.98685, 4.10922, 0.2386787, 6.519355
34086, 31.00908, 4.113139, 0.2389496, 6.539041
34086, 31.03132, 4.115007, 0.2388546, 6.550393
34086, 31.0758, 4.114876, 0.2388228, 6.551076
34086, 31.09831, 4.114631, 0.2386337, 6.551563
34086, 31.12086, 4.115147, 0.2387623, 6.551198
34086, 31.14235, 4.115202, 0.2388175, 6.551379
34086, 31.16545, 4.11496, 0.2386851, 6.551736
34086, 31.29792, 4.114816, 0.2385878, 6.552021
34086, 31.32181, 4.114759, 0.2388568, 6.552216
34086, 31.37142, 4.114456, 0.2388202, 6.552331
34086, 31.39329, 4.114576, 0.2386448, 6.552097
34086, 31.4124, 4.114608, 0.2386812, 6.551478
34086, 31.43321, 4.114711, 0.238749, 6.551094
34086, 31.45341, 4.114671, 0.2388828, 6.551033
34086, 31.47563, 4.114695, 0.2390553, 6.547823
34086, 31.49788, 4.113846, 0.2390012, 6.540542
34086, 31.52, 4.113218, 0.2389373, 6.531056
34086, 31.5454, 4.112042, 0.2389021, 6.5151
34086, 31.56438, 4.110709, 0.2387976, 6.497161
34086, 31.58796, 4.109106, 0.2388925, 6.476231
34086, 31.60905, 4.106243, 0.2388291, 6.452517
34086, 31.63104, 4.104207, 0.2388732, 6.432553
34086, 31.6532, 4.10214, 0.2389568, 6.409918
34086, 31.69766, 4.097016, 0.2390179, 6.365478
34086, 31.72244, 4.094327, 0.2391511, 6.341782
34086, 31.74211, 4.09209, 0.2390904, 6.32072
34086, 31.76451, 4.089361, 0.2389695, 6.299054
34086, 31.78725, 4.086569, 0.2388998, 6.275048
34086, 31.80994, 4.084015, 0.2388939, 6.253097
34086, 31.83271, 4.081248, 0.238701, 6.230896
34086, 31.85545, 4.080006, 0.2386798, 6.219461
34086, 31.87818, 4.080162, 0.2387452, 6.21921
34086, 31.90387, 4.080216, 0.2387969, 6.219225
34086, 31.94882, 4.080106, 0.2387014, 6.21942
34086, 31.96863, 4.080397, 0.2388474, 6.219081
34086, 32.03749, 4.08044, 0.2389433, 6.218807
34086, 32.0605, 4.081347, 0.2392772, 6.217388
34086, 32.08287, 4.081207, 0.2391768, 6.217194
34086, 32.10528, 4.081046, 0.2390956, 6.217266
34086, 32.12443, 4.080684, 0.2390534, 6.217296
34086, 32.14843, 4.078903, 0.2390117, 6.217986
34086, 32.1724, 4.075463, 0.2389271, 6.219902
34086, 32.1978, 4.070514, 0.2389562, 6.222523
34086, 32.21969, 4.064552, 0.2389391, 6.226455
34086, 32.24264, 4.059672, 0.23893, 6.233042
34086, 32.26724, 4.056419, 0.2388293, 6.241959
