SubjectID, Time, X, Y, Z
34086, 19.83812, 353.8952, 358.2272, 0.01642613
34086, 19.85812, 354.1939, 358.3925, 0.03059097
34086, 19.88149, 354.2026, 358.3951, -0.0004185086
34086, 19.90318, 354.1734, 358.4042, 359.9719
34086, 19.92553, 354.155, 358.3898, 359.9308
34086, 19.95071, 354.1313, 358.3806, 359.8978
34086, 19.97077, 354.1, 358.3347, 359.8112
34086, 19.99221, 354.138, 358.3004, 359.7206
34086, 20.01418, 354.2273, 358.2586, 359.659
34086, 20.03643, 354.292, 358.2237, 359.6419
34086, 20.05869, 354.3073, 358.1667, 359.6371
34086, 20.08085, 354.2458, 358.0932, 359.6992
34086, 20.10307, 354.1694, 357.9859, 359.7676
34086, 20.12532, 354.1486, 357.7916, 359.8588
34086, 20.14752, 354.1509, 357.6163, 359.9102
34086, 20.17084, 354.1685, 357.5369, 0.001723564
34086, 20.19295, 354.1771, 357.3906, 0.05299285
34086, 20.21419, 354.2085, 357.2666, 0.08763821
34086, 20.23728, 354.2603, 357.1988, 0.1002066
34086, 20.25859, 354.2946, 357.1671, 0.1390663
34086, 20.28258, 354.3174, 357.1677, 0.1436149
34086, 20.30291, 354.3533, 357.1653, 0.1704494
34086, 20.3252, 354.3478, 357.1974, 0.1038126
34086, 20.34891, 354.4322, 357.232, 0.07225054
34086, 20.3711, 354.5139, 357.2848, 0.0126855
34086, 20.39467, 354.5487, 357.3491, 359.9518
34086, 20.4212, 354.5592, 357.4092, 359.9124
34086, 20.44449, 354.5875, 357.4662, 359.8469
34086, 20.46231, 354.6652, 357.543, 359.8
34086, 20.48168, 354.7571, 357.5904, 359.7767
34086, 20.5034, 354.8418, 357.637, 359.7669
34086, 20.52504, 354.9086, 357.6636, 359.7562
34086, 20.54886, 354.9615, 357.6993, 359.7567
34086, 20.57059, 355.0252, 357.7378, 359.748
34086, 20.59169, 355.0974, 357.7887, 359.7684
34086, 20.61563, 355.1541, 357.8344, 359.7847
34086, 20.63617, 355.1695, 357.9012, 359.7906
34086, 20.65835, 355.184, 357.97, 359.7855
34086, 20.6814, 355.1898, 358.0425, 359.7852
34086, 20.70275, 355.206, 358.1374, 359.803
34086, 20.72494, 355.2109, 358.1938, 359.7933
34086, 20.74723, 355.1939, 358.2438, 359.7814
34086, 20.76987, 355.2, 358.3038, 359.7737
34086, 20.79665, 355.1888, 358.3586, 359.7759
34086, 20.82226, 355.1635, 358.4104, 359.7833
34086, 20.84847, 355.1216, 358.4525, 359.7864
34086, 20.87379, 355.1052, 358.474, 359.7931
34086, 20.89462, 355.0992, 358.4781, 359.8088
34086, 20.91454, 355.0782, 358.4724, 359.8415
34086, 20.9394, 355.0583, 358.4547, 359.8706
34086, 20.95817, 355.0287, 358.4456, 359.8341
34086, 20.98045, 355.0172, 358.4874, 359.8545
34086, 21.00259, 355.0085, 358.4807, 359.8785
34086, 21.0282, 355.0561, 358.4514, 359.8892
34086, 21.04704, 355.0669, 358.4529, 359.8927
34086, 21.07004, 355.0585, 358.4442, 359.9126
34086, 21.09147, 355.0419, 358.4099, 359.9409
34086, 21.11452, 355.0552, 358.3762, 359.9677
34086, 21.136, 355.066, 358.3296, 359.9816
34086, 21.16005, 355.0345, 358.292, 359.9909
34086, 21.18035, 354.9788, 358.2669, 359.9893
34086, 21.20258, 354.9358, 358.2631, 359.9915
34086, 21.22517, 354.9057, 358.2648, 0.000860923
34086, 21.24697, 354.907, 358.2649, 0.02668125
34086, 21.27012, 354.8987, 358.2595, 0.02563146
34086, 21.2936, 354.884, 358.2581, 0.01855657
34086, 21.31496, 354.8598, 358.2394, 0.01626498
34086, 21.33711, 354.8447, 358.2002, 0.01678014
34086, 21.36342, 354.8225, 358.1625, 0.006652405
34086, 21.3829, 354.8098, 358.1357, 0.004043924
34086, 21.40579, 354.8043, 358.0993, 0.01634598
34086, 21.42999, 354.7971, 358.0906, -0.0005327152
34086, 21.45554, 354.8217, 358.0817, 359.9943
34086, 21.4782, 354.8301, 358.0418, -0.003404016
34086, 21.49731, 354.847, 358.0506, 0.01691013
34086, 21.51953, 354.8103, 358.0276, 0.03923646
34086, 21.54154, 354.7782, 357.9914, 0.03542323
34086, 21.56573, 354.7301, 357.9889, 359.9808
34086, 21.58841, 354.7096, 357.9752, 359.9193
34086, 21.61125, 354.7369, 357.9795, 359.9099
34086, 21.63255, 354.7197, 357.9609, 359.9132
34086, 21.65216, 354.739, 357.9749, 359.881
34086, 21.67352, 354.7311, 358.0225, 359.87
34086, 21.69915, 354.7275, 358.0453, 359.8804
34086, 21.71784, 354.7087, 358.0539, 359.8833
34086, 21.73979, 354.7006, 358.0628, 359.8622
34086, 21.76055, 354.7023, 358.0933, 359.8331
34086, 21.78003, 354.72, 358.1466, 359.8217
34086, 21.80293, 354.7447, 358.1861, 359.8214
34086, 21.82447, 354.7831, 358.2394, 359.8303
34086, 21.8478, 354.8265, 358.2802, 359.8373
34086, 21.87008, 354.8584, 358.31, 359.8252
