SubjectID, Time, Event
117794, 552.3179, Start
117794, 552.3179, Disable
117794, 718.9052, Enable
118046, 552.3179, Start
118046, 552.3179, Disable
118194, 552.3179, Start
118194, 552.3179, Disable
118194, 718.9052, Enable
118354, 552.3179, Start
118354, 552.3179, Disable
118354, 718.9052, Enable
120252, 552.3179, Start
120252, 552.3179, Disable
119896, 552.3179, Start
119896, 552.3179, Disable
119962, 552.3179, Start
119962, 552.3179, Disable
119636, 552.3179, Start
119636, 552.3179, Disable
120272, 552.3179, Start
120272, 552.3179, Disable
119490, 552.3179, Start
119490, 552.3179, Disable
119490, 590.192, Enable
119490, 640.8067, Disable
119490, 640.8067, Destroy
119980, 552.3179, Start
119980, 552.3179, Disable
119980, 609.9541, Enable
119980, 708.6956, Disable
119980, 708.6956, Destroy
119968, 552.3179, Start
119968, 552.3179, Disable
119968, 649.5391, Enable
119968, 707.4844, Disable
119968, 707.4844, Destroy
119972, 552.3179, Start
119972, 552.3179, Disable
120066, 552.3179, Start
120066, 552.3179, Disable
120074, 552.3179, Start
120074, 552.3179, Disable
120074, 669.2906, Enable
120074, 709.4622, Disable
120074, 709.4622, Destroy
120522, 552.3179, Start
120522, 552.3179, Disable
119954, 552.3179, Start
119954, 552.3179, Disable
120638, 552.3179, Start
120638, 552.3179, Disable
120714, 552.3179, Start
120714, 552.3179, Disable
120714, 669.2906, Enable
120714, 707.24, Disable
120714, 707.24, Destroy
120720, 552.3179, Start
120720, 552.3179, Disable
119892, 552.3179, Start
119892, 552.3179, Disable
120100, 552.3179, Start
120100, 552.3179, Disable
120100, 649.5391, Enable
120100, 707.6289, Disable
120100, 707.6289, Destroy
120098, 552.3179, Start
120098, 552.3179, Disable
119344, 552.3179, Start
119344, 552.3179, Disable
120078, 552.3179, Start
120078, 552.3179, Disable
120086, 552.3179, Start
120086, 552.3179, Disable
120086, 669.2906, Enable
120086, 710.0511, Disable
120086, 710.0511, Destroy
120730, 552.3179, Start
120730, 552.3179, Disable
120724, 552.3179, Start
120724, 552.3179, Disable
120724, 669.2906, Enable
120724, 711.0845, Disable
120724, 711.0845, Destroy
120696, 552.3179, Start
120696, 552.3179, Disable
120148, 552.3179, Start
120148, 552.3179, Disable
120148, 609.9541, Enable
120148, 708.1511, Disable
120148, 708.1511, Destroy
120156, 552.3179, Start
120156, 552.3179, Disable
120248, 552.3179, Start
120248, 552.3179, Disable
120240, 552.3179, Start
120240, 552.3179, Disable
120240, 669.2906, Enable
120240, 710.6956, Disable
120240, 710.6956, Destroy
119500, 552.3179, Start
119500, 552.3179, Disable
120354, 552.3179, Start
120692, 552.3179, Start
