SubjectID, Time, X, Y, Z
39172, 58.2551, 356.9368, 189.2771, 359.6006
39172, 58.2751, 356.4227, 189.1589, 0.02469748
39172, 58.29997, 356.3933, 189.1412, 0.02084559
39172, 58.32357, 356.3642, 189.1422, 0.007846898
39172, 58.34977, 356.3544, 189.1345, 0.01391412
39172, 58.36972, 356.3661, 189.1701, 0.03763338
39172, 58.39169, 356.3694, 189.131, 0.02769183
39172, 58.4141, 356.357, 189.1188, 0.0009926498
39172, 58.43911, 356.3413, 189.1189, 359.9812
39172, 58.46072, 356.3282, 189.0889, 359.969
39172, 58.48195, 356.3121, 189.1223, 0.01149449
39172, 58.50497, 356.282, 189.1317, 0.00127395
39172, 58.52621, 356.1995, 189.1958, 0.01255752
39172, 58.55496, 356.1911, 189.2317, 359.9855
39172, 58.57824, 356.2261, 189.2679, 359.9816
39172, 58.60426, 356.3291, 189.263, 359.9865
39172, 58.62928, 356.3239, 189.2552, 359.9828
39172, 58.65205, 356.3619, 189.2501, 359.9198
39172, 58.67525, 356.3862, 189.2126, 359.9103
39172, 58.69528, 356.3622, 189.1947, 359.887
39172, 58.71966, 356.3615, 189.2136, 359.8715
39172, 58.74166, 356.3725, 189.2045, 359.8624
39172, 58.76513, 356.4013, 189.2167, 359.8745
39172, 58.78573, 356.45, 189.193, 359.8939
39172, 58.81136, 356.5275, 189.1716, 359.8988
39172, 58.83339, 356.6422, 189.1369, 359.8829
39172, 58.85492, 356.7431, 189.0955, 359.8555
39172, 58.88255, 356.8705, 189.0226, 359.8283
39172, 58.90722, 356.9269, 188.9949, 359.8057
39172, 58.93167, 356.9393, 188.9668, 359.7881
39172, 58.9547, 356.9485, 188.9782, 359.7986
39172, 58.98097, 356.9394, 188.941, 359.8149
39172, 59.00803, 356.947, 188.9155, 359.8048
39172, 59.03343, 356.9218, 188.8762, 359.7852
39172, 59.05499, 356.9115, 188.8402, 359.7514
39172, 59.07642, 356.9054, 188.83, 359.7656
39172, 59.10114, 356.9034, 188.8102, 359.7769
39172, 59.1225, 356.9248, 188.8103, 359.7858
39172, 59.14604, 356.9611, 188.8223, 359.7992
39172, 59.17048, 357.0832, 188.8467, 359.8275
39172, 59.19437, 357.2099, 188.8699, 359.8218
39172, 59.21947, 357.4285, 188.8944, 359.795
39172, 59.24617, 357.8998, 188.9545, 359.7971
39172, 59.27061, 359.2739, 189.0504, 0.05619854
39172, 59.29386, 0.5051575, 189.0835, 0.159231
39172, 59.31732, 1.795643, 189.0981, 0.2472678
39172, 59.34111, 3.202062, 189.1426, 0.3415903
39172, 59.36235, 4.421589, 189.2277, 0.3990068
39172, 59.3911, 5.444098, 189.2286, 0.3198369
39172, 59.41444, 6.640046, 189.2351, 0.1706476
39172, 59.43818, 7.05402, 189.328, 0.058024
39172, 59.46221, 7.113103, 189.396, 359.9606
39172, 59.48758, 6.929389, 189.4807, 359.8674
39172, 59.512, 6.605218, 189.5924, 359.8321
39172, 59.53778, 6.063852, 189.7802, 359.8033
39172, 59.56042, 5.726687, 189.8874, 359.7899
39172, 59.58307, 5.423311, 189.9452, 359.7849
39172, 59.60814, 5.156093, 189.9747, 359.8091
39172, 59.63329, 4.913991, 189.9739, 359.8333
39172, 59.65706, 4.728759, 189.9551, 359.8524
39172, 59.68005, 4.553571, 189.8916, 359.846
39172, 59.70333, 4.467841, 189.8149, 359.8303
39172, 59.73016, 4.436726, 189.7349, 359.8247
39172, 59.7522, 4.4115, 189.662, 359.7773
39172, 59.77598, 4.389315, 189.6085, 359.7321
39172, 59.80187, 4.349994, 189.5853, 359.6902
39172, 59.82375, 4.287376, 189.5512, 359.641
39172, 59.84513, 4.197012, 189.5287, 359.6181
39172, 59.87234, 4.029976, 189.4916, 359.5647
39172, 59.89614, 3.919946, 189.4916, 359.5487
39172, 59.919, 3.798061, 189.4848, 359.5172
39172, 59.94236, 3.678065, 189.5233, 359.4719
39172, 59.96551, 3.603587, 189.582, 359.4189
39172, 59.98846, 3.574667, 189.6275, 359.3809
39172, 60.01216, 3.560256, 189.6784, 359.3633
39172, 60.03401, 3.523221, 189.7323, 359.3438
39172, 60.05428, 3.495439, 189.7666, 359.321
39172, 60.07551, 3.505052, 189.8046, 359.3167
39172, 60.09767, 3.52451, 189.8578, 359.3184
39172, 60.11974, 3.519679, 189.8923, 359.3052
39172, 60.14418, 3.476668, 189.9268, 359.3304
39172, 60.1657, 3.491971, 189.9186, 359.3206
39172, 60.18737, 3.501992, 189.8873, 359.3182
39172, 60.212, 3.524682, 189.8387, 359.3115
39172, 60.23397, 3.445798, 189.7643, 359.3306
39172, 60.25798, 3.382638, 189.6629, 359.3354
39172, 60.27966, 3.390986, 189.5838, 359.3358
39172, 60.30309, 3.375166, 189.5258, 359.3487
39172, 60.32476, 3.336371, 189.4987, 359.3317
39172, 60.34629, 3.313775, 189.4263, 359.3246
39172, 60.37607, 3.339068, 189.38, 359.3212
39172, 60.39764, 3.364994, 189.3387, 359.3401
39172, 60.4186, 3.361584, 189.332, 359.3803
39172, 60.44321, 3.325983, 189.3374, 359.3919
39172, 60.46902, 3.304808, 189.3489, 359.4337
39172, 60.4911, 3.294501, 189.3658, 359.4636
39172, 60.51641, 3.272925, 189.3783, 359.4697
39172, 60.54192, 3.278542, 189.4111, 359.5036
39172, 60.56537, 3.29383, 189.4339, 359.5299
39172, 60.58856, 3.27348, 189.4158, 359.5529
39172, 60.61309, 3.246276, 189.3664, 359.5979
39172, 60.6367, 3.216718, 189.3464, 359.6371
39172, 60.66021, 3.207036, 189.3051, 359.6482
39172, 60.68325, 3.275032, 189.2478, 359.666
39172, 60.70527, 3.356204, 189.1973, 359.6935
39172, 60.72761, 3.43557, 189.1434, 359.7184
39172, 60.75219, 3.483759, 189.1116, 359.7669
39172, 60.77471, 3.51647, 189.0562, 359.8134
39172, 60.79694, 3.546062, 189.0051, 359.8703
39172, 60.81785, 3.590839, 188.9466, 359.9393
39172, 60.84516, 3.599055, 188.8615, 359.9705
39172, 60.87396, 3.553492, 188.7202, 359.9851
39172, 60.90173, 3.443549, 188.4744, 359.9508
39172, 60.92526, 3.409525, 188.336, 359.9406
39172, 60.9519, 3.389983, 188.1799, 359.942
39172, 60.9752, 3.405705, 188.0517, 359.9645
39172, 60.99928, 3.428992, 187.958, 359.989
39172, 61.02597, 3.535241, 187.8509, 0.03123812
39172, 61.04916, 3.663816, 187.7845, 0.0801223
39172, 61.0749, 3.788837, 187.7255, 0.1050906
39172, 61.09959, 3.89622, 187.6844, 0.1223216
39172, 61.12811, 3.947042, 187.6317, 0.1081817
39172, 61.15119, 3.933197, 187.6075, 0.1119334
39172, 61.17575, 3.930243, 187.5797, 0.09284668
39172, 61.20139, 3.916107, 187.5959, 0.09895578
39172, 61.22303, 3.918955, 187.6353, 0.1365765
39172, 61.24591, 3.909095, 187.6881, 0.1691185
39172, 61.26846, 3.908233, 187.7457, 0.1930307
39172, 61.29199, 3.922755, 187.7809, 0.1966344
39172, 61.31355, 3.905777, 187.833, 0.2185324
39172, 61.33604, 3.885353, 187.8761, 0.2446233
39172, 61.36494, 3.867338, 187.9096, 0.2558679
39172, 61.38832, 3.833206, 187.9782, 0.2493213
39172, 61.41324, 3.761161, 188.0749, 0.2188867
39172, 61.43735, 3.709402, 188.1557, 0.225895
39172, 61.4602, 3.667458, 188.2199, 0.2199101
39172, 61.48424, 3.612656, 188.304, 0.2110378
39172, 61.50903, 3.53079, 188.3757, 0.1902195
39172, 61.53139, 3.436049, 188.4299, 0.1541322
39172, 61.55227, 3.361521, 188.6316, 0.2205286
39172, 61.57471, 3.363358, 188.661, 0.1484737
39172, 61.59887, 3.438736, 188.6792, 0.08176456
39172, 61.62387, 3.527239, 188.7092, 0.0009723424
39172, 61.64646, 3.546881, 188.7789, 359.9793
39172, 61.67047, 3.583438, 188.7891, 359.9213
39172, 61.69381, 3.634357, 188.8107, 359.8622
39172, 61.72277, 3.698753, 188.8285, 359.7727
39172, 61.74316, 3.793141, 188.8814, 359.7117
39172, 61.76543, 3.882715, 188.9429, 359.6875
39172, 61.78979, 3.998102, 188.9805, 359.6393
39172, 61.81117, 4.096851, 189.0131, 359.5784
39172, 61.83924, 4.201183, 189.0721, 359.5107
39172, 61.86501, 4.230718, 189.0597, 359.4649
39172, 61.88826, 4.2419, 189.01, 359.4376
39172, 61.91504, 4.235084, 188.9426, 359.4233
39172, 61.94065, 4.277809, 188.8712, 359.4478
39172, 61.96141, 4.309737, 188.8069, 359.5078
39172, 61.98582, 4.382864, 188.77, 359.5926
39172, 62.01225, 4.426576, 188.6754, 359.6615
39172, 62.03938, 4.486099, 188.6249, 359.7242
39172, 62.06137, 4.538062, 188.5459, 359.7627
39172, 62.08584, 4.58664, 188.4516, 359.7756
39172, 62.10846, 4.646947, 188.3896, 359.7651
39172, 62.13059, 4.693216, 188.3439, 359.7352
39172, 62.15139, 4.738196, 188.3589, 359.7118
39172, 62.17428, 4.736728, 188.3835, 359.7039
39172, 62.19674, 4.720235, 188.4126, 359.7007
39172, 62.22211, 4.701165, 188.4498, 359.7011
39172, 62.24696, 4.667587, 188.456, 359.692
39172, 62.26802, 4.656186, 188.4499, 359.669
39172, 62.28982, 4.645241, 188.4119, 359.6497
39172, 62.31206, 4.613294, 188.3657, 359.6435
39172, 62.33594, 4.563914, 188.3072, 359.6073
39172, 62.35735, 4.5285, 188.3011, 359.5903
39172, 62.37914, 4.553278, 188.2901, 359.5838
39172, 62.40181, 4.576856, 188.2826, 359.622
39172, 62.42984, 4.569712, 188.2646, 359.6385
39172, 62.45381, 4.577493, 188.2581, 359.6362
39172, 62.47626, 4.590835, 188.2346, 359.6098
39172, 62.50027, 4.657304, 188.2328, 359.5707
39172, 62.52209, 4.698256, 188.2073, 359.5494
39172, 62.54486, 4.657523, 188.215, 359.5235
39172, 62.5673, 4.529061, 188.257, 359.5036
