SubjectID, Time, Event
56974, 109.6228, Start
54714, 109.6228, Start
53696, 109.6228, Start
56618, 109.6228, Start
54470, 109.6228, Start
58498, 109.6228, Start
56152, 109.6228, Start
58420, 109.6228, Start
55144, 109.6228, Start
56234, 109.6228, Start
55022, 109.6228, Start
53800, 109.6228, Start
56174, 109.6228, Start
53872, 109.6228, Start
54058, 109.6228, Start
57454, 109.6228, Start
55332, 109.6228, Start
58726, 109.6228, Start
56698, 109.6228, Start
56224, 109.6228, Start
54012, 109.6228, Start
57712, 109.6228, Start
56218, 109.6228, Start
55392, 109.6228, Start
58624, 109.6228, Start
54316, 109.6228, Start
55750, 109.6228, Start
51862, 109.6228, Start
51742, 109.6228, Start
58652, 109.6228, Start
59444, 109.6228, Start
58674, 109.6228, Start
56582, 109.6228, Start
55444, 109.6228, Start
58476, 109.6228, Start
58534, 109.6228, Start
59542, 109.6228, Start
56824, 109.6228, Start
