SubjectID, Time, X, Y, Z
56974, 109.6228, 114.4376, -0.263873, -60.43356
56974, 109.7319, 114.4367, -0.2638676, -60.45103
56974, 109.8424, 114.4351, -0.2638586, -60.47511
56974, 109.9534, 114.4332, -0.2638478, -60.50375
56974, 110.0535, 114.4313, -0.263837, -60.533
56974, 110.1647, 114.4289, -0.2638235, -60.56892
56974, 110.2755, 114.4263, -0.2638088, -60.60796
56974, 110.3773, 114.4238, -0.2637945, -60.64651
56974, 110.4774, 114.421, -0.2637784, -60.68938
56974, 110.5884, 114.4174, -0.2637583, -60.74332
56974, 110.6995, 114.4135, -0.2637359, -60.80328
56974, 110.7999, 114.4096, -0.2637138, -60.86212
56974, 110.9098, 114.4051, -0.2636881, -60.93108
56974, 111.0207, 114.4002, -0.2636606, -61.00496
56974, 111.1319, 114.3951, -0.2636313, -61.083
56974, 111.2326, 114.3902, -0.2636039, -61.1566
56974, 111.3428, 114.3847, -0.2635726, -61.24018
56974, 111.4433, 114.3796, -0.2635432, -61.31873
56974, 111.5541, 114.3737, -0.26351, -61.40781
56974, 111.6651, 114.3677, -0.2634758, -61.49935
56974, 111.7694, 114.362, -0.2634432, -61.58658
56974, 111.875, 114.356, -0.2634094, -61.67722
56974, 111.9752, 114.3503, -0.2633767, -61.76459
56974, 112.0861, 114.3438, -0.2633401, -61.86273
56974, 112.1973, 114.3372, -0.2633029, -61.96238
56974, 112.4192, 114.3239, -0.2632271, -62.16481
56974, 112.6194, 114.3117, -0.2631576, -62.35071
56974, 112.9425, 114.2916, -0.2630435, -62.65584
56974, 113.5751, 114.2515, -0.2628157, -63.2659
56974, 115.7185, 114.1122, -0.2621307, -65.38372
56974, 116.4737, 114.0627, -0.2656527, -66.13585
56974, 116.5847, 114.0554, -0.2633073, -66.24645
56974, 116.6959, 114.0481, -0.2656527, -66.35732
56974, 122.9818, 113.6356, -0.2656527, -72.62874
56974, 123.0818, 113.6292, -0.2656527, -72.726
56974, 123.1924, 113.6228, -0.2656527, -72.82313
56974, 123.3035, 113.617, -0.2656527, -72.91041
