SubjectID, Time, Event
117794, 778.0836, Start
117794, 778.0836, Disable
117794, 953.392, Enable
118046, 778.0836, Start
118046, 778.0836, Disable
118194, 778.0836, Start
118194, 778.0836, Disable
118194, 953.392, Enable
118354, 778.0836, Start
118354, 778.0836, Disable
118354, 953.392, Enable
120252, 778.0836, Start
120252, 778.0836, Disable
119896, 778.0836, Start
119896, 778.0836, Disable
119962, 778.0836, Start
119962, 778.0836, Disable
119636, 778.0836, Start
119636, 778.0836, Disable
120272, 778.0836, Start
120272, 778.0836, Disable
119490, 778.0836, Start
119490, 778.0836, Disable
119490, 824.7516, Enable
119980, 778.0836, Start
119980, 778.0836, Disable
119980, 844.5127, Enable
119980, 942.8889, Disable
119980, 942.8889, Destroy
119968, 778.0836, Start
119968, 778.0836, Disable
119968, 884.0362, Enable
119968, 940.8445, Disable
119968, 940.8445, Destroy
119972, 778.0836, Start
119972, 778.0836, Disable
120066, 778.0836, Start
120066, 778.0836, Disable
120074, 778.0836, Start
120074, 778.0836, Disable
120074, 903.8292, Enable
120074, 943.5333, Disable
120074, 943.5333, Destroy
120522, 778.0836, Start
120522, 778.0836, Disable
119954, 778.0836, Start
119954, 778.0836, Disable
120638, 778.0836, Start
120638, 778.0836, Disable
120714, 778.0836, Start
120714, 778.0836, Disable
120714, 903.8292, Enable
120714, 941.7889, Disable
120714, 941.7889, Destroy
120720, 778.0836, Start
120720, 778.0836, Disable
119892, 778.0836, Start
119892, 778.0836, Disable
120100, 778.0836, Start
120100, 778.0836, Disable
120100, 884.0362, Enable
120100, 941.8445, Disable
120100, 941.8445, Destroy
120098, 778.0836, Start
120098, 778.0836, Disable
119344, 778.0836, Start
119344, 778.0836, Disable
120078, 778.0836, Start
120078, 778.0836, Disable
120086, 778.0836, Start
120086, 778.0836, Disable
120086, 903.8292, Enable
120086, 943.9667, Disable
120086, 943.9667, Destroy
120730, 778.0836, Start
120730, 778.0836, Disable
120724, 778.0836, Start
120724, 778.0836, Disable
120724, 903.8292, Enable
120724, 944.7556, Disable
120724, 944.7556, Destroy
120696, 778.0836, Start
120696, 778.0836, Disable
120148, 778.0836, Start
120148, 778.0836, Disable
120148, 844.5127, Enable
120148, 942.3445, Disable
120148, 942.3445, Destroy
120156, 778.0836, Start
120156, 778.0836, Disable
120248, 778.0836, Start
120248, 778.0836, Disable
120240, 778.0836, Start
120240, 778.0836, Disable
120240, 903.8292, Enable
120240, 942.4333, Disable
120240, 942.4333, Destroy
119500, 778.0836, Start
119500, 778.0836, Disable
120354, 778.0836, Start
120692, 778.0836, Start
