SubjectID, Time, X, Y, Z
39172, 87.74806, 352.2332, 185.4906, 359.3358
39172, 87.76806, 352.522, 185.5252, 359.4364
39172, 87.79054, 352.4966, 185.5573, 359.4323
39172, 87.8122, 352.5162, 185.568, 359.4233
39172, 87.83441, 352.5248, 185.5759, 359.4262
39172, 87.85679, 352.5405, 185.5903, 359.4101
39172, 87.87676, 352.5514, 185.6108, 359.3891
39172, 87.90018, 352.5742, 185.5991, 359.3673
39172, 87.9201, 352.5914, 185.6227, 359.3538
39172, 87.94308, 352.6142, 185.6417, 359.3384
39172, 87.96416, 352.6311, 185.6601, 359.3292
39172, 87.98772, 352.6621, 185.6763, 359.3318
39172, 88.01239, 352.6535, 185.685, 359.3397
39172, 88.0335, 352.5755, 185.7199, 359.3925
39172, 88.0567, 352.5836, 185.7153, 359.3461
39172, 88.07771, 352.6118, 185.7164, 359.3231
39172, 88.1, 352.6461, 185.7441, 359.3382
39172, 88.11992, 352.6568, 185.7833, 359.3333
39172, 88.14121, 352.6387, 185.8335, 359.3154
39172, 88.16419, 352.6285, 185.8899, 359.321
39172, 88.18606, 352.6602, 185.9194, 359.3249
39172, 88.20712, 352.6729, 185.9424, 359.3216
39172, 88.22906, 352.6568, 185.9621, 359.3316
39172, 88.24924, 352.6706, 186.0033, 359.2751
39172, 88.2729, 352.6791, 186.0299, 359.2753
39172, 88.29704, 352.682, 186.0505, 359.2796
39172, 88.3187, 352.6692, 186.0752, 359.2787
39172, 88.34129, 352.6858, 186.1302, 359.2636
39172, 88.36871, 352.6951, 186.1392, 359.2692
39172, 88.3974, 352.736, 186.1955, 359.2515
39172, 88.42588, 352.7727, 186.2561, 359.2451
39172, 88.45198, 352.7617, 186.3083, 359.2501
39172, 88.47874, 352.7725, 186.3622, 359.2438
39172, 88.50333, 352.7843, 186.4234, 359.2011
39172, 88.53075, 352.8199, 186.4742, 359.2002
39172, 88.55573, 352.8508, 186.5078, 359.2233
39172, 88.58139, 352.8729, 186.5821, 359.1874
39172, 88.60398, 352.925, 186.6524, 359.1495
39172, 88.62832, 352.9823, 186.6929, 359.1731
39172, 88.65151, 353.0221, 186.7569, 359.1772
39172, 88.67628, 353.0571, 186.8361, 359.1465
39172, 88.6981, 353.0869, 186.939, 359.1153
39172, 88.7213, 353.1636, 187.0161, 359.0952
39172, 88.7462, 353.2133, 187.117, 359.0717
39172, 88.77134, 353.2657, 187.2783, 359.0568
39172, 88.79208, 353.2978, 187.3994, 359.0031
39172, 88.8162, 353.3093, 187.534, 359.0027
39172, 88.84502, 353.3452, 187.6736, 358.9787
39172, 88.87216, 353.4113, 187.9474, 358.945
39172, 88.89468, 353.479, 188.1283, 358.8839
39172, 88.91777, 353.5065, 188.3384, 358.8549
39172, 88.94345, 353.5484, 188.572, 358.8349
39172, 88.96716, 353.5886, 188.7969, 358.804
39172, 88.99268, 353.6703, 189.1833, 358.7532
39172, 89.01914, 353.7232, 189.4592, 358.7324
39172, 89.04474, 353.792, 189.7337, 358.7408
39172, 89.06954, 353.9158, 190.1791, 358.764
39172, 89.09472, 354.0023, 190.4793, 358.7992
39172, 89.11819, 354.0474, 190.7832, 358.8399
39172, 89.14173, 354.1032, 191.0915, 358.8577
39172, 89.16525, 354.1921, 191.4115, 358.8881
39172, 89.18871, 354.2452, 191.7446, 358.9413
39172, 89.21048, 354.2924, 192.0473, 358.9818
39172, 89.23423, 354.3209, 192.3856, 358.9854
39172, 89.25802, 354.3303, 192.8973, 359.0093
39172, 89.27998, 354.3198, 193.2013, 359.0269
39172, 89.30956, 354.308, 193.4953, 359.0297
39172, 89.333, 354.2764, 193.8251, 359.0016
39172, 89.35317, 354.255, 194.162, 358.9997
39172, 89.37431, 354.2376, 194.5297, 359.0317
39172, 89.39844, 354.2399, 194.9424, 359.0603
39172, 89.41939, 354.2455, 195.3143, 359.0501
39172, 89.4438, 354.2775, 195.746, 359.0917
39172, 89.46874, 354.3707, 196.4512, 359.1512
39172, 89.49313, 354.4591, 196.9426, 359.2076
39172, 89.51563, 354.5482, 197.4578, 359.2731
39172, 89.53883, 354.5963, 198.0387, 359.352
39172, 89.56646, 354.662, 198.6234, 359.4299
39172, 89.59426, 354.7425, 199.5399, 359.5461
39172, 89.61766, 354.7964, 200.1484, 359.6584
39172, 89.64191, 354.8172, 200.7632, 359.7738
39172, 89.66596, 354.7726, 201.3833, 359.8594
39172, 89.68855, 354.8002, 201.9821, 359.8748
39172, 89.71166, 354.7934, 202.5547, 359.9265
39172, 89.73933, 354.8395, 203.3587, 0.06242376
39172, 89.76516, 354.8314, 203.8382, 0.1259676
39172, 89.78593, 354.7915, 204.3098, 0.1975919
39172, 89.80783, 354.7611, 204.7378, 0.2500842
39172, 89.83095, 354.7517, 205.116, 0.3267566
