SubjectID, Time, X, Y, Z
34086, 36.91891, 3.855241, 0.5193666, 3.943831
34086, 36.93891, 3.852532, 0.3214234, 5.945693
34086, 36.9607, 3.852405, 0.3213755, 5.945708
34086, 36.98501, 3.852741, 0.3212166, 5.944613
34086, 37.0112, 3.852066, 0.3209405, 5.94502
34086, 37.05651, 3.851415, 0.3208269, 5.944952
34086, 37.08091, 3.850672, 0.3206505, 5.944834
34086, 37.12984, 3.849896, 0.3206484, 5.944376
34086, 37.1571, 3.849597, 0.3207603, 5.943901
34086, 37.17469, 3.849609, 0.3208301, 5.943182
34086, 37.44282, 3.845637, 0.3217267, 5.935355
34086, 37.46104, 3.845571, 0.3218675, 5.934508
34086, 37.56866, 3.844189, 0.3222981, 5.932586
34086, 37.59087, 3.844004, 0.3221849, 5.932297
34086, 37.72826, 3.843169, 0.3210961, 5.932234
34086, 37.74632, 3.843138, 0.3208648, 5.932415
34086, 37.81332, 3.843537, 0.3200923, 5.931993
34086, 37.83677, 3.843564, 0.3199564, 5.932124
34086, 37.85818, 3.84411, 0.3195289, 5.93177
34086, 37.88132, 3.844207, 0.3193855, 5.931748
34086, 37.90181, 3.843892, 0.3192449, 5.932322
34086, 37.92428, 3.844063, 0.3190631, 5.932371
34086, 38.03885, 3.844971, 0.3169448, 5.934298
34086, 38.08474, 3.845983, 0.3162073, 5.934586
34086, 38.10946, 3.84608, 0.3155791, 5.935062
34086, 38.12748, 3.846263, 0.3151787, 5.935553
34086, 38.17192, 3.846563, 0.3144925, 5.936387
34086, 38.30526, 3.847712, 0.3135431, 5.937564
34086, 38.32742, 3.84849, 0.3135735, 5.936939
34086, 38.37479, 3.848977, 0.3133702, 5.937203
34086, 38.39403, 3.850034, 0.3136431, 5.936482
34086, 38.44063, 3.850728, 0.3133184, 5.93668
34086, 38.48316, 3.85163, 0.3130708, 5.936483
34086, 38.50705, 3.852037, 0.3129913, 5.936623
34086, 38.52853, 3.852124, 0.3129324, 5.937091
34086, 38.57383, 3.852746, 0.3127284, 5.937501
34086, 38.59497, 3.852829, 0.3125504, 5.937844
34086, 38.64102, 3.853604, 0.3125294, 5.938158
34086, 38.66217, 3.854185, 0.3124363, 5.938099
34086, 38.75026, 3.855073, 0.3124489, 5.938657
34086, 38.77541, 3.855643, 0.3125747, 5.938526
34086, 38.79463, 3.855756, 0.3126626, 5.93872
34086, 38.81986, 3.856616, 0.3129283, 5.937927
34086, 38.86435, 3.856871, 0.3129245, 5.937973
34086, 38.92603, 3.856409, 0.312769, 5.939131
34086, 38.94813, 3.856672, 0.3126296, 5.93895
34086, 39.08482, 3.856346, 0.3125532, 5.93997
34086, 39.10917, 3.857768, 0.3130255, 5.93808
34086, 39.13023, 3.857153, 0.3127149, 5.938683
34086, 39.15156, 3.856354, 0.3125399, 5.939649
34086, 39.19653, 3.855875, 0.3124725, 5.940073
34086, 39.21725, 3.855417, 0.3123782, 5.940379
34086, 39.2419, 3.855177, 0.312381, 5.940464
34086, 39.25938, 3.854907, 0.3124556, 5.940689
34086, 39.28171, 3.854501, 0.3123275, 5.940838
34086, 39.30431, 3.854451, 0.3124189, 5.940663
34086, 39.32336, 3.85404, 0.3123122, 5.940882
34086, 39.34558, 3.853769, 0.3122851, 5.940905
34086, 39.36778, 3.853279, 0.3121839, 5.941108
34086, 39.47916, 3.851548, 0.3123412, 5.941206
34086, 39.52336, 3.850461, 0.312266, 5.941737
34086, 39.54904, 3.850227, 0.3122636, 5.941599
34086, 39.57304, 3.851565, 0.3126637, 5.939626
34086, 39.61839, 3.850951, 0.3127471, 5.939593
34086, 39.6428, 3.850445, 0.3126879, 5.93999
