SubjectID, Time, X, Y, Z
34086, 36.91891, 343.4206, 0.1545842, 359.7603
34086, 36.93891, 343.4945, 358.4051, 0.1256913
34086, 36.9607, 343.502, 358.3939, 0.1386571
34086, 36.98501, 343.5627, 358.4317, 0.1674634
34086, 37.0112, 343.6336, 358.4217, 0.2085109
34086, 37.03335, 343.6056, 358.4469, 0.2400643
34086, 37.05651, 343.5919, 358.4738, 0.3397597
34086, 37.08091, 343.5773, 358.4467, 0.4911035
34086, 37.10472, 343.5642, 358.4431, 0.5565799
34086, 37.12984, 343.5097, 358.4171, 0.6151314
34086, 37.1571, 343.3694, 358.3795, 0.6754112
34086, 37.17469, 343.1974, 358.3846, 0.8003821
34086, 37.44282, 342.0551, 359.2346, 1.797208
34086, 37.46104, 341.903, 359.2807, 1.795594
34086, 37.48734, 341.7829, 359.3366, 1.782236
34086, 37.50989, 341.6703, 359.3837, 1.738822
34086, 37.52675, 341.5832, 359.4206, 1.677819
34086, 37.54818, 341.525, 359.4654, 1.598101
34086, 37.56866, 341.5288, 359.5093, 1.520352
34086, 37.59087, 341.6139, 359.5999, 1.423865
34086, 37.61531, 341.7496, 359.7111, 1.327409
34086, 37.63631, 341.8611, 359.8612, 1.250136
34086, 37.65751, 341.9894, 0.0429623, 1.144205
34086, 37.67969, 342.1605, 0.2515084, 1.059806
34086, 37.70192, 342.3923, 0.4442703, 1.022507
34086, 37.72826, 342.6303, 0.6481385, 0.9845409
34086, 37.74632, 342.8705, 0.8497041, 0.9266086
34086, 37.7685, 343.1176, 1.067213, 0.8605015
34086, 37.79366, 343.3574, 1.257936, 0.7644668
34086, 37.81332, 343.5865, 1.426321, 0.6822087
34086, 37.83677, 343.7714, 1.571415, 0.6047369
34086, 37.85818, 343.9363, 1.747411, 0.5219832
34086, 37.88132, 344.1306, 1.847364, 0.4013884
34086, 37.90181, 344.4107, 1.901591, 0.2905409
34086, 37.92428, 344.6909, 1.965289, 0.1666421
34086, 37.9487, 344.9827, 2.019201, 0.009745305
34086, 37.96998, 345.3142, 2.088764, 359.875
34086, 37.99279, 345.7271, 2.166934, 359.7328
34086, 38.01554, 346.218, 2.246879, 359.6159
34086, 38.03885, 346.6461, 2.341423, 359.5232
34086, 38.06459, 347.0415, 2.453929, 359.4626
34086, 38.08474, 347.4679, 2.596129, 359.3877
34086, 38.10946, 347.9223, 2.700138, 359.4007
34086, 38.12748, 348.2819, 2.775367, 359.4459
34086, 38.14974, 348.6103, 2.801004, 359.467
34086, 38.17192, 348.8954, 2.833016, 359.5289
34086, 38.19581, 349.1018, 2.838844, 359.591
34086, 38.21708, 349.2853, 2.833605, 359.6483
34086, 38.23859, 349.4629, 2.834713, 359.6993
34086, 38.26086, 349.5648, 2.828322, 359.7207
34086, 38.28426, 349.5899, 2.817464, 359.7216
34086, 38.30526, 349.6317, 2.800342, 359.7267
34086, 38.32742, 349.669, 2.801277, 359.6952
34086, 38.34962, 349.7499, 2.802339, 359.6736
34086, 38.37479, 349.817, 2.813113, 359.6358
34086, 38.39403, 349.8164, 2.883104, 359.5511
34086, 38.41634, 349.8603, 2.917411, 359.516
34086, 38.44063, 349.914, 2.976785, 359.4744
34086, 38.46074, 349.9692, 3.038249, 359.4362
