SubjectID, Time, X, Y, Z
39166, 70.53217, 0.9979565, 220.4878, 354.5934
39166, 70.55217, 2.601873, 220.575, 355.7515
39166, 70.57562, 2.610126, 220.5012, 355.7864
39166, 70.59743, 2.6568, 220.5055, 355.8767
39166, 70.61963, 2.83288, 220.5195, 355.9384
39166, 70.64192, 2.970886, 220.5515, 356.0041
39166, 70.66401, 2.964678, 220.5753, 356.0478
39166, 70.68792, 2.935891, 220.615, 356.069
39166, 70.70844, 2.952282, 220.6604, 356.0612
39166, 70.73064, 2.96301, 220.6507, 355.988
39166, 70.75411, 2.915573, 220.6026, 355.9595
39166, 70.77512, 3.093645, 220.5934, 355.9601
39166, 70.79731, 3.281453, 220.5521, 355.8564
39166, 70.82143, 3.32961, 220.4953, 355.8222
39166, 70.84621, 3.302388, 220.4813, 355.865
39166, 70.86674, 3.283518, 220.4844, 355.9051
39166, 70.88659, 3.324923, 220.5317, 355.8976
39166, 70.90835, 3.31714, 220.5927, 355.9397
39166, 70.93049, 3.245326, 220.6629, 355.9847
39166, 70.95307, 3.130114, 220.7608, 356.0142
39166, 70.97495, 2.994351, 220.8177, 356.0248
39166, 70.99775, 2.782851, 220.8416, 355.9786
39166, 71.02301, 2.493462, 220.8053, 355.9386
39166, 71.04411, 2.223121, 220.7348, 355.9581
39166, 71.06382, 2.001042, 220.6737, 355.9843
39166, 71.08827, 1.732072, 220.6458, 355.9902
39166, 71.10825, 1.350325, 220.6564, 356.0112
39166, 71.13047, 0.9962019, 220.675, 356.0489
39166, 71.15293, 0.6286021, 220.6944, 356.0802
39166, 71.17792, 0.2181595, 220.7028, 356.111
39166, 71.19833, 359.824, 220.7376, 356.1338
39166, 71.22074, 359.4442, 220.7682, 356.1269
39166, 71.24342, 359.0822, 220.8555, 356.0177
39166, 71.26634, 358.7311, 220.8304, 356.0298
39166, 71.288, 358.3339, 220.7735, 356.069
39166, 71.31017, 357.8995, 220.7169, 356.1021
39166, 71.33326, 357.5215, 220.6021, 356.0981
39166, 71.35456, 357.2156, 220.4872, 356.0771
39166, 71.37705, 356.9362, 220.282, 356.1436
39166, 71.39976, 356.6972, 219.9457, 356.227
39166, 71.42175, 356.5086, 219.6027, 356.2799
39166, 71.44498, 356.3444, 219.2742, 356.3572
39166, 71.46622, 356.1438, 218.95, 356.4468
39166, 71.48842, 355.9059, 218.6785, 356.523
39166, 71.51061, 355.6617, 218.417, 356.583
39166, 71.53282, 355.3115, 218.199, 356.7141
39166, 71.55562, 354.9478, 218.0132, 356.786
39166, 71.57851, 354.6196, 217.8141, 356.8326
39166, 71.60045, 354.3116, 217.5681, 356.9121
39166, 71.6247, 354.0516, 217.3321, 356.9944
39166, 71.64631, 353.8214, 217.0925, 357.1136
39166, 71.6681, 353.6258, 216.7767, 357.229
39166, 71.69025, 353.4282, 216.4293, 357.3375
39166, 71.71247, 353.2749, 216.0939, 357.4086
39166, 71.7347, 353.111, 215.8153, 357.4704
39166, 71.75695, 352.8825, 215.5913, 357.5444
39166, 71.77921, 352.6742, 215.4346, 357.6045
39166, 71.80142, 352.4842, 215.3475, 357.6407
39166, 71.82487, 352.2242, 215.3804, 357.6917
39166, 71.84607, 351.8879, 215.4647, 357.7412
39166, 71.86893, 351.5645, 215.596, 357.7476
39166, 71.89055, 351.2467, 215.7679, 357.7627
39166, 71.9128, 350.8953, 215.9199, 357.7574
39166, 71.93825, 350.5269, 216.0698, 357.7654
39166, 71.95837, 350.1365, 216.2216, 357.7758
39166, 71.97858, 349.6778, 216.3781, 357.7555
39166, 72.00042, 349.1796, 216.5226, 357.7404
39166, 72.02247, 348.7135, 216.6453, 357.736
39166, 72.04343, 348.2921, 216.7765, 357.7245
39166, 72.06562, 347.8224, 216.9411, 357.7055
39166, 72.08899, 347.2406, 217.1454, 357.7282
39166, 72.1126, 346.6682, 217.4018, 357.7483
39166, 72.13839, 346.1251, 217.6967, 357.7759
39166, 72.15839, 345.6382, 218.0313, 357.8051
39166, 72.18035, 345.2183, 218.3992, 357.8427
39166, 72.20124, 344.9117, 218.8395, 357.8369
39166, 72.22239, 344.7285, 219.3526, 357.7359
39166, 72.24471, 344.62, 219.8845, 357.6595
39166, 72.26716, 344.5692, 220.4356, 357.602
39166, 72.28751, 344.5634, 220.9493, 357.5228
39166, 72.30775, 344.5816, 221.4717, 357.4507
39166, 72.32998, 344.649, 221.9837, 357.3381
39166, 72.35213, 344.7685, 222.4722, 357.2227
39166, 72.37439, 344.8894, 222.9199, 357.1451
39166, 72.39661, 345.0021, 223.3789, 357.0919
39166, 72.41888, 345.0674, 223.845, 357.0089
39166, 72.44109, 345.1152, 224.3335, 356.8961
39166, 72.46321, 345.1052, 224.876, 356.8029
39166, 72.48546, 345.093, 225.4051, 356.7362
39166, 72.50798, 345.0677, 226.059, 356.6766
39166, 72.52983, 345.1523, 226.9366, 356.5542
39166, 72.55586, 345.2278, 227.8268, 356.5032
39166, 72.57527, 345.2953, 228.8091, 356.513
39166, 72.59757, 345.3946, 229.731, 356.4897
39166, 72.62032, 345.5213, 230.6585, 356.4308
39166, 72.64309, 345.6549, 231.6036, 356.33
39166, 72.66578, 345.7665, 232.5551, 356.2717
39166, 72.68885, 345.8921, 233.4744, 356.2335
39166, 72.71109, 346.0677, 234.347, 356.227
39166, 72.73574, 346.2244, 235.1309, 356.2086
39166, 72.7596, 346.338, 235.9089, 356.169
39166, 72.77961, 346.4149, 236.6255, 356.1212
39166, 72.80224, 346.4543, 237.2787, 356.0852
39166, 72.82229, 346.4842, 237.8755, 356.0729
39166, 72.84248, 346.508, 238.3996, 356.0646
39166, 72.86474, 346.5146, 238.8302, 356.0547
39166, 72.88852, 346.5065, 239.1999, 356.0593
39166, 72.90916, 346.489, 239.5376, 356.0658
39166, 72.93132, 346.45, 239.819, 356.095
39166, 72.95358, 346.4068, 240.1224, 356.1161
39166, 72.97581, 346.3842, 240.3776, 356.1214
39166, 72.99802, 346.3788, 240.6487, 356.1282
39166, 73.02023, 346.3826, 240.932, 356.1437
39166, 73.0424, 346.4356, 241.2384, 356.1736
39166, 73.06585, 346.4771, 241.5403, 356.209
39166, 73.08684, 346.517, 241.8561, 356.2642
39166, 73.10905, 346.5563, 242.1886, 356.3153
39166, 73.13303, 346.5603, 242.5247, 356.3326
39166, 73.15349, 346.5703, 242.8495, 356.3609
39166, 73.17613, 346.5926, 243.1684, 356.4176
39166, 73.19868, 346.6162, 243.5205, 356.4518
39166, 73.22123, 346.6598, 243.8325, 356.4532
39166, 73.24392, 346.6958, 244.238, 356.4331
39166, 73.26642, 346.7725, 244.5237, 356.4075
39166, 73.2905, 346.8535, 244.7967, 356.392
39166, 73.31487, 346.9683, 245.0434, 356.3624
39166, 73.33756, 347.094, 245.298, 356.3223
39166, 73.35709, 347.2553, 245.5217, 356.2741
39166, 73.37859, 347.3859, 245.7345, 356.2289
39166, 73.39934, 347.4191, 245.9577, 356.2075
39166, 73.42687, 347.515, 246.1597, 356.196
39166, 73.44897, 347.5568, 246.3645, 356.1734
39166, 73.47073, 347.5525, 246.5753, 356.172
39166, 73.49176, 347.5651, 246.794, 356.1763
39166, 73.51164, 347.6125, 247.0105, 356.2008
39166, 73.5303, 347.6735, 247.2281, 356.2391
39166, 73.55163, 347.7743, 247.4004, 356.2832
39166, 73.57377, 347.9198, 247.5953, 356.3404
39166, 73.59604, 348.1062, 247.7635, 356.4103
39166, 73.6182, 348.3427, 247.8845, 356.4027
39166, 73.64066, 348.6099, 247.9482, 356.4183
39166, 73.66757, 348.8753, 247.9368, 356.5032
39166, 73.68913, 349.1569, 247.8519, 356.5712
39166, 73.71025, 349.4848, 247.6768, 356.6422
39166, 73.73048, 349.902, 247.4321, 356.7037
39166, 73.75143, 350.4164, 247.0582, 356.7967
39166, 73.77377, 351.0301, 246.5686, 356.8977
39166, 73.79594, 351.7466, 245.9677, 356.9216
39166, 73.81806, 352.6008, 245.2478, 356.9881
39166, 73.84035, 353.5522, 244.3398, 357.0293
39166, 73.86304, 354.4965, 243.2863, 357.0705
39166, 73.88482, 355.3651, 242.1845, 357.1213
39166, 73.90695, 356.2289, 241.0375, 357.1667
39166, 73.92982, 357.0623, 239.8608, 357.1937
39166, 73.95216, 357.8801, 238.6783, 357.2008
39166, 73.97442, 358.612, 237.489, 357.211
39166, 73.99663, 359.3533, 236.3426, 357.2088
39166, 74.01888, 0.1173279, 235.1964, 357.2094
39166, 74.04127, 0.8596627, 234.0179, 357.2421
39166, 74.06393, 1.66387, 232.8105, 357.2684
39166, 74.08671, 2.536944, 231.648, 357.1522
39166, 74.10917, 3.375886, 230.461, 356.9439
39166, 74.13186, 4.030212, 229.3206, 356.7919
39166, 74.15452, 4.568289, 228.152, 356.7568
39166, 74.17714, 4.979732, 226.9661, 356.7001
39166, 74.19985, 5.316029, 225.8305, 356.6155
39166, 74.22231, 5.598793, 224.7635, 356.4897
39166, 74.24521, 5.966433, 223.764, 356.514
39166, 74.2674, 6.384252, 222.7131, 356.4537
39166, 74.29259, 6.534712, 221.7074, 356.3504
39166, 74.31248, 6.473412, 220.671, 356.236
39166, 74.33342, 6.523511, 219.6982, 356.1744
39166, 74.35592, 6.525358, 218.6547, 356.1814
39166, 74.37859, 6.616868, 217.7091, 356.179
39166, 74.40003, 6.731669, 216.8555, 356.2054
39166, 74.42223, 6.926122, 216.0588, 356.2115
39166, 74.4445, 7.159797, 215.3141, 356.237
39166, 74.46665, 7.334924, 214.671, 356.2557
39166, 74.48894, 7.314934, 214.0443, 356.2317
39166, 74.51115, 7.312197, 213.4111, 356.1796
39166, 74.53427, 7.275378, 212.8517, 356.1504
39166, 74.55694, 7.351308, 212.1873, 356.0995
39166, 74.57779, 7.474142, 211.5089, 356.0349
39166, 74.59995, 7.47295, 210.9132, 355.9146
39166, 74.62218, 7.438845, 210.3206, 355.8203
39166, 74.64641, 7.529572, 209.7681, 355.7379
39166, 74.66653, 7.59116, 209.2502, 355.6925
39166, 74.68787, 7.605138, 208.7634, 355.7055
39166, 74.71009, 7.575575, 208.2364, 355.6931
39166, 74.73223, 7.548318, 207.7042, 355.6421
39166, 74.75452, 7.495271, 207.199, 355.5991
39166, 74.77673, 7.420827, 206.6897, 355.5763
39166, 74.79897, 7.298126, 206.0455, 355.5649
39166, 74.82119, 7.20589, 205.3555, 355.4576
39166, 74.84368, 7.281132, 204.6988, 355.3312
39166, 74.86636, 7.348005, 204.0884, 355.2188
39166, 74.88777, 7.356042, 203.5724, 355.0697
39166, 74.91, 7.406375, 203.1118, 354.9381
39166, 74.93547, 7.470413, 202.6523, 354.8433
39166, 74.95512, 7.519219, 202.1726, 354.7394
