SubjectID, Time, Event
87638, 342.5865, Start
87672, 342.5865, Start
94652, 342.5865, Start
88026, 342.5865, Start
93574, 342.5865, Start
94538, 342.5865, Start
88602, 342.5865, Start
93674, 342.5865, Start
93292, 342.5865, Start
94596, 342.5865, Start
90760, 342.5865, Start
93594, 342.5865, Start
91292, 342.5865, Start
91050, 342.5865, Start
94010, 342.5865, Start
88060, 342.5865, Start
91056, 342.5865, Start
90878, 342.5865, Start
94342, 342.5865, Start
93350, 342.5865, Start
89516, 342.5865, Start
93860, 342.5865, Start
94718, 342.5865, Start
94832, 342.5865, Start
90602, 342.5865, Start
