SubjectID, Time, X, Y, Z
87638, 342.5865, 48.9, 22.79, -132.19
87638, 364.6455, 48.9, 22.79, -132.19
87638, 364.7546, 48.89014, 22.79, -132.1896
87638, 364.8571, 48.86866, 22.79, -132.1887
87638, 364.9684, 48.83645, 22.79, -132.1873
87638, 365.0753, 48.79762, 22.79, -132.1857
87638, 365.1896, 48.74886, 22.79, -132.1837
87638, 365.3007, 48.69518, 22.79, -132.1814
87638, 365.4152, 48.63344, 22.79, -132.1788
87638, 365.523, 48.57, 22.79, -132.1762
87638, 365.6324, 48.50096, 22.79, -132.1733
87638, 365.9331, 48.29556, 22.79, -132.1647
87638, 400.7782, 48.29556, 22.79, -132.1647
87638, 400.8838, 48.30395, 22.79, -132.1879
87638, 400.9839, 48.32376, 22.79, -132.2428
87638, 401.0983, 48.34781, 22.79, -132.3095
87638, 401.1985, 48.37019, 22.79, -132.3716
87638, 401.3131, 48.39716, 22.79, -132.4464
87638, 401.4156, 48.42239, 22.79, -132.5163
87638, 401.5187, 48.4487, 22.79, -132.5892
87638, 401.6191, 48.47515, 22.79, -132.6626
87638, 401.7203, 48.50256, 22.79, -132.7386
87638, 401.8315, 48.53344, 22.79, -132.8242
87638, 401.9451, 48.56569, 22.79, -132.9137
87638, 402.0498, 48.59606, 22.79, -132.9979
87638, 402.1561, 48.62741, 22.79, -133.0848
87638, 402.2644, 48.65411, 22.79, -133.1589
87638, 402.3785, 48.66164, 22.79, -133.1797
87638, 422.1958, 48.66164, 22.79, -133.1797
87638, 422.2965, 48.66547, 22.79, -133.158
87638, 422.4108, 48.67889, 22.79, -133.0816
87638, 422.5245, 48.69252, 22.79, -133.004
87638, 422.6288, 48.69915, 22.79, -132.9663
87638, 442.4861, 48.69934, 22.79, -132.9651
87638, 442.5862, 48.69976, 22.79, -132.9601
87638, 442.701, 48.7042, 22.79, -132.9064
87638, 442.8012, 48.70878, 22.79, -132.851
87638, 442.9138, 48.71418, 22.79, -132.7856
87638, 443.0197, 48.71965, 22.79, -132.7194
87638, 443.1345, 48.72595, 22.79, -132.6433
87638, 443.2473, 48.73248, 22.79, -132.5644
87638, 443.3526, 48.73884, 22.79, -132.4875
87638, 443.4529, 48.74511, 22.79, -132.4116
87638, 443.5681, 48.75256, 22.79, -132.3216
87638, 443.6813, 48.76009, 22.79, -132.2305
87638, 443.7852, 48.76717, 22.79, -132.1449
87638, 443.891, 48.77454, 22.79, -132.0559
87638, 443.9912, 48.78164, 22.79, -131.97
87638, 444.0964, 48.78922, 22.79, -131.8784
87638, 444.2117, 48.79765, 22.79, -131.7765
87638, 444.3238, 48.80596, 22.79, -131.676
87638, 444.5295, 48.82145, 22.79, -131.4886
87638, 444.6296, 48.82909, 22.79, -131.3962
87638, 444.7349, 48.83644, 22.79, -131.3073
87638, 444.8356, 48.8396, 22.79, -131.2691
87638, 444.9404, 48.83973, 22.79, -131.2675
87638, 458.7276, 48.83973, 22.79, -131.2675
87638, 458.8324, 48.80824, 22.79, -131.2697
87638, 458.945, 48.71702, 22.79, -131.2761
87638, 459.2789, 48.40182, 22.79, -131.2981
87638, 459.3933, 48.29262, 22.79, -131.3058
87638, 459.5008, 48.22646, 22.79, -131.3104
87638, 459.6044, 48.21477, 22.79, -131.3112
87638, 474.398, 48.21477, 22.79, -131.3112
87638, 474.4988, 48.23109, 22.79, -131.2961
87638, 474.6043, 48.28808, 22.79, -131.2437
87638, 475.053, 48.60459, 22.79, -130.9521
87638, 475.1642, 48.68386, 22.79, -130.879
87638, 475.2642, 48.75011, 22.79, -130.818
87638, 475.3705, 48.78415, 22.79, -130.7867
87638, 475.4862, 48.78628, 22.79, -130.7847
87638, 477.1963, 48.78628, 22.79, -130.7847
87672, 342.5865, 38.34396, 22.82, -119.1392
87672, 342.6932, 38.3369, 22.82, -119.0899
87672, 342.7956, 38.32801, 22.82, -119.0279
87672, 342.9115, 38.31731, 22.82, -118.9531
87672, 343.0224, 38.30651, 22.82, -118.8777
87672, 343.1367, 38.29483, 22.82, -118.7962
87672, 343.2449, 38.28332, 22.82, -118.7159
87672, 343.3555, 38.27115, 22.82, -118.6309
87672, 343.4608, 38.25919, 22.82, -118.5474
87672, 343.5697, 38.24649, 22.82, -118.4588
87672, 343.6737, 38.2341, 22.82, -118.3723
87672, 343.7775, 38.2215, 22.82, -118.2843
87672, 343.892, 38.20737, 22.82, -118.1857
87672, 343.9997, 38.19389, 22.82, -118.0915
87672, 344.1107, 38.17978, 22.82, -117.9931
87672, 344.2249, 38.1651, 22.82, -117.8906
87672, 344.4276, 38.13861, 22.82, -117.7057
87672, 344.7319, 38.09809, 22.82, -117.4228
87672, 345.1828, 38.03684, 22.82, -116.9951
87672, 346.6541, 37.83183, 22.82, -115.5636
87672, 347.5025, 37.71216, 22.82, -114.7281
87672, 347.6129, 37.69935, 22.82, -114.6387
87672, 347.7248, 37.69166, 22.82, -114.585
87672, 347.8432, 37.68933, 22.82, -114.5688
87672, 363.5576, 37.68933, 22.82, -114.5688
87672, 363.6685, 37.67464, 22.82, -114.5685
87672, 363.7827, 37.62106, 22.82, -114.5674
87672, 363.8879, 37.53646, 22.82, -114.5658
87672, 368.158, 33.27706, 22.82, -114.483
87672, 368.2581, 33.17778, 22.82, -114.478
87672, 368.3581, 33.07886, 22.82, -114.4698
87672, 368.4789, 32.95953, 22.82, -114.4565
87672, 368.5835, 32.86028, 22.82, -114.4459
87672, 368.6846, 32.79201, 22.82, -114.4388
87672, 368.788, 32.75379, 22.82, -114.4348
87672, 368.8885, 32.74604, 22.82, -114.4339
87672, 381.5123, 32.74604, 22.82, -114.4339
87672, 381.618, 32.74873, 22.82, -114.438
87672, 381.7213, 32.76394, 22.82, -114.4613
87672, 381.8292, 32.78152, 22.82, -114.4864
87672, 381.9292, 32.79993, 22.82, -114.5072
87672, 382.03, 32.82118, 22.82, -114.5284
87672, 382.1425, 32.84363, 22.82, -114.5527
87672, 382.4539, 32.91871, 22.82, -114.6384
87672, 382.5623, 32.94423, 22.82, -114.6697
87672, 382.6626, 32.97199, 22.82, -114.7045
87672, 382.763, 33.00179, 22.82, -114.7423
87672, 382.8754, 33.03691, 22.82, -114.7885
87672, 382.976, 33.06816, 22.82, -114.8314
87672, 383.0774, 33.10507, 22.82, -114.8763
87672, 383.1775, 33.14721, 22.82, -114.9228
87672, 383.2775, 33.19465, 22.82, -114.9761
87672, 383.3867, 33.24994, 22.82, -115.0473
87672, 383.4887, 33.29928, 22.82, -115.1252
87672, 383.5888, 33.34068, 22.82, -115.2072
87672, 383.6895, 33.37238, 22.82, -115.2939
87672, 383.7935, 33.38446, 22.82, -115.3948
87672, 383.8994, 33.3736, 22.82, -115.4935
87672, 384.0041, 33.35225, 22.82, -115.5812
87672, 384.1177, 33.3192, 22.82, -115.6663
87672, 384.2179, 33.27768, 22.82, -115.7339
87672, 384.3327, 33.22313, 22.82, -115.8023
87672, 384.4341, 33.17677, 22.82, -115.8565
87672, 384.5394, 33.12929, 22.82, -115.9079
87672, 384.651, 33.07961, 22.82, -115.9602
87672, 384.7656, 33.02918, 22.82, -116.0104
87672, 384.9716, 32.94246, 22.82, -116.0972
87672, 385.1841, 32.84676, 22.82, -116.189
87672, 385.4036, 32.74503, 22.82, -116.295
87672, 385.5052, 32.70312, 22.82, -116.3412
87672, 385.6056, 32.66191, 22.82, -116.3931
87672, 385.7087, 32.61917, 22.82, -116.4475
87672, 385.8145, 32.56594, 22.82, -116.5034
87672, 385.9169, 32.53889, 22.82, -116.588
87672, 386.0233, 32.52604, 22.82, -116.6932
87672, 386.1257, 32.52079, 22.82, -116.7934
87672, 386.226, 32.52213, 22.82, -116.8925
87672, 386.3265, 32.51885, 22.82, -116.9924
87672, 389.3, 32.15784, 22.82, -119.9434
87672, 390.2365, 32.03374, 22.82, -120.8665
87672, 390.3374, 32.02199, 22.82, -120.9666
87672, 390.4481, 32.00422, 22.82, -121.075
87672, 390.5485, 31.98415, 22.82, -121.1625
87672, 390.6637, 31.96905, 22.82, -121.2274
87672, 390.7699, 31.96315, 22.82, -121.2528
87672, 390.8811, 31.96285, 22.82, -121.254
87672, 390.9829, 31.96285, 22.82, -121.254
87672, 391.0958, 31.93129, 22.82, -121.2344
87672, 391.1985, 31.89037, 22.82, -121.2139
87672, 391.3036, 31.85349, 22.82, -121.2007
87672, 391.416, 31.82316, 22.82, -121.1944
87672, 391.5293, 31.80551, 22.82, -121.1933
87672, 391.6356, 31.80222, 22.82, -121.1935
87672, 405.4893, 31.80222, 22.82, -121.1935
87672, 405.5894, 31.81341, 22.82, -121.1963
87672, 405.6939, 31.85612, 22.82, -121.2071
87672, 405.7953, 31.92791, 22.82, -121.2252
