SubjectID, Time, X, Y, Z
56948, 128.7386, 114.4376, -0.263873, -60.43356
56948, 128.8388, 114.4367, -0.2638679, -60.4503
56948, 128.9498, 114.4351, -0.2638586, -60.47515
56948, 129.0608, 114.4331, -0.2638475, -60.50439
56948, 129.172, 114.4309, -0.263835, -60.53761
56948, 129.2828, 114.4285, -0.2638212, -60.57425
56948, 129.3829, 114.4261, -0.2638078, -60.61005
56948, 129.4843, 114.4236, -0.2637931, -60.64878
56948, 129.5843, 114.4207, -0.2637768, -60.69196
56948, 129.6954, 114.4171, -0.2637563, -60.74623
56948, 129.806, 114.4131, -0.2637337, -60.80621
56948, 129.9172, 114.4087, -0.2637089, -60.87185
56948, 130.0281, 114.4041, -0.2636824, -60.94208
56948, 130.139, 114.3991, -0.2636543, -61.01661
56948, 130.274, 114.3929, -0.2636187, -61.11105
56948, 130.3834, 114.3875, -0.2635881, -61.19227
56948, 130.4946, 114.3818, -0.2635558, -61.27802
56948, 130.6056, 114.3759, -0.2635225, -61.3662
56948, 130.7067, 114.3705, -0.2634915, -61.44868
56948, 130.8174, 114.3643, -0.2634566, -61.541
56948, 130.9183, 114.3586, -0.2634243, -61.62681
56948, 131.0281, 114.3523, -0.2633886, -61.72177
56948, 131.1282, 114.3465, -0.2633554, -61.80968
56948, 131.2388, 114.34, -0.2633183, -61.90822
56948, 131.3499, 114.3333, -0.2632805, -62.00843
56948, 131.5721, 114.3198, -0.2632038, -62.21209
56948, 131.8833, 114.3005, -0.2630941, -62.50316
56948, 132.3165, 114.273, -0.2629381, -62.91683
56948, 133.4628, 114.1987, -0.2625159, -64.03721
56948, 141.6799, 113.6553, -0.2656527, -72.2256
56948, 141.7906, 113.649, -0.2656527, -72.33505
56948, 141.9017, 113.6448, -0.2656527, -72.4393
56948, 142.0018, 113.6407, -0.2656527, -72.5285
56948, 142.1021, 113.6368, -0.2656527, -72.61318
56948, 142.2128, 113.631, -0.2656527, -72.70057
56948, 142.3237, 113.6257, -0.2656527, -72.77937
56948, 142.4347, 113.621, -0.2656527, -72.84987
56948, 142.5455, 113.6168, -0.2656527, -72.91277
56948, 142.6455, 113.6133, -0.2656527, -72.96387
56948, 142.7566, 113.6099, -0.2656527, -73.01494
56948, 142.8678, 113.6069, -0.2656527, -73.0606
56948, 142.9678, 113.6044, -0.2656527, -73.09758
56948, 143.0788, 113.6019, -0.2656527, -73.13447
56948, 143.1791, 113.5999, -0.2656527, -73.16441
56948, 143.2893, 113.5979, -0.2656527, -73.19404
56948, 143.4005, 113.5961, -0.2656527, -73.22076
56948, 143.5005, 113.5947, -0.2656527, -73.24239
56948, 143.6008, 113.5934, -0.2656527, -73.26201
56948, 143.7118, 113.592, -0.2656527, -73.28152
56948, 143.8227, 113.5909, -0.2656527, -73.29897
56948, 143.9337, 113.5898, -0.2656527, -73.3146
56948, 144.0337, 113.589, -0.2656527, -73.32724
56948, 144.1447, 113.5881, -0.2656527, -73.33986
56948, 144.245, 113.5874, -0.2656527, -73.35011
56948, 144.4667, 113.5861, -0.2656527, -73.36943
56948, 144.6783, 113.5852, -0.2656527, -73.38425
56948, 144.9995, 113.584, -0.2656527, -73.40154
56948, 145.6331, 113.5826, -0.2656527, -73.42287
56948, 145.9661, 113.5821, -0.2656527, -73.42978
56948, 146.0771, 113.5814, -0.2656527, -73.43927
56948, 146.1774, 113.5803, -0.2656527, -73.45708
56948, 146.2777, 113.5785, -0.2656527, -73.48279
56948, 146.3883, 113.5761, -0.2656527, -73.51939
56948, 146.4982, 113.5731, -0.2656527, -73.56342
56948, 146.6092, 113.5697, -0.2656527, -73.61487
56948, 146.7203, 113.5658, -0.2656527, -73.67263
56948, 146.8204, 113.562, -0.2656527, -73.72951
56948, 146.9205, 113.5579, -0.2656527, -73.79053
56948, 147.0206, 113.5536, -0.2656527, -73.85522
56948, 147.121, 113.549, -0.2656527, -73.92348
56948, 147.2211, 113.5442, -0.2656527, -73.99465
56948, 147.3316, 113.5387, -0.2656527, -74.07637
56948, 147.4427, 113.533, -0.2656527, -74.16151
56948, 147.5537, 113.5271, -0.2656527, -74.24938
56948, 147.6647, 113.5211, -0.2656527, -74.33959
56948, 147.7753, 113.5149, -0.2656527, -74.43169
56948, 147.8862, 113.5086, -0.2656527, -74.52596
56948, 147.9972, 113.5021, -0.2656527, -74.62198
56948, 148.0976, 113.4962, -0.2656527, -74.71021
56948, 148.1982, 113.4902, -0.2656527, -74.7998
56948, 148.3091, 113.4835, -0.2656527, -74.89974
56948, 148.5203, 113.4706, -0.2656527, -75.09187
56948, 148.6204, 113.4646, -0.2656527, -75.1813
56948, 148.8425, 113.4516, -0.2656527, -75.37572
56948, 149.0643, 113.4388, -0.2656527, -75.5666
56948, 149.2858, 113.4258, -0.2656527, -75.76122
56948, 149.4969, 113.4131, -0.2656527, -75.94946
56948, 150.0084, 113.3819, -0.2656527, -76.41628
56948, 150.1089, 113.3761, -0.2656527, -76.50153
56948, 150.2089, 113.371, -0.2656527, -76.57822
56948, 150.3199, 113.3659, -0.2656527, -76.65475
56948, 150.42, 113.3617, -0.2656527, -76.71687
56948, 150.5307, 113.3576, -0.2656527, -76.7786
56948, 150.6415, 113.3539, -0.2656527, -76.83386
56948, 150.7416, 113.3509, -0.2656527, -76.87878
56948, 150.8525, 113.3479, -0.2656527, -76.92355
56948, 150.9531, 113.3454, -0.2656527, -76.96004
56948, 151.064, 113.343, -0.2656527, -76.99625
56948, 151.1751, 113.3409, -0.2656527, -77.02866
56948, 151.2858, 113.3389, -0.2656527, -77.05755
56948, 151.3969, 113.3372, -0.2656527, -77.08348
56948, 151.5078, 113.3356, -0.2656527, -77.10664
56948, 151.6082, 113.3344, -0.2656527, -77.12549
56948, 151.7192, 113.3331, -0.2656527, -77.14425
56948, 151.8194, 113.3321, -0.2656527, -77.15945
56948, 151.9299, 113.3311, -0.2656527, -77.17455
56948, 152.0299, 113.3303, -0.2656527, -77.18684
56948, 152.1409, 113.3294, -0.2656527, -77.1991
56948, 152.2522, 113.3287, -0.2656527, -77.2101
56948, 152.4633, 113.3275, -0.2656527, -77.22822
56948, 152.5633, 113.3265, -0.2656527, -77.24289
56948, 152.6743, 113.3248, -0.2656527, -77.26865
56948, 152.7745, 113.3227, -0.2656527, -77.29967
56948, 152.8855, 113.3199, -0.2656527, -77.34167
56948, 152.9965, 113.3166, -0.2656527, -77.39096
56948, 153.0965, 113.3132, -0.2656527, -77.44095
56948, 153.2071, 113.3091, -0.2656527, -77.50177
56948, 153.3071, 113.3052, -0.2656527, -77.56127
56948, 153.4181, 113.3004, -0.2656527, -77.63177
56948, 153.5286, 113.2954, -0.2656527, -77.70621
56948, 153.6396, 113.2902, -0.2656527, -77.78478
56948, 153.7398, 113.2852, -0.2656527, -77.8586
56948, 153.8398, 113.2801, -0.2656527, -77.9348
56948, 153.9509, 113.2743, -0.2656527, -78.02203
56948, 154.0514, 113.2688, -0.2656527, -78.10316
56948, 154.1619, 113.2627, -0.2656527, -78.1945
56948, 154.2729, 113.2564, -0.2656527, -78.2882
56948, 154.3839, 113.25, -0.2656527, -78.38374
56948, 154.495, 113.2435, -0.2656527, -78.48096
56948, 154.606, 113.2369, -0.2656527, -78.57951
56948, 154.7066, 113.2308, -0.2656527, -78.66991
56948, 154.9282, 113.2172, -0.2656527, -78.87247
56948, 155.1501, 113.2034, -0.2656527, -79.07895
56948, 155.4727, 113.1829, -0.2656527, -79.38431
56948, 156.106, 113.1419, -0.2656527, -79.99586
56948, 157.9269, 113.0213, -0.2656527, -81.79352
56948, 158.0272, 113.0155, -0.2656527, -81.88028
56948, 158.1272, 113.0129, -0.2656527, -81.91875
56948, 158.2375, 113.0128, -0.2656527, -81.92051
56948, 170.9546, 113.0128, -0.2656527, -81.92051
56948, 171.0655, 113.0175, -0.2656527, -81.89893
56948, 171.1765, 113.0348, -0.2656527, -81.81891
56948, 171.2874, 113.0557, -0.2656527, -81.72169
56948, 171.3885, 113.0742, -0.2656527, -81.63606
56948, 171.499, 113.0938, -0.2656527, -81.54537
56948, 171.599, 113.111, -0.2656527, -81.46563
56948, 171.8212, 113.1483, -0.2656527, -81.29244
