SubjectID, Time, X, Y, Z
34086, 28.30365, 357.0476, 353.6488, 357.9783
34086, 28.32365, 355.4218, 353.9096, 358.1068
34086, 28.34793, 355.2996, 353.8824, 358.1671
34086, 28.36788, 355.1711, 353.8584, 358.2008
34086, 28.39854, 355.0003, 353.834, 358.2645
34086, 28.42034, 354.8962, 353.8213, 358.2969
34086, 28.44473, 354.8145, 353.8233, 358.3007
34086, 28.46528, 354.7719, 353.8171, 358.3159
34086, 28.48852, 354.6349, 353.8334, 358.2718
34086, 28.50934, 354.553, 353.8311, 358.2489
34086, 28.53495, 354.4415, 353.8104, 358.242
34086, 28.55501, 354.3536, 353.8385, 358.2585
34086, 28.57726, 354.2817, 353.8627, 358.2684
34086, 28.85161, 353.2813, 353.9288, 358.5241
34086, 28.86832, 353.206, 354.0521, 358.493
34086, 28.8904, 353.1867, 354.1211, 358.529
34086, 28.91433, 353.1488, 354.2247, 358.5631
34086, 28.93928, 353.1422, 354.3582, 358.5786
34086, 28.95789, 353.1037, 354.5339, 358.5182
34086, 28.97912, 353.1178, 354.6845, 358.5399
34086, 28.99976, 353.1012, 354.773, 358.5532
34086, 29.02184, 353.0639, 354.9146, 358.5513
34086, 29.04225, 353.0159, 355.0543, 358.5536
34086, 29.06446, 352.9682, 355.2247, 358.5742
34086, 29.08953, 352.8846, 355.3706, 358.5678
34086, 29.11141, 352.8574, 355.5428, 358.5907
34086, 29.13425, 352.8766, 355.7704, 358.5312
34086, 29.15563, 352.9474, 356.0041, 358.5205
34086, 29.1759, 352.9925, 356.2828, 358.5308
34086, 29.19782, 353.0126, 356.6232, 358.5075
34086, 29.22129, 353.0127, 357.051, 358.5101
34086, 29.24224, 353.0068, 357.5494, 358.5419
34086, 29.26685, 353.041, 358.0683, 358.5803
34086, 29.28858, 353.0588, 358.6391, 358.5843
34086, 29.31193, 353.1041, 359.2844, 358.598
34086, 29.33288, 353.2108, 359.9524, 358.6338
34086, 29.3552, 353.2927, 0.6361865, 358.6179
34086, 29.37701, 353.3364, 1.423835, 358.5777
34086, 29.40311, 353.351, 2.273302, 358.5025
34086, 29.42243, 353.5351, 3.115415, 358.5229
34086, 29.44519, 353.7126, 4.004664, 358.4367
34086, 29.46799, 353.9214, 4.892344, 358.3441
34086, 29.49066, 354.1226, 5.867987, 358.2188
34086, 29.51291, 354.3851, 6.864987, 358.0953
34086, 29.53513, 354.6486, 7.86442, 357.9551
34086, 29.55739, 354.8927, 8.898328, 357.7716
34086, 29.57955, 355.1117, 9.976421, 357.5617
34086, 29.60195, 355.3126, 11.05404, 357.3652
34086, 29.62394, 355.5211, 12.12822, 357.1932
34086, 29.64617, 355.7207, 13.11069, 357.0569
34086, 29.67151, 355.9063, 13.98269, 356.9708
34086, 29.69067, 356.0542, 14.74567, 356.8925
34086, 29.71284, 356.1726, 15.41561, 356.8209
34086, 29.73504, 356.308, 15.99722, 356.7905
34086, 29.75726, 356.4119, 16.42235, 356.765
34086, 29.77972, 356.4822, 16.722, 356.7185
34086, 29.80339, 356.5533, 16.97894, 356.6497
34086, 29.8242, 356.5958, 17.177, 356.5862
34086, 29.84825, 356.5849, 17.33562, 356.5638
34086, 29.8686, 356.5504, 17.4419, 356.5743
34086, 29.89264, 356.4986, 17.50462, 356.5941
34086, 29.91304, 356.4668, 17.47742, 356.6002
34086, 29.93524, 356.4454, 17.40752, 356.5849
34086, 29.95733, 356.4117, 17.31728, 356.5754
34086, 29.9796, 356.3907, 17.18656, 356.5869
34086, 30.00191, 356.3808, 16.96964, 356.5499
34086, 30.02399, 356.3516, 16.70907, 356.5337
34086, 30.04645, 356.3549, 16.39943, 356.4957
34086, 30.06892, 356.3616, 16.04478, 356.4767
34086, 30.09123, 356.332, 15.61211, 356.4696
34086, 30.11507, 356.287, 15.13895, 356.4492
34086, 30.14001, 356.2192, 14.65539, 356.4377
34086, 30.15768, 356.1176, 14.1213, 356.4471
34086, 30.17921, 355.9859, 13.58162, 356.4403
34086, 30.20166, 355.9186, 13.0263, 356.4469
34086, 30.22273, 355.8494, 12.46603, 356.4634
34086, 30.24496, 355.7874, 11.8752, 356.4876
34086, 30.27097, 355.7402, 11.30229, 356.4966
34086, 30.29185, 355.6567, 10.72396, 356.4869
34086, 30.31165, 355.5725, 10.14126, 356.4496
34086, 30.33387, 355.5018, 9.55127, 356.4118
34086, 30.35754, 355.3933, 8.984401, 356.349
34086, 30.38226, 355.3231, 8.439876, 356.3136
34086, 30.40034, 355.2001, 7.895287, 356.2811
34086, 30.42264, 355.0933, 7.38408, 356.2585
34086, 30.44484, 355.0274, 6.895115, 356.2375
34086, 30.46711, 354.9912, 6.444489, 356.2242
34086, 30.4893, 354.9431, 6.042192, 356.2314
34086, 30.51558, 354.8916, 5.653377, 356.2102
34086, 30.53397, 354.838, 5.29795, 356.1934
34086, 30.55618, 354.7716, 5.022458, 356.1844
34086, 30.57844, 354.7343, 4.736433, 356.1263
34086, 30.603, 354.7439, 4.492354, 356.1022
34086, 30.62572, 354.8021, 4.267677, 356.102
34086, 30.64505, 354.7999, 4.082292, 356.0708
34086, 30.66728, 354.8123, 3.895239, 356.0412
34086, 30.68954, 354.8535, 3.71659, 356.0366
34086, 30.71166, 354.8703, 3.513478, 356.03
34086, 30.73561, 354.9114, 3.316472, 356.0312
34086, 30.75782, 354.8958, 3.126667, 356.0035
34086, 30.77852, 354.9471, 2.909373, 356.0072
34086, 30.80248, 355.0277, 2.684118, 356.0213
34086, 30.82764, 355.1017, 2.476413, 356.0349
34086, 30.84923, 355.1566, 2.265372, 356.0483
34086, 30.87284, 355.2243, 2.051566, 356.1017
34086, 30.89003, 355.2666, 1.856397, 356.1626
34086, 30.90996, 355.2383, 1.636667, 356.1901
34086, 30.93125, 355.259, 1.423477, 356.228
34086, 30.95402, 355.2727, 1.19267, 356.2794
34086, 30.97568, 355.2964, 0.989157, 356.334
34086, 30.99791, 355.3368, 0.7702913, 356.3963
34086, 31.02009, 355.3341, 0.5643005, 356.4262
34086, 31.04501, 355.3124, 0.4046117, 356.4294
34086, 31.06816, 355.2952, 0.246785, 356.4423
34086, 31.08674, 355.3014, 0.1242918, 356.4546
34086, 31.10974, 355.3003, 0.03180844, 356.4269
34086, 31.13116, 355.3047, 359.9557, 356.4225
34086, 31.15338, 355.3042, 359.9039, 356.407
34086, 31.17785, 355.3391, 359.8631, 356.4044
34086, 31.19781, 355.3707, 359.8206, 356.4397
34086, 31.22013, 355.4242, 359.793, 356.4545
34086, 31.24274, 355.4404, 359.7652, 356.4832
34086, 31.26685, 355.455, 359.726, 356.5017
34086, 31.28967, 355.4609, 359.6816, 356.5463
34086, 31.31039, 355.4724, 359.5803, 356.6118
34086, 31.33618, 355.4791, 359.4768, 356.6794
34086, 31.3549, 355.4557, 359.3608, 356.7295
34086, 31.37706, 355.4417, 359.2142, 356.7719
34086, 31.40064, 355.4135, 359.0861, 356.8372
34086, 31.42196, 355.3855, 358.9483, 356.9302
34086, 31.44419, 355.3579, 358.8174, 357.0095
34086, 31.46675, 355.3859, 358.7125, 357.0761
34086, 31.48921, 355.3848, 358.6116, 357.167
34086, 31.51366, 355.4053, 358.5217, 357.2364
34086, 31.53468, 355.4386, 358.4164, 357.313
34086, 31.5562, 355.479, 358.3158, 357.395
34086, 31.5808, 355.5094, 358.208, 357.4471
34086, 31.60083, 355.5225, 358.1094, 357.5019
34086, 31.62288, 355.5348, 357.9885, 357.5539
34086, 31.64703, 355.5457, 357.8683, 357.6269
34086, 31.67113, 355.5516, 357.7596, 357.6877
34086, 31.69438, 355.5083, 357.6553, 357.7256
34086, 31.71796, 355.5233, 357.5153, 357.7458
34086, 31.73487, 355.5277, 357.3784, 357.797
34086, 31.75473, 355.5558, 357.2491, 357.7968
34086, 31.77452, 355.5691, 357.1116, 357.7674
34086, 31.79647, 355.5851, 356.9856, 357.7179
34086, 31.81866, 355.6239, 356.8745, 357.6839
34086, 31.84093, 355.6701, 356.766, 357.671
34086, 31.86313, 355.723, 356.6733, 357.6735
34086, 31.88541, 355.7714, 356.5889, 357.6582
34086, 31.91001, 355.8261, 356.5167, 357.667
34086, 31.92976, 355.8827, 356.4688, 357.714
34086, 31.95194, 355.9404, 356.4284, 357.7359
34086, 31.97415, 355.9709, 356.402, 357.7425
34086, 31.99644, 356.0016, 356.4237, 357.7743
34086, 32.0202, 356.066, 356.4795, 357.8383
34086, 32.04083, 356.0744, 356.5428, 357.8662
34086, 32.06301, 356.0621, 356.6149, 357.877
34086, 32.08533, 356.0229, 356.6791, 357.896
34086, 32.1085, 355.9496, 356.7279, 357.92
34086, 32.1308, 355.8598, 356.7681, 357.9357
34086, 32.15347, 355.779, 356.8023, 357.9403
34086, 32.17618, 355.709, 356.8209, 357.9362
34086, 32.20045, 355.6331, 356.8858, 357.9269
34086, 32.22363, 355.5479, 356.9125, 357.9344
34086, 32.24888, 355.46, 356.9358, 357.9426
34086, 32.27392, 355.4221, 356.9492, 357.9846
34086, 32.29399, 355.3811, 356.9615, 357.971
34086, 32.31643, 355.3501, 356.9741, 358.0067
34086, 32.33618, 355.3036, 356.956, 358.0269
34086, 32.36042, 355.2769, 356.9706, 357.9958
34086, 32.38541, 355.2503, 356.9344, 358.0627
34086, 32.40763, 355.2617, 356.907, 358.0866
34086, 32.43129, 355.2427, 356.8637, 358.1406
34086, 32.45331, 355.1989, 356.8332, 358.1759
34086, 32.474, 355.1855, 356.7889, 358.17
34086, 32.49861, 355.1627, 356.7444, 358.1747
34086, 32.52026, 355.1409, 356.7155, 358.161
34086, 32.5423, 355.1147, 356.6776, 358.1636
34086, 32.56284, 355.1239, 356.6681, 358.1785
34086, 32.58504, 355.1322, 356.6488, 358.1683
34086, 32.60724, 355.1165, 356.6046, 358.1598
34086, 32.6294, 355.0987, 356.5703, 358.1368
34086, 32.65173, 355.068, 356.5444, 358.1342
34086, 32.67395, 355.0172, 356.5344, 358.1397
34086, 32.6961, 354.9569, 356.5604, 358.136
34086, 32.72042, 354.9034, 356.5804, 358.1423
34086, 32.74322, 354.8544, 356.6318, 358.1558
34086, 32.76474, 354.8359, 356.6712, 358.195
34086, 32.78776, 354.8376, 356.714, 358.2088
34086, 32.81344, 354.7877, 356.7623, 358.2143
34086, 32.83707, 354.7588, 356.7996, 358.2126
34086, 32.85661, 354.7383, 356.9048, 358.1964
34086, 32.87928, 354.7708, 356.9462, 358.1944
34086, 32.90245, 354.7659, 356.9973, 358.1429
34086, 32.92265, 354.7714, 357.0289, 358.1356
34086, 32.94247, 354.7726, 357.0381, 358.1044
34086, 32.96342, 354.7981, 357.0422, 358.0879
34086, 32.98676, 354.8179, 357.0342, 358.0847
34086, 33.00703, 354.8364, 357.0326, 358.0867
34086, 33.02925, 354.8377, 357.0378, 358.0783
34086, 33.05281, 354.7913, 357.0392, 358.0627
34086, 33.07367, 354.6957, 357.0549, 358.0568
34086, 33.09588, 354.6373, 357.0775, 358.0691
34086, 33.11811, 354.6095, 357.1023, 358.0564
34086, 33.14032, 354.6006, 357.1302, 358.0486
34086, 33.1636, 354.5999, 357.161, 358.0403
34086, 33.18473, 354.5786, 357.2357, 358.0352
34086, 33.20737, 354.5629, 357.2882, 358.0336
34086, 33.22999, 354.6015, 357.3599, 358.0435
34086, 33.25219, 354.6695, 357.4256, 358.059
34086, 33.2747, 354.7227, 357.4752, 358.0893
34086, 33.29725, 354.7521, 357.5058, 358.1054
34086, 33.31988, 354.6469, 357.4747, 358.0251
34086, 33.34258, 354.6451, 357.4644, 358.0265
34086, 33.36523, 354.6178, 357.4767, 358.0374
34086, 33.38785, 354.5926, 357.4635, 358.041
34086, 33.41101, 354.5681, 357.4473, 358.0364
34086, 33.43318, 354.5379, 357.4052, 358.0602
34086, 33.45716, 354.4967, 357.3922, 358.0527
34086, 33.4785, 354.4494, 357.3843, 358.0532
34086, 33.50105, 354.4162, 357.3737, 358.0338
34086, 33.52366, 354.3892, 357.391, 358.0003
34086, 33.54725, 354.3554, 357.3967, 357.9945
34086, 33.5674, 354.3193, 357.4271, 357.9622
34086, 33.58963, 354.2906, 357.4646, 357.9246
34086, 33.61192, 354.307, 357.4754, 357.943
34086, 33.63403, 354.2791, 357.5195, 357.9171
34086, 33.65623, 354.2586, 357.6098, 357.9048
34086, 33.68116, 354.3123, 357.6738, 358.0023
34086, 33.70208, 354.2833, 357.7164, 357.9712
34086, 33.72293, 354.2605, 357.727, 357.9575
34086, 33.74491, 354.2464, 357.7478, 357.9426
34086, 33.76707, 354.1043, 357.7673, 357.8612
34086, 33.78935, 354.0727, 357.7892, 357.8615
34086, 33.81368, 354.0396, 357.7809, 357.8652
34086, 33.83373, 353.9897, 357.7484, 357.875
34086, 33.85925, 353.9579, 357.7086, 357.8748
34086, 33.87759, 353.9413, 357.6913, 357.8867
34086, 33.90247, 353.9555, 357.6729, 357.8487
34086, 33.92377, 353.9332, 357.6633, 357.8662
34086, 33.94344, 353.9598, 357.6384, 357.9131
34086, 33.9656, 353.9407, 357.6428, 357.9377
34086, 33.98782, 353.9071, 357.6458, 357.9589
34086, 34.01174, 353.8859, 357.6393, 357.9853
34086, 34.03224, 353.8348, 357.6427, 357.9886
34086, 34.05442, 353.8055, 357.6434, 358.0012
34086, 34.07667, 353.7805, 357.6326, 358.0082
34086, 34.09885, 353.7553, 357.6387, 358.0112
34086, 34.12258, 353.7233, 357.6468, 357.9908
34086, 34.14507, 353.6968, 357.6692, 357.9475
34086, 34.17069, 353.6628, 357.7086, 357.9383
34086, 34.19442, 353.6295, 357.7311, 357.933
34086, 34.21143, 353.5817, 357.7626, 357.9199
34086, 34.23383, 353.5543, 357.7847, 357.9088
34086, 34.25502, 353.5352, 357.8189, 357.8942
34086, 34.27309, 353.5169, 357.8437, 357.8777
34086, 34.29532, 353.5151, 357.8673, 357.8226
34086, 34.3175, 353.5284, 357.8798, 357.7932
34086, 34.33979, 353.5448, 357.9105, 357.7791
34086, 34.36466, 353.5671, 357.9369, 357.7592
34086, 34.39054, 353.594, 357.9382, 357.7612
34086, 34.40763, 353.6155, 357.9584, 357.7596
34086, 34.43044, 353.6278, 357.9645, 357.7606
34086, 34.45082, 353.6453, 357.9971, 357.7736
34086, 34.47507, 353.6541, 358.0195, 357.7772
34086, 34.49527, 353.6444, 358.0211, 357.7683
34086, 34.51746, 353.6206, 358.0161, 357.7637
34086, 34.53969, 353.4638, 358.0202, 357.6383
34086, 34.56221, 353.4445, 358.0177, 357.6059
34086, 34.58491, 353.4067, 358.0139, 357.5955
34086, 34.60732, 353.399, 358.0367, 357.5747
34086, 34.62988, 353.3996, 358.0782, 357.5385
34086, 34.65197, 353.4295, 358.0954, 357.5155
34086, 34.67416, 353.4625, 358.1441, 357.4898
34086, 34.69636, 353.5186, 358.188, 357.5028
34086, 34.71861, 353.5644, 358.2387, 357.5002
34086, 34.74163, 353.5966, 358.284, 357.5034
34086, 34.76483, 353.6263, 358.3081, 357.5204
34086, 34.78738, 353.6626, 358.3243, 357.5247
34086, 34.80872, 353.682, 358.3348, 357.5313
34086, 34.83136, 353.703, 358.3159, 357.5394
34086, 34.85411, 353.6871, 358.3274, 357.5037
34086, 34.87785, 353.7013, 358.3075, 357.5032
34086, 34.8992, 353.6928, 358.285, 357.4918
34086, 34.92186, 353.739, 358.2545, 357.5528
34086, 34.94617, 353.738, 358.248, 357.5554
34086, 34.96674, 353.7368, 358.2521, 357.5612
34086, 34.98899, 353.681, 358.2514, 357.5011
34086, 35.01187, 353.7023, 358.2571, 357.4919
34086, 35.03339, 353.758, 358.276, 357.4862
34086, 35.05564, 353.7987, 358.3398, 357.4779
34086, 35.07779, 353.863, 358.3788, 357.4477
34086, 35.10002, 353.9048, 358.4291, 357.4461
34086, 35.12223, 353.9562, 358.5201, 357.4924
34086, 35.14443, 353.9899, 358.552, 357.4759
34086, 35.16732, 353.9984, 358.5923, 357.4702
34086, 35.18883, 353.9962, 358.6002, 357.4607
34086, 35.2145, 353.9864, 358.6112, 357.4332
34086, 35.23687, 353.9758, 358.6137, 357.4139
34086, 35.25762, 353.9727, 358.6216, 357.4011
34086, 35.27825, 353.9413, 358.6887, 357.3953
34086, 35.30172, 353.9235, 358.6967, 357.3765
34086, 35.32199, 353.8928, 358.7335, 357.3563
34086, 35.34249, 353.8645, 358.7439, 357.3591
34086, 35.36471, 353.837, 358.7583, 357.356
34086, 35.38917, 353.8257, 358.7794, 357.32
34086, 35.41138, 353.8258, 358.8024, 357.2888
34086, 35.43549, 353.8264, 358.8243, 357.2457
34086, 35.45609, 353.8689, 358.8331, 357.2486
34086, 35.47518, 353.8977, 358.8365, 357.2278
34086, 35.49749, 353.9318, 358.8287, 357.2393
34086, 35.52244, 353.9535, 358.8105, 357.2386
34086, 35.544, 353.9941, 358.759, 357.2543
34086, 35.57074, 354.0591, 358.7108, 357.2818
34086, 35.59153, 354.126, 358.654, 357.3108
34086, 35.60865, 354.1674, 358.6102, 357.3473
34086, 35.62871, 354.0077, 358.5828, 357.2373
34086, 35.65091, 354.009, 358.541, 357.2441
34086, 35.6731, 354.0139, 358.5121, 357.2441
34086, 35.69535, 354.009, 358.494, 357.2523
34086, 35.71981, 354.1194, 358.391, 357.3848
34086, 35.74279, 354.1479, 358.3674, 357.39
34086, 35.76657, 354.1555, 358.3394, 357.4146
34086, 35.78935, 354.0875, 358.3392, 357.3529
34086, 35.81318, 354.0735, 358.3319, 357.2952
34086, 35.83544, 354.0804, 358.302, 357.2631
34086, 35.85965, 354.0771, 358.2804, 357.2437
34086, 35.88424, 354.0978, 358.2286, 357.2453
34086, 35.90575, 354.127, 358.2072, 357.2457
34086, 35.93198, 354.1793, 358.1907, 357.2864
34086, 35.95626, 354.1899, 358.1576, 357.3176
34086, 35.97796, 354.2225, 358.1337, 357.3688
34086, 36.00563, 354.2659, 358.0496, 357.4287
34086, 36.0279, 354.2299, 357.9983, 357.3812
34086, 36.05005, 354.249, 357.9341, 357.374
34086, 36.07222, 354.3108, 357.8716, 357.3748
34086, 36.09457, 354.3407, 357.8296, 357.399
34086, 36.11834, 354.3632, 357.7892, 357.4209
34086, 36.13896, 354.2872, 357.7479, 357.3468
34086, 36.16188, 354.264, 357.7116, 357.3701
34086, 36.18695, 354.2499, 357.6351, 357.3885
34086, 36.20557, 354.231, 357.6159, 357.3841
34086, 36.2293, 354.2476, 357.5602, 357.4195
34086, 36.25178, 354.2201, 357.5164, 357.4213
34086, 36.27217, 354.2157, 357.4779, 357.4337
34086, 36.2944, 354.2362, 357.4168, 357.4577
34086, 36.3166, 354.1877, 357.3392, 357.3741
34086, 36.33922, 354.1769, 357.2477, 357.4253
34086, 36.36187, 354.1814, 357.1572, 357.4954
34086, 36.3846, 354.198, 357.03, 357.5473
34086, 36.40739, 354.2024, 356.9051, 357.6195
34086, 36.43003, 354.1913, 356.7802, 357.6717
34086, 36.45274, 354.2336, 356.6462, 357.7508
34086, 36.47549, 354.1404, 356.4568, 357.7104
34086, 36.49813, 354.1128, 356.3457, 357.7439
34086, 36.52059, 354.076, 356.2435, 357.7867
34086, 36.54481, 354.041, 356.1634, 357.8234
34086, 36.56518, 354.0207, 356.109, 357.835
34086, 36.58764, 354.0281, 356.0345, 357.882
34086, 36.61009, 354.0226, 355.9922, 357.8992
34086, 36.63258, 354.0145, 355.9589, 357.9232
34086, 36.65482, 353.906, 355.882, 357.8962
34086, 36.67725, 353.9009, 355.8735, 357.8857
34086, 36.69929, 353.9018, 355.8561, 357.8942
34086, 36.7215, 353.9248, 355.8451, 357.8987
34086, 36.7449, 353.9192, 355.8383, 357.89
34086, 36.76714, 353.9116, 355.8383, 357.8843
34086, 36.78883, 353.8994, 355.8083, 357.8698
34086, 36.81054, 353.9001, 355.8123, 357.8752
34086, 36.83215, 353.9265, 355.8074, 357.8857
34086, 36.85617, 354.0226, 355.7844, 357.9841
34086, 36.87662, 354.0103, 355.7796, 357.9991
34086, 36.89991, 353.9734, 355.7964, 357.9909
34086, 36.92101, 353.9275, 355.8061, 357.9857
34086, 36.94319, 353.9084, 355.8107, 357.977
34086, 36.9654, 353.8813, 355.8356, 357.9543
34086, 36.98769, 353.8726, 355.8429, 357.9417
34086, 37.00985, 353.8217, 355.8759, 357.9136
34086, 37.03207, 353.7879, 355.8914, 357.9086
34086, 37.05856, 353.636, 355.8971, 357.7923
34086, 37.07829, 353.6296, 355.8823, 357.7847
34086, 37.09913, 353.6311, 355.9034, 357.7802
34086, 37.11951, 353.6351, 355.929, 357.7907
34086, 37.14179, 353.6363, 355.9586, 357.8051
34086, 37.16401, 353.6077, 355.9733, 357.8203
34086, 37.1862, 353.5703, 355.9637, 357.8497
34086, 37.20845, 353.5253, 355.9442, 357.8655
34086, 37.23064, 353.502, 355.9378, 357.8609
34086, 37.2528, 353.4969, 355.9143, 357.8795
34086, 37.27504, 353.4689, 355.8855, 357.8828
34086, 37.29729, 353.433, 355.8848, 357.8708
34086, 37.31958, 353.3985, 355.8975, 357.8525
34086, 37.34179, 353.3775, 355.912, 357.8517
34086, 37.36389, 353.336, 355.94, 357.8709
34086, 37.38616, 353.3142, 355.9592, 357.8956
34086, 37.40953, 353.2887, 355.9904, 357.9044
34086, 37.43085, 353.2257, 356.0117, 357.9312
34086, 37.45329, 353.1921, 356.037, 357.9324
34086, 37.47578, 353.1582, 356.0448, 357.9466
34086, 37.49828, 353.1169, 356.0489, 357.9691
34086, 37.52078, 353.0865, 356.0206, 357.9931
34086, 37.54307, 353.0519, 355.9974, 358.0105
34086, 37.56557, 353.0005, 355.9898, 357.9967
34086, 37.58929, 352.956, 355.9767, 358.0193
34086, 37.60997, 352.9117, 356.0172, 358.0551
34086, 37.63217, 352.8752, 356.0216, 358.0815
34086, 37.65628, 352.8116, 356.031, 358.0964
34086, 37.6766, 352.7234, 356.04, 358.1015
34086, 37.6988, 352.6317, 356.045, 358.1165
34086, 37.72169, 352.5543, 356.0593, 358.1256
34086, 37.74463, 352.4883, 356.0892, 358.1185
34086, 37.7655, 352.3178, 356.0927, 358.0057
34086, 37.78765, 352.2271, 356.1362, 358.0091
34086, 37.8099, 352.1651, 356.166, 358.019
34086, 37.8321, 352.0681, 356.2034, 358.0472
34086, 37.85434, 351.9848, 356.2419, 358.0294
34086, 37.87653, 351.8946, 356.2888, 357.9978
34086, 37.90063, 351.8007, 356.3489, 357.993
34086, 37.921, 351.7645, 356.3949, 357.9699
34086, 37.94313, 351.7345, 356.4668, 357.9788
34086, 37.96536, 351.727, 356.5144, 357.9776
34086, 37.98763, 351.7315, 356.5475, 357.9861
34086, 38.00977, 351.7298, 356.5925, 358.0036
34086, 38.03194, 351.6404, 356.5419, 357.9532
34086, 38.05647, 351.6582, 356.5635, 357.9612
34086, 38.07639, 351.7138, 356.5728, 358.0046
34086, 38.09929, 351.7098, 356.6095, 357.9939
34086, 38.12082, 351.6848, 356.6632, 357.9742
34086, 38.14305, 351.6774, 356.7108, 357.9441
34086, 38.16525, 351.6248, 356.798, 357.9059
34086, 38.18983, 351.5392, 356.8908, 357.865
34086, 38.2097, 351.4271, 357.0188, 357.8448
34086, 38.23191, 351.2808, 357.2064, 357.8345
34086, 38.25478, 351.1756, 357.3826, 357.8032
34086, 38.27774, 351.1131, 357.566, 357.8188
34086, 38.30116, 351.0284, 357.7523, 357.8321
34086, 38.32068, 350.9027, 357.9243, 357.8111
34086, 38.34286, 350.6948, 358.1461, 357.7094
34086, 38.36506, 350.6133, 358.2442, 357.7545
34086, 38.38731, 350.5343, 358.3765, 357.756
34086, 38.41008, 350.4133, 358.484, 357.7377
34086, 38.4318, 350.2466, 358.6216, 357.7198
34086, 38.45609, 350.0276, 358.7594, 357.6967
34086, 38.47694, 349.7894, 358.9184, 357.6689
34086, 38.49735, 349.5527, 359.0843, 357.6408
34086, 38.51963, 349.3054, 359.2591, 357.6403
34086, 38.54374, 349.0492, 359.4412, 357.6513
34086, 38.56786, 348.8903, 359.6288, 357.6657
34086, 38.58832, 348.8006, 359.7939, 357.668
34086, 38.60907, 348.7858, 359.9171, 357.6862
34086, 38.63533, 348.7179, 0.05202653, 357.6932
34086, 38.65699, 348.5755, 0.1735076, 357.6782
34086, 38.67975, 348.5035, 0.263419, 357.6406
34086, 38.70352, 348.4257, 0.3834723, 357.5558
34086, 38.72631, 348.4041, 0.4643176, 357.4606
34086, 38.74763, 348.3867, 0.525653, 357.3953
34086, 38.77224, 348.2208, 0.6072533, 357.3107
34086, 38.79553, 347.6667, 0.7547191, 357.2339
34086, 38.81819, 347.0791, 0.7935609, 357.1587
34086, 38.83767, 346.6459, 0.7684971, 357.2393
34086, 38.86299, 346.3167, 0.7407514, 357.3679
34086, 38.88459, 345.9629, 0.7110854, 357.4426
34086, 38.90575, 345.6616, 0.6915725, 357.4739
34086, 38.92912, 345.314, 0.6771256, 357.4849
34086, 38.94996, 344.5981, 0.7338521, 357.4033
34086, 38.97096, 343.9664, 0.7633831, 357.2207
34086, 38.99541, 343.549, 0.7480435, 357.0809
34086, 39.01534, 343.2717, 0.7515042, 356.9802
34086, 39.03839, 343.0956, 0.735392, 356.9037
34086, 39.0598, 342.9087, 0.7414242, 356.8306
34086, 39.08199, 342.7562, 0.7820845, 356.7607
34086, 39.10421, 342.8349, 0.8096619, 356.7401
34086, 39.12836, 343.3192, 0.741582, 356.885
34086, 39.15322, 344.5334, 0.5456666, 357.144
34086, 39.17607, 346.0971, 0.4083022, 357.2228
34086, 39.19386, 347.4995, 0.4211558, 356.9974
34086, 39.21581, 348.3394, 0.4784372, 356.8372
34086, 39.23874, 348.8782, 0.5488573, 356.7151
34086, 39.2616, 349.4915, 0.5989699, 356.7255
34086, 39.28428, 350.2613, 0.5755384, 356.8374
34086, 39.30651, 351.0509, 0.472884, 357.0663
34086, 39.32866, 351.5847, 0.3953648, 357.2719
34086, 39.35086, 351.9573, 0.2712407, 357.3902
34086, 39.37313, 352.2137, 0.1751476, 357.3942
34086, 39.39533, 352.4359, 0.06073047, 357.3643
34086, 39.41946, 352.6578, 359.894, 357.3843
34086, 39.43974, 352.8173, 359.7301, 357.4116
34086, 39.4619, 352.8809, 359.5526, 357.376
34086, 39.48417, 352.7962, 359.4251, 357.2369
34086, 39.50639, 352.6393, 359.3217, 357.0914
34086, 39.52858, 352.4358, 359.2223, 356.9622
34086, 39.55116, 352.2412, 359.1545, 356.8364
34086, 39.57371, 351.9842, 359.0714, 356.7311
34086, 39.59632, 351.7079, 358.9923, 356.638
