SubjectID, Time, Event
117794, 722.1543, Start
117794, 722.1543, Disable
117794, 885.7177, Enable
118046, 722.1543, Start
118046, 722.1543, Disable
118194, 722.1543, Start
118194, 722.1543, Disable
118194, 885.7177, Enable
118354, 722.1543, Start
118354, 722.1543, Disable
118354, 885.7177, Enable
120252, 722.1543, Start
120252, 722.1543, Disable
119896, 722.1543, Start
119896, 722.1543, Disable
119962, 722.1543, Start
119962, 722.1543, Disable
119636, 722.1543, Start
119636, 722.1543, Disable
120272, 722.1543, Start
120272, 722.1543, Disable
119490, 722.1543, Start
119490, 722.1543, Disable
119490, 757.0946, Enable
119980, 722.1543, Start
119980, 722.1543, Disable
119980, 776.8836, Enable
119980, 875.2534, Disable
119980, 875.2534, Destroy
119968, 722.1543, Start
119968, 722.1543, Disable
119968, 816.3813, Enable
119968, 873.4978, Disable
119968, 873.4978, Destroy
119972, 722.1543, Start
119972, 722.1543, Disable
120066, 722.1543, Start
120066, 722.1543, Disable
120074, 722.1543, Start
120074, 722.1543, Disable
120074, 836.1647, Enable
120074, 876.0533, Disable
120074, 876.0533, Destroy
120522, 722.1543, Start
120522, 722.1543, Disable
119954, 722.1543, Start
119954, 722.1543, Disable
120638, 722.1543, Start
120638, 722.1543, Disable
120714, 722.1543, Start
120714, 722.1543, Disable
120714, 836.1647, Enable
120714, 874.4423, Disable
120714, 874.4423, Destroy
120720, 722.1543, Start
120720, 722.1543, Disable
119892, 722.1543, Start
119892, 722.1543, Disable
120100, 722.1543, Start
120100, 722.1543, Disable
120100, 816.3813, Enable
120100, 874.2089, Disable
120100, 874.2089, Destroy
120098, 722.1543, Start
120098, 722.1543, Disable
119344, 722.1543, Start
119344, 722.1543, Disable
120078, 722.1543, Start
120078, 722.1543, Disable
120086, 722.1543, Start
120086, 722.1543, Disable
120086, 836.1647, Enable
120086, 875.02, Disable
120086, 875.02, Destroy
120730, 722.1543, Start
120730, 722.1543, Disable
120724, 722.1543, Start
120724, 722.1543, Disable
120724, 836.1647, Enable
120724, 877.1311, Disable
120724, 877.1311, Destroy
120696, 722.1543, Start
120696, 722.1543, Disable
120148, 722.1543, Start
120148, 722.1543, Disable
120148, 776.8836, Enable
120148, 874.6311, Disable
120148, 874.6311, Destroy
120156, 722.1543, Start
120156, 722.1543, Disable
120248, 722.1543, Start
120248, 722.1543, Disable
120240, 722.1543, Start
120240, 722.1543, Disable
120240, 836.1647, Enable
120240, 876.72, Disable
120240, 876.72, Destroy
119500, 722.1543, Start
119500, 722.1543, Disable
120354, 722.1543, Start
120692, 722.1543, Start
