SubjectID, Time, X, Y, Z
87666, 539.3401, 48.9, 22.79, -132.19
87666, 554.3311, 48.9, 22.79, -132.19
87666, 554.4312, 48.90007, 22.79, -132.1846
87666, 554.5419, 48.90031, 22.79, -132.1656
87666, 554.6424, 48.90063, 22.79, -132.1398
87666, 554.7586, 48.9011, 22.79, -132.1011
87666, 554.8596, 48.9016, 22.79, -132.0603
87666, 554.9606, 48.90217, 22.79, -132.0139
87666, 555.0614, 48.90281, 22.79, -131.9622
87666, 555.162, 48.9035, 22.79, -131.906
87666, 555.2748, 48.90433, 22.79, -131.8378
87666, 555.3749, 48.90513, 22.79, -131.7732
87666, 555.4752, 48.90596, 22.79, -131.7051
87666, 555.5874, 48.90694, 22.79, -131.6254
87666, 555.6879, 48.90785, 22.79, -131.551
87666, 555.7929, 48.90884, 22.79, -131.4705
87666, 555.908, 48.90995, 22.79, -131.3796
87666, 556.0081, 48.91095, 22.79, -131.2983
87666, 556.1199, 48.91209, 22.79, -131.2054
87666, 556.2269, 48.9132, 22.79, -131.1146
87666, 556.3314, 48.91431, 22.79, -131.0244
87666, 556.4315, 48.91539, 22.79, -130.9365
87666, 556.5367, 48.91635, 22.79, -130.8587
87666, 556.6523, 48.91665, 22.79, -130.8343
87666, 574.488, 48.91665, 22.79, -130.8343
87666, 574.5882, 48.89635, 22.79, -130.855
87666, 574.7003, 48.84082, 22.79, -130.9119
87666, 574.8004, 48.79037, 22.79, -130.9636
87666, 574.9019, 48.73748, 22.79, -131.0177
87666, 575.006, 48.68131, 22.79, -131.0753
87666, 575.108, 48.62478, 22.79, -131.1332
87666, 575.2209, 48.56047, 22.79, -131.199
87666, 575.3212, 48.50208, 22.79, -131.2589
87666, 575.4324, 48.436, 22.79, -131.3266
87666, 575.5432, 48.36897, 22.79, -131.3952
87666, 575.6581, 48.29826, 22.79, -131.4676
87666, 575.7618, 48.23352, 22.79, -131.5339
87666, 575.8663, 48.16759, 22.79, -131.6014
87666, 575.9761, 48.09748, 22.79, -131.6732
87666, 576.0761, 48.03679, 22.79, -131.7354
87666, 576.1914, 48.0041, 22.79, -131.7689
87666, 576.303, 48.00331, 22.79, -131.7697
87666, 604.0381, 48.00331, 22.79, -131.7697
87666, 604.147, 48.00528, 22.79, -131.7749
87666, 604.2485, 48.02311, 22.79, -131.8219
87666, 604.3532, 48.05634, 22.79, -131.9095
87666, 604.5609, 48.12505, 22.79, -132.0906
87666, 604.9966, 48.27199, 22.79, -132.478
87666, 605.7857, 48.5443, 22.79, -133.1957
87666, 606.1366, 48.66685, 22.79, -133.5188
87666, 606.248, 48.66933, 22.79, -133.5253
87666, 631.0251, 48.66911, 22.79, -133.5251
87666, 631.1398, 48.64282, 22.79, -133.4951
87666, 631.2509, 48.5853, 22.79, -133.4296
87666, 631.3646, 48.52924, 22.79, -133.3658
87666, 631.47, 48.48202, 22.79, -133.3121
87666, 631.5704, 48.43876, 22.79, -133.2628
87666, 631.6839, 48.3873, 22.79, -133.2042
87666, 631.7841, 48.3398, 22.79, -133.1501
87666, 631.8981, 48.28352, 22.79, -133.086
87666, 632.003, 48.22995, 22.79, -133.025
87666, 632.1174, 48.1697, 22.79, -132.9564
87666, 632.2305, 48.10857, 22.79, -132.8869
87666, 632.3359, 48.05022, 22.79, -132.8205
87666, 632.436, 47.99384, 22.79, -132.7563
87666, 632.5363, 47.93636, 22.79, -132.6908
87666, 632.6412, 47.87535, 22.79, -132.6214
87666, 632.7462, 47.81351, 22.79, -132.5509
87666, 632.8465, 47.76861, 22.79, -132.4998
87666, 632.9612, 47.75647, 22.79, -132.486
87666, 654.7784, 47.75647, 22.79, -132.486
87666, 654.8842, 47.77885, 22.79, -132.4768
87666, 654.9872, 47.84973, 22.79, -132.4477
87666, 655.192, 48.02213, 22.79, -132.3768
87666, 655.2927, 48.10815, 22.79, -132.3415
87666, 655.4069, 48.19811, 22.79, -132.3046
87666, 655.5212, 48.2347, 22.79, -132.2895
87666, 671.313, 48.23488, 22.79, -132.2895
87666, 671.4153, 48.2367, 22.79, -132.2934
87666, 671.52, 48.25739, 22.79, -132.3384
87666, 671.6243, 48.29065, 22.79, -132.4106
87666, 671.7247, 48.32034, 22.79, -132.4752
87666, 671.825, 48.35056, 22.79, -132.5409
87666, 671.9319, 48.38404, 22.79, -132.6136
