SubjectID, Time, Event
56974, 126.8184, Start
54714, 126.8184, Start
53696, 126.8184, Start
56618, 126.8184, Start
54470, 126.8184, Start
58498, 126.8184, Start
56152, 126.8184, Start
58420, 126.8184, Start
55144, 126.8184, Start
56234, 126.8184, Start
55022, 126.8184, Start
53800, 126.8184, Start
56174, 126.8184, Start
53872, 126.8184, Start
54058, 126.8184, Start
57454, 126.8184, Start
55332, 126.8184, Start
58726, 126.8184, Start
56698, 126.8184, Start
56224, 126.8184, Start
54012, 126.8184, Start
57712, 126.8184, Start
56218, 126.8184, Start
55392, 126.8184, Start
58624, 126.8184, Start
54316, 126.8184, Start
55750, 126.8184, Start
51862, 126.8184, Start
51742, 126.8184, Start
58652, 126.8184, Start
59444, 126.8184, Start
58674, 126.8184, Start
56582, 126.8184, Start
55444, 126.8184, Start
58476, 126.8184, Start
58534, 126.8184, Start
59542, 126.8184, Start
56824, 126.8184, Start
