SubjectID, Time, X, Y, Z
34086, 29.02938, 355.675, 1.882661, 2.480089
34086, 29.04938, 357.0164, 358.0196, 1.699777
34086, 29.07685, 356.971, 357.6699, 1.618482
34086, 29.09536, 356.8952, 357.3296, 1.533248
34086, 29.12486, 356.7462, 357.0308, 1.315693
34086, 29.14289, 356.654, 356.7745, 1.182789
34086, 29.16816, 356.5021, 356.5757, 1.049595
34086, 29.18579, 356.3504, 356.3663, 0.9383258
34086, 29.20397, 356.2469, 356.1946, 0.8787773
34086, 29.22837, 356.1469, 356.0411, 0.8489326
34086, 29.2493, 356.0665, 355.9219, 0.840122
34086, 29.27238, 356.0186, 355.8362, 0.8422935
34086, 29.29313, 355.9447, 355.8075, 0.8274636
34086, 29.59453, 354.088, 356.4776, 1.409202
34086, 29.62215, 353.8044, 356.5942, 1.472355
34086, 29.64349, 353.5641, 356.7551, 1.5364
34086, 29.66877, 353.3879, 356.9593, 1.571018
34086, 29.68988, 353.261, 357.1617, 1.610675
34086, 29.70736, 353.1458, 357.4565, 1.566648
34086, 29.7295, 352.9995, 357.7955, 1.428099
34086, 29.75174, 352.8325, 358.1835, 1.238134
34086, 29.77221, 352.6113, 358.6001, 1.031164
34086, 29.79237, 352.3228, 359.0282, 0.8544123
34086, 29.81461, 352.0164, 359.4695, 0.6901049
34086, 29.83735, 351.6686, 359.9099, 0.5685366
34086, 29.85898, 351.2261, 0.3345231, 0.4901607
34086, 29.88119, 350.7346, 0.7351679, 0.4543708
34086, 29.90335, 350.1528, 1.099053, 0.4619394
34086, 29.928, 349.4545, 1.421254, 0.5148864
34086, 29.94911, 348.6561, 1.712148, 0.5743538
34086, 29.97002, 347.8409, 1.924456, 0.6081081
34086, 29.99223, 346.8992, 2.142706, 0.5935872
34086, 30.01447, 345.9437, 2.327345, 0.6406199
34086, 30.03668, 344.9635, 2.460585, 0.7131109
34086, 30.05963, 343.9302, 2.608454, 0.7844446
34086, 30.08159, 342.8343, 2.719438, 0.86943
34086, 30.10372, 341.6793, 2.822156, 0.9725449
34086, 30.12654, 340.5466, 2.896985, 1.127999
34086, 30.14958, 339.4379, 2.996051, 1.304636
34086, 30.17211, 338.3508, 3.118125, 1.461381
34086, 30.19496, 337.237, 3.238943, 1.574778
34086, 30.21779, 336.1354, 3.377653, 1.662081
34086, 30.24017, 335.0378, 3.533288, 1.698536
34086, 30.26239, 333.9421, 3.702627, 1.725509
34086, 30.28466, 332.8433, 3.859644, 1.755601
34086, 30.30905, 331.748, 4.017657, 1.754735
34086, 30.32949, 330.6399, 4.194709, 1.712542
34086, 30.35189, 329.5272, 4.386109, 1.64095
34086, 30.37424, 328.3214, 4.576076, 1.587564
34086, 30.39679, 327.0105, 4.72029, 1.560635
34086, 30.41904, 325.7961, 4.889406, 1.50099
34086, 30.44122, 324.5775, 5.071413, 1.394896
34086, 30.46346, 323.347, 5.212576, 1.301463
34086, 30.48563, 322.2258, 5.32116, 1.289409
34086, 30.50923, 321.0907, 5.388806, 1.336011
34086, 30.53044, 319.9436, 5.393365, 1.456869
34086, 30.552, 318.8607, 5.306689, 1.716193
34086, 30.57424, 317.917, 5.202594, 2.007841
34086, 30.59861, 317.2078, 5.159682, 2.236462
34086, 30.61991, 316.751, 5.118056, 2.40946
34086, 30.64276, 316.4602, 5.138219, 2.543714
34086, 30.66306, 316.2232, 5.235075, 2.563315
34086, 30.68538, 315.9314, 5.370444, 2.464632
34086, 30.70886, 315.6705, 5.477108, 2.404077
34086, 30.72965, 315.4502, 5.557975, 2.391974
34086, 30.75189, 315.2716, 5.590469, 2.383539
34086, 30.77411, 315.1512, 5.552462, 2.384932
34086, 30.79639, 315.1306, 5.520678, 2.363914
34086, 30.8186, 315.2227, 5.478598, 2.310133
34086, 30.84071, 315.3794, 5.424816, 2.292429
34086, 30.86295, 315.5966, 5.291024, 2.365346
34086, 30.88525, 315.8249, 5.137338, 2.461168
34086, 30.90775, 316.1457, 4.922663, 2.623806
34086, 30.93014, 316.5346, 4.707052, 2.811377
34086, 30.9524, 316.9846, 4.508398, 2.958424
34086, 30.97468, 317.5299, 4.308571, 3.070865
34086, 30.9969, 318.2124, 4.116468, 3.151022
34086, 31.01909, 319.0288, 3.905414, 3.24885
34086, 31.04122, 319.9655, 3.654626, 3.32978
34086, 31.06511, 321.0214, 3.424557, 3.331087
34086, 31.08566, 322.1964, 3.21592, 3.257466
34086, 31.10797, 323.4181, 2.980598, 3.179507
34086, 31.13011, 324.7303, 2.811663, 3.029268
34086, 31.15405, 326.0621, 2.576601, 2.89297
34086, 31.17507, 327.425, 2.343997, 2.727656
34086, 31.19624, 328.7856, 2.106237, 2.572542
34086, 31.21845, 330.1374, 1.830966, 2.491209
34086, 31.2407, 331.4719, 1.494685, 2.458891
34086, 31.26279, 332.7199, 1.169142, 2.4531
34086, 31.28554, 333.9602, 0.8966532, 2.416264
34086, 31.30729, 335.2737, 0.6701429, 2.320912
