SubjectID, Time, X, Y, Z
39166, 23.00333, 356.5579, 216.9668, 0.9673544
39166, 23.02333, 358.9832, 217.1569, 1.561455
39166, 23.04582, 0.1195411, 217.2702, 1.728965
39166, 23.07114, 1.834286, 217.5066, 1.97953
39166, 23.09238, 2.665471, 217.5805, 1.986625
39166, 23.11556, 3.021595, 217.4551, 1.864881
39166, 23.13847, 3.1689, 217.2957, 1.769928
39166, 23.15857, 3.087723, 217.1323, 1.670861
39166, 23.18227, 2.905075, 217.0386, 1.624727
39166, 23.2057, 2.71012, 217.0078, 1.599418
39166, 23.23085, 2.589551, 217.1004, 1.560511
39166, 23.25381, 2.421814, 217.192, 1.641444
39166, 23.27796, 2.17601, 217.3298, 1.733091
39166, 23.30036, 1.975356, 217.426, 1.799298
39166, 23.32098, 1.851133, 217.5627, 1.84236
39166, 23.34331, 1.771176, 217.6517, 1.829269
39166, 23.36735, 1.726846, 217.7653, 1.825096
39166, 23.38932, 1.762882, 217.7639, 1.867409
39166, 23.41074, 1.740486, 217.9632, 1.811146
39166, 23.43516, 1.608976, 218.1981, 1.849417
39166, 23.45889, 1.311453, 218.7232, 1.909423
39166, 23.48081, 1.1505, 219.211, 2.030961
39166, 23.50565, 0.9491454, 219.7919, 2.196351
39166, 23.52789, 0.6979234, 220.5545, 2.388673
39166, 23.55064, 0.4784786, 221.5164, 2.689435
39166, 23.57619, 0.2584713, 222.7244, 2.971762
39166, 23.60249, 359.9796, 224.0506, 3.295006
39166, 23.62933, 359.5952, 225.8033, 3.655022
39166, 23.65135, 359.3834, 226.7673, 3.788062
39166, 23.67961, 359.2042, 227.523, 3.807893
39166, 23.70281, 359.1116, 228.1629, 3.636137
39166, 23.72661, 359.0848, 228.3374, 3.492799
39166, 23.75065, 359.0968, 228.2431, 3.308828
39166, 23.77885, 359.1739, 227.9953, 3.079159
39166, 23.79938, 359.2788, 227.6136, 2.839028
39166, 23.8224, 359.4264, 227.1405, 2.617029
39166, 23.84777, 359.6491, 226.2044, 2.290394
39166, 23.86972, 359.8289, 225.2874, 1.938998
39166, 23.89202, 0.0567957, 224.2345, 1.631049
39166, 23.91562, 0.3481736, 223.1223, 1.370403
39166, 23.94278, 0.6779455, 221.8889, 1.094889
39166, 23.96354, 1.031738, 220.5622, 0.8325739
39166, 23.98878, 1.295275, 219.1048, 0.5502463
39166, 24.01084, 1.542586, 217.6183, 0.284945
39166, 24.03485, 1.778531, 216.1239, 0.04448917
39166, 24.05847, 2.074837, 213.8412, 359.7468
39166, 24.08449, 2.146451, 212.26, 359.6114
39166, 24.1094, 2.260955, 210.7533, 359.5595
39166, 24.13038, 2.296909, 209.2796, 359.5547
39166, 24.15525, 2.456108, 207.956, 359.575
39166, 24.1838, 2.769893, 206.1756, 359.4703
39166, 24.20693, 2.883866, 205.1139, 359.4474
39166, 24.23046, 2.973247, 204.1905, 359.3726
39166, 24.25475, 3.11146, 203.4757, 359.3027
39166, 24.27603, 3.278429, 202.9221, 359.2871
39166, 24.29983, 3.47798, 202.4667, 359.2957
39166, 24.32441, 3.709025, 202.1993, 359.3122
39166, 24.34838, 3.902235, 202.114, 359.3901
39166, 24.37303, 3.957596, 202.2012, 359.4826
39166, 24.39589, 4.027418, 202.3885, 359.6109
39166, 24.41877, 4.182822, 202.6407, 359.7896
39166, 24.44365, 4.261925, 202.9613, 359.9445
39166, 24.46627, 4.290901, 203.2151, 0.06040861
39166, 24.48666, 4.312029, 203.3857, 0.1189397
39166, 24.51053, 4.349304, 203.6133, 0.2055283
39166, 24.53582, 4.508725, 204.1651, 0.3853799
39166, 24.56109, 4.591393, 204.5061, 0.4137939
39166, 24.58518, 4.641394, 204.7621, 0.4135184
39166, 24.6092, 4.725638, 205.0762, 0.4309851
39166, 24.63324, 4.800488, 205.3548, 0.4261522
39166, 24.66142, 4.793381, 205.7507, 0.3971713
39166, 24.68499, 4.74049, 206.0233, 0.3961635
39166, 24.70996, 4.721656, 206.2896, 0.4599311
39166, 24.73928, 4.72554, 206.8151, 0.600482
39166, 24.76095, 4.693141, 207.1236, 0.6537411
39166, 24.78766, 4.636925, 207.3522, 0.6576402
39166, 24.81017, 4.550785, 207.7253, 0.7082799
