SubjectID, Time, Event
87638, 320.8086, Start
87672, 320.8086, Start
94652, 320.8086, Start
88026, 320.8086, Start
93574, 320.8086, Start
94538, 320.8086, Start
88602, 320.8086, Start
93674, 320.8086, Start
93292, 320.8086, Start
94596, 320.8086, Start
90760, 320.8086, Start
93594, 320.8086, Start
91292, 320.8086, Start
91050, 320.8086, Start
94010, 320.8086, Start
88060, 320.8086, Start
91056, 320.8086, Start
90878, 320.8086, Start
94342, 320.8086, Start
93350, 320.8086, Start
89516, 320.8086, Start
93860, 320.8086, Start
94718, 320.8086, Start
94832, 320.8086, Start
90602, 320.8086, Start
