SubjectID, Time, X, Y, Z
87638, 320.8086, 48.9, 22.79, -132.19
87638, 346.8494, 48.9, 22.79, -132.19
87638, 346.9542, 48.89996, 22.79, -132.177
87638, 347.066, 48.89988, 22.79, -132.1529
87638, 347.1664, 48.8998, 22.79, -132.1233
87638, 347.2664, 48.89968, 22.79, -132.0871
87638, 347.3817, 48.89951, 22.79, -132.0378
87638, 347.4837, 48.89936, 22.79, -131.9881
87638, 347.5871, 48.89918, 22.79, -131.9326
87638, 347.6876, 48.89899, 22.79, -131.8741
87638, 347.788, 48.89879, 22.79, -131.8116
87638, 347.8922, 48.89857, 22.79, -131.7429
87638, 347.9982, 48.89833, 22.79, -131.6693
87638, 348.1005, 48.89809, 22.79, -131.5953
87638, 348.2107, 48.89782, 22.79, -131.5124
87638, 348.3223, 48.89754, 22.79, -131.4256
87638, 348.4264, 48.89727, 22.79, -131.3422
87638, 348.5278, 48.897, 22.79, -131.259
87638, 348.6309, 48.89672, 22.79, -131.1725
87638, 348.7342, 48.89643, 22.79, -131.0844
87638, 348.8431, 48.89612, 22.79, -130.9897
87638, 349.1419, 48.89526, 22.79, -130.7247
87638, 369.9526, 48.89526, 22.79, -130.7247
87638, 370.0646, 48.89753, 22.79, -130.7258
87638, 370.1777, 48.94336, 22.79, -130.7486
87638, 370.2856, 49.02744, 22.79, -130.7905
87638, 370.3972, 49.11724, 22.79, -130.8352
87638, 370.6223, 49.30138, 22.79, -130.9269
87638, 370.8415, 49.484, 22.79, -131.0178
87638, 371.1736, 49.76572, 22.79, -131.1581
87638, 371.2738, 49.85172, 22.79, -131.2009
87638, 371.3786, 49.92945, 22.79, -131.2396
87638, 371.485, 49.96182, 22.79, -131.2557
87638, 392.2477, 49.96222, 22.79, -131.2559
87638, 392.3622, 49.96015, 22.79, -131.2564
87638, 392.4672, 49.91771, 22.79, -131.2675
87638, 392.5688, 49.84018, 22.79, -131.2879
87638, 392.6798, 49.76031, 22.79, -131.3088
87638, 392.9041, 49.61427, 22.79, -131.3472
87638, 393.0168, 49.53742, 22.79, -131.3673
87638, 393.1214, 49.46284, 22.79, -131.3869
87638, 393.2272, 49.38485, 22.79, -131.4073
87638, 393.3346, 49.30303, 22.79, -131.4288
87638, 393.4452, 49.2165, 22.79, -131.4515
87638, 393.556, 49.12762, 22.79, -131.4749
87638, 393.6561, 49.04564, 22.79, -131.4964
87638, 393.7675, 48.95282, 22.79, -131.5207
87638, 393.8694, 48.86643, 22.79, -131.5434
87638, 393.9713, 48.77893, 22.79, -131.5663
87638, 394.0714, 48.69187, 22.79, -131.5892
87638, 394.293, 48.49603, 22.79, -131.6406
87638, 394.4987, 48.31081, 22.79, -131.6892
87638, 394.8253, 48.01176, 22.79, -131.7676
87638, 395.0193, 47.83218, 22.79, -131.8147
87638, 395.1206, 47.82718, 22.79, -131.816
87638, 405.8508, 47.82718, 22.79, -131.816
87638, 405.9526, 47.83128, 22.79, -131.8206
87638, 406.0541, 47.86529, 22.79, -131.8586
87638, 406.1635, 47.93192, 22.79, -131.9328
87638, 406.5745, 48.19408, 22.79, -132.2252
87638, 407.6294, 48.88282, 22.79, -132.9932
87638, 407.7384, 48.95469, 22.79, -133.0734
87638, 407.8419, 49.01847, 22.79, -133.1445
87638, 407.9492, 49.05094, 22.79, -133.1807
87638, 408.0634, 49.05333, 22.79, -133.1833
87638, 428.8093, 49.05333, 22.79, -133.1833
87638, 428.9106, 49.05561, 22.79, -133.1636
87638, 429.0207, 49.06457, 22.79, -133.0862
87638, 429.1211, 49.07471, 22.79, -132.9985
87638, 429.2214, 49.08498, 22.79, -132.9098
87638, 429.3218, 49.09537, 22.79, -132.8199
87638, 429.4315, 49.10635, 22.79, -132.7249
87638, 429.5424, 49.11184, 22.79, -132.6776
87638, 429.6476, 49.1121, 22.79, -132.6753
87638, 455.3968, 49.1121, 22.79, -132.6753
87638, 455.5016, 49.11105, 22.79, -132.6595
87638, 455.6155, 49.1059, 22.79, -132.582
87638, 455.8294, 49.09278, 22.79, -132.3847
87638, 456.1489, 49.07281, 22.79, -132.0844
87638, 456.6822, 49.03877, 22.79, -131.5724
87638, 457.2262, 49.00347, 22.79, -131.0416
87638, 457.3263, 48.99794, 22.79, -130.9585
87638, 457.4404, 48.9956, 22.79, -130.9233
87638, 479.2176, 48.9956, 22.79, -130.9233
87638, 479.3177, 48.9985, 22.79, -130.9259
87638, 479.4224, 49.03455, 22.79, -130.9581
87638, 479.6281, 49.15715, 22.79, -131.0677
87638, 479.7356, 49.22304, 22.79, -131.1265
87638, 479.8428, 49.29014, 22.79, -131.1865
87672, 320.8086, 38.34396, 22.82, -119.1392
87672, 320.9194, 38.33744, 22.82, -119.0876
87672, 321.0342, 38.32858, 22.82, -119.0177
87672, 321.1422, 38.31972, 22.82, -118.9477
87672, 321.2597, 38.30952, 22.82, -118.8672
87672, 321.3684, 38.29963, 22.82, -118.7891
87672, 321.4752, 38.28954, 22.82, -118.7094
87672, 321.5862, 38.27869, 22.82, -118.6237
87672, 321.7009, 38.26713, 22.82, -118.5324
87672, 321.8078, 38.25607, 22.82, -118.445
87672, 321.9156, 38.24466, 22.82, -118.3549
87672, 322.0182, 38.23359, 22.82, -118.2675
87672, 322.1351, 38.22074, 22.82, -118.166
87672, 322.2474, 38.20821, 22.82, -118.067
87672, 322.4596, 38.18411, 22.82, -117.8766
87672, 322.6638, 38.16045, 22.82, -117.6896
87672, 322.9898, 38.12192, 22.82, -117.3853
87672, 323.5187, 38.05809, 22.82, -116.881
87672, 323.9576, 38.00428, 22.82, -116.4559
87672, 324.0702, 37.99151, 22.82, -116.3485
87672, 324.1743, 37.98378, 22.82, -116.2508
87672, 324.2747, 37.97998, 22.82, -116.1575
87672, 324.3754, 37.97807, 22.82, -116.0634
87672, 324.5883, 37.97759, 22.82, -115.8649
87672, 324.9234, 37.98071, 22.82, -115.5514
87672, 325.024, 37.98099, 22.82, -115.4563
87672, 325.1286, 37.98064, 22.82, -115.3586
87672, 325.4437, 37.98077, 22.82, -115.0536
87672, 325.5575, 37.98063, 22.82, -114.9455
87672, 325.6614, 37.98013, 22.82, -114.8478
87672, 325.7761, 37.97976, 22.82, -114.7691
87672, 325.8763, 37.97958, 22.82, -114.7327
87672, 325.9893, 37.97955, 22.82, -114.7251
87672, 335.2361, 37.97955, 22.82, -114.7251
87672, 335.3496, 37.98217, 22.82, -114.7255
87672, 335.4576, 37.9874, 22.82, -114.726
87672, 335.569, 37.98996, 22.82, -114.7261
87672, 337.0123, 37.99043, 22.82, -114.7261
87672, 337.1268, 37.99334, 22.82, -114.7096
87672, 337.2344, 38.00049, 22.82, -114.6606
87672, 337.3455, 38.00679, 22.82, -114.6
87672, 337.4602, 38.01159, 22.82, -114.5274
87672, 337.5662, 38.01448, 22.82, -114.4509
87672, 337.6679, 38.01571, 22.82, -114.3703
87672, 337.7768, 38.01566, 22.82, -114.2773
87672, 337.8841, 38.01546, 22.82, -114.1807
87672, 338.004, 38.01729, 22.82, -114.08
87672, 338.1119, 38.01879, 22.82, -114.0415
87672, 340.625, 38.01883, 22.82, -114.0405
87672, 340.733, 38.01482, 22.82, -114.0387
87672, 340.8442, 37.98112, 22.82, -114.0233
87672, 340.9582, 37.91047, 22.82, -113.9946
87672, 341.0612, 37.82354, 22.82, -113.9639
87672, 341.1696, 37.73354, 22.82, -113.9314
87672, 341.4906, 37.47058, 22.82, -113.8337
87672, 341.7102, 37.2891, 22.82, -113.7696
