SubjectID, Time, X, Y, Z
34086, 10.50801, 355.5958, 348.2904, 0.04669657
34086, 10.52801, 354.4248, 349.4213, 359.8379
34086, 10.54938, 354.4092, 349.4705, 359.8398
34086, 10.57042, 354.3656, 349.724, 359.8591
34086, 10.58727, 354.3334, 349.7849, 359.834
34086, 10.60906, 354.3416, 349.8928, 359.8313
34086, 10.62895, 354.3073, 350.0365, 359.7962
34086, 10.64919, 354.0785, 350.1878, 359.6895
34086, 10.67157, 353.9691, 350.3724, 359.7232
34086, 10.69701, 353.9697, 350.6095, 359.8021
34086, 10.72254, 354.0005, 350.8055, 359.8208
34086, 10.74475, 354.2236, 351.0645, 359.8334
34086, 10.7698, 354.2828, 351.2353, 359.8394
34086, 11.04644, 354.1886, 351.9781, 359.6465
34086, 11.07151, 354.2674, 352.2184, 359.6827
34086, 11.09183, 354.3101, 352.5476, 359.6966
34086, 11.11136, 354.1817, 353.0948, 359.5219
34086, 11.13354, 354.1092, 353.8366, 359.567
34086, 11.15567, 354.0278, 354.6853, 359.562
34086, 11.17792, 353.9792, 355.5267, 359.5371
34086, 11.20011, 353.9429, 356.4436, 359.582
34086, 11.22241, 353.9191, 357.3868, 359.5932
34086, 11.24603, 353.8829, 358.1734, 359.6036
34086, 11.26668, 353.8762, 358.7952, 359.5937
34086, 11.29172, 353.9048, 359.2827, 359.5437
34086, 11.31693, 353.9298, 359.7303, 359.4698
34086, 11.33866, 353.958, 0.1072215, 359.4173
34086, 11.36339, 353.9842, 0.3525585, 359.3752
34086, 11.38461, 354.0189, 0.4706104, 359.3575
34086, 11.40498, 354.0682, 0.5445687, 359.3314
34086, 11.42646, 354.0541, 0.5897388, 359.2626
34086, 11.44687, 354.0728, 0.5436518, 359.1914
34086, 11.46667, 354.1368, 0.4681663, 359.1531
34086, 11.49245, 354.2408, 0.2745943, 359.1146
34086, 11.51786, 354.3301, 0.05936626, 359.0885
34086, 11.54305, 354.4243, 359.7715, 359.0518
34086, 11.56154, 354.5296, 359.3877, 359.0146
34086, 11.58703, 354.6006, 358.8885, 358.9839
34086, 11.60731, 354.6733, 358.0989, 358.8832
34086, 11.62918, 354.7507, 356.9043, 358.6007
34086, 11.64949, 354.9097, 355.3424, 358.1989
34086, 11.67126, 355.0851, 353.5193, 357.7757
34086, 11.69358, 355.2136, 351.2304, 357.3715
34086, 11.71308, 355.2922, 348.456, 356.967
34086, 11.73321, 355.4355, 345.7426, 356.6442
34086, 11.75665, 355.5194, 342.9917, 356.2964
34086, 11.77914, 355.3302, 339.997, 355.947
34086, 11.80244, 355.1083, 337.2052, 355.6792
34086, 11.82199, 354.9521, 334.7108, 355.4846
34086, 11.84433, 354.7502, 332.312, 355.3223
34086, 11.86794, 354.6037, 330.2209, 355.2488
34086, 11.88864, 354.5294, 328.4236, 355.1929
34086, 11.91087, 354.548, 326.9499, 355.1882
34086, 11.93313, 354.5061, 325.7648, 355.2336
34086, 11.95529, 354.3975, 324.7641, 355.2773
34086, 11.97758, 354.2707, 323.9672, 355.339
34086, 11.99974, 354.1985, 323.3702, 355.3716
34086, 12.02231, 354.1952, 322.9942, 355.37
34086, 12.04505, 354.1213, 322.5494, 355.4
34086, 12.06782, 354.127, 322.0844, 355.5065
34086, 12.09066, 354.2011, 321.666, 355.5831
34086, 12.1134, 354.2122, 321.2531, 355.5939
34086, 12.1378, 354.2697, 320.7702, 355.6359
34086, 12.16267, 354.3757, 320.2691, 355.7052
34086, 12.18458, 354.5547, 319.8078, 355.7397
34086, 12.20707, 354.6938, 319.3813, 355.7399
34086, 12.22921, 354.869, 319.0573, 355.7837
34086, 12.2501, 354.9952, 318.7963, 355.8297
34086, 12.26955, 355.0754, 318.6235, 355.8966
34086, 12.29172, 355.0785, 318.4983, 355.9806
34086, 12.31398, 355.0269, 318.3654, 356.0218
34086, 12.33766, 354.972, 318.1811, 356.0512
34086, 12.35943, 354.9082, 317.9261, 356.0836
34086, 12.38056, 354.9455, 317.6414, 356.0905
34086, 12.40378, 354.9203, 317.3491, 356.149
34086, 12.42503, 354.8713, 317.0245, 356.1856
34086, 12.4497, 354.8782, 316.6886, 356.2239
34086, 12.46948, 354.9522, 316.4203, 356.2602
34086, 12.49167, 354.9994, 316.1941, 356.2841
34086, 12.51389, 355.0415, 316.0163, 356.2649
34086, 12.53624, 355.0976, 315.955, 356.2599
34086, 12.55851, 355.1797, 315.9835, 356.3045
34086, 12.58268, 355.1675, 315.9181, 356.3309
34086, 12.60321, 355.1654, 315.8486, 356.3588
34086, 12.62748, 355.1716, 315.8354, 356.3508
34086, 12.6508, 355.2247, 315.8451, 356.3395
34086, 12.67145, 355.2004, 315.8568, 356.3832
34086, 12.69246, 355.2188, 315.8813, 356.4578
