SubjectID, Time, Event
117764, 614.5215, Start
117764, 614.5215, Disable
117764, 790.6755, Enable
118016, 614.5215, Start
118016, 614.5215, Disable
118164, 614.5215, Start
118164, 614.5215, Disable
118164, 790.6755, Enable
118324, 614.5215, Start
118324, 614.5215, Disable
118324, 790.6755, Enable
120216, 614.5215, Start
120216, 614.5215, Disable
119860, 614.5215, Start
119860, 614.5215, Disable
119926, 614.5215, Start
119926, 614.5215, Disable
119602, 614.5215, Start
119602, 614.5215, Disable
120236, 614.5215, Start
120236, 614.5215, Disable
119458, 614.5215, Start
119458, 614.5215, Disable
119458, 662.0297, Enable
119944, 614.5215, Start
119944, 614.5215, Disable
119944, 681.8624, Enable
119944, 778.4067, Disable
119944, 778.4067, Destroy
119932, 614.5215, Start
119932, 614.5215, Disable
119932, 721.4167, Enable
119932, 779.1622, Disable
119932, 779.1622, Destroy
119936, 614.5215, Start
119936, 614.5215, Disable
120030, 614.5215, Start
120030, 614.5215, Disable
120038, 614.5215, Start
120038, 614.5215, Disable
120038, 741.1557, Enable
120038, 780.8845, Disable
120038, 780.8845, Destroy
120486, 614.5215, Start
120486, 614.5215, Disable
119918, 614.5215, Start
119918, 614.5215, Disable
120602, 614.5215, Start
120602, 614.5215, Disable
120678, 614.5215, Start
120678, 614.5215, Disable
120678, 741.1557, Enable
120678, 779.2511, Disable
120678, 779.2511, Destroy
120684, 614.5215, Start
120684, 614.5215, Disable
119856, 614.5215, Start
119856, 614.5215, Disable
120064, 614.5215, Start
120064, 614.5215, Disable
120064, 721.4167, Enable
120064, 777.8734, Disable
120064, 777.8734, Destroy
120062, 614.5215, Start
120062, 614.5215, Disable
119312, 614.5215, Start
119312, 614.5215, Disable
120042, 614.5215, Start
120042, 614.5215, Disable
120050, 614.5215, Start
120050, 614.5215, Disable
120050, 741.1557, Enable
120050, 781.54, Disable
120050, 781.54, Destroy
120694, 614.5215, Start
120694, 614.5215, Disable
120688, 614.5215, Start
120688, 614.5215, Disable
120688, 741.1557, Enable
120688, 781.9955, Disable
120688, 781.9955, Destroy
120660, 614.5215, Start
120660, 614.5215, Disable
120112, 614.5215, Start
120112, 614.5215, Disable
120112, 681.8624, Enable
120112, 779.8289, Disable
120112, 779.8289, Destroy
120120, 614.5215, Start
120120, 614.5215, Disable
120212, 614.5215, Start
120212, 614.5215, Disable
120204, 614.5215, Start
120204, 614.5215, Disable
120204, 741.1557, Enable
120204, 779.6844, Disable
120204, 779.6844, Destroy
119468, 614.5215, Start
119468, 614.5215, Disable
120318, 614.5215, Start
120656, 614.5215, Start
