SubjectID, Time, X, Y, Z
39166, 140.6016, -6.664815, 0.02697477, 7.307147
39166, 140.6216, -6.66571, 0.2019688, 7.306692
39166, 140.8002, -6.66727, 0.2020408, 7.305879
39166, 140.8263, -6.667842, 0.2016396, 7.305823
39166, 140.8481, -6.668509, 0.2016972, 7.304983
39166, 140.872, -6.668428, 0.2018315, 7.305
39166, 141.0281, -6.670387, 0.2020538, 7.304634
39166, 141.0482, -6.670238, 0.2022106, 7.304745
39166, 141.1375, -6.670582, 0.2022176, 7.305083
39166, 141.1619, -6.670762, 0.2021576, 7.304944
39166, 141.1818, -6.671191, 0.2020598, 7.304686
39166, 141.2486, -6.67178, 0.2020659, 7.304623
39166, 141.27, -6.671572, 0.2020288, 7.304917
39166, 141.3145, -6.672024, 0.2021365, 7.304938
39166, 141.3396, -6.672121, 0.2017843, 7.305037
39166, 141.3851, -6.672279, 0.2020246, 7.305218
39166, 141.4311, -6.672728, 0.2021948, 7.304852
39166, 141.5403, -6.673572, 0.2017933, 7.304609
39166, 141.5626, -6.674136, 0.2015417, 7.304228
39166, 141.6316, -6.674443, 0.2013799, 7.303593
39166, 141.6549, -6.674294, 0.2013494, 7.303399
39166, 141.6753, -6.673714, 0.2014518, 7.303468
39166, 141.6987, -6.67334, 0.2015441, 7.303319
39166, 141.7198, -6.672587, 0.2013434, 7.30356
39166, 141.7458, -6.672196, 0.2015515, 7.303327
39166, 141.7901, -6.670862, 0.2019069, 7.303334
39166, 141.8116, -6.670435, 0.2021208, 7.303319
39166, 141.8326, -6.670423, 0.2022149, 7.303118
39166, 141.8517, -6.669683, 0.2027624, 7.303534
39166, 141.8723, -6.669076, 0.2030293, 7.303592
39166, 141.8976, -6.668633, 0.2029782, 7.303527
39166, 142.0124, -6.666603, 0.2029811, 7.305586
39166, 142.0327, -6.666233, 0.202928, 7.306182
39166, 142.052, -6.665634, 0.203028, 7.306972
39166, 142.0957, -6.665116, 0.2031058, 7.307813
39166, 142.1151, -6.664714, 0.2031741, 7.308341
39166, 142.1413, -6.66456, 0.2033009, 7.308682
39166, 142.2102, -6.664001, 0.2039514, 7.309902
