SubjectID, Time, X, Y, Z
39166, 140.6016, 350.738, 207.6727, 0.7043268
39166, 140.6216, 350.8697, 207.4942, 0.7687991
39166, 140.6477, 350.8746, 207.4922, 0.7547725
39166, 140.6682, 350.8784, 207.4858, 0.747519
39166, 140.6899, 350.8423, 207.4763, 0.7396339
39166, 140.7103, 350.7952, 207.4836, 0.7285895
39166, 140.7305, 350.7688, 207.4571, 0.7396476
39166, 140.754, 350.7705, 207.4593, 0.741293
39166, 140.7743, 350.7977, 207.451, 0.7507318
39166, 140.8002, 350.828, 207.4284, 0.7398649
39166, 140.8263, 350.8104, 207.4992, 0.6871237
39166, 140.8481, 350.8528, 207.4972, 0.6706153
39166, 140.872, 350.8418, 207.4821, 0.6544684
39166, 140.8928, 350.8561, 207.4779, 0.6226285
39166, 140.9147, 350.8907, 207.5381, 0.6026685
39166, 140.9369, 350.8903, 207.5577, 0.5768672
39166, 140.9593, 350.8657, 207.5803, 0.5604373
39166, 140.9813, 350.8442, 207.6055, 0.5438573
39166, 141.0036, 350.8113, 207.6062, 0.5283937
39166, 141.0281, 350.7634, 207.615, 0.5274841
39166, 141.0482, 350.7105, 207.5865, 0.5397117
39166, 141.0727, 350.6729, 207.5493, 0.5485094
39166, 141.0931, 350.6574, 207.5192, 0.5498417
39166, 141.1167, 350.6239, 207.5115, 0.5440258
39166, 141.1375, 350.6013, 207.5306, 0.5682576
39166, 141.1619, 350.6315, 207.4881, 0.5628949
39166, 141.1818, 350.6535, 207.4762, 0.5523884
39166, 141.2034, 350.6625, 207.4736, 0.5500821
39166, 141.2269, 350.6613, 207.4817, 0.54794
39166, 141.2486, 350.6742, 207.4888, 0.5319111
39166, 141.27, 350.7067, 207.4857, 0.5024452
39166, 141.2923, 350.7098, 207.4867, 0.4905064
39166, 141.3145, 350.6862, 207.4887, 0.4500153
39166, 141.3396, 350.7171, 207.5274, 0.3874363
39166, 141.3623, 350.7355, 207.5215, 0.3837517
39166, 141.3851, 350.719, 207.5666, 0.3856048
39166, 141.4071, 350.7242, 207.5756, 0.3657445
39166, 141.4311, 350.7571, 207.5814, 0.3547724
39166, 141.4534, 350.7847, 207.5701, 0.3518148
39166, 141.475, 350.8248, 207.5735, 0.3291411
39166, 141.4969, 350.8697, 207.5374, 0.2910643
39166, 141.5182, 350.957, 207.5115, 0.2432943
39166, 141.5403, 351.1047, 207.4637, 0.199415
39166, 141.5626, 351.2938, 207.3926, 0.1466196
39166, 141.5864, 351.455, 207.2892, 0.1406022
39166, 141.607, 351.5655, 207.1432, 0.1281791
39166, 141.6316, 351.5511, 206.9627, 0.09993971
39166, 141.6549, 351.5812, 206.6828, 0.1415007
39166, 141.6753, 351.5795, 206.3156, 0.191989
39166, 141.6987, 351.5457, 205.8746, 0.2471182
39166, 141.7198, 351.4493, 205.3968, 0.3033095
39166, 141.7458, 351.3703, 204.8517, 0.3922395
39166, 141.7692, 351.3202, 204.2376, 0.4712131
39166, 141.7901, 351.2473, 203.6231, 0.5610442
39166, 141.8116, 351.0112, 203.0817, 0.6439953
39166, 141.8326, 350.8278, 202.6139, 0.7431161
39166, 141.8517, 350.5199, 202.2345, 0.912999
39166, 141.8723, 350.3406, 201.7807, 0.991414
39166, 141.8976, 350.1955, 201.3744, 1.051494
39166, 141.9198, 350.1179, 201.0173, 1.132054
39166, 141.9425, 350.1176, 200.7108, 1.212506
39166, 141.9648, 350.1458, 200.4503, 1.30667
39166, 141.9895, 350.1577, 200.2534, 1.336629
39166, 142.0124, 350.1318, 200.0941, 1.32762
39166, 142.0327, 350.1269, 199.9595, 1.311893
39166, 142.052, 350.1024, 199.8097, 1.287123
39166, 142.0747, 350.0576, 199.6371, 1.236872
39166, 142.0957, 349.977, 199.4859, 1.179449
39166, 142.1151, 349.8959, 199.3396, 1.107663
39166, 142.1413, 349.766, 199.1776, 1.07978
39166, 142.1645, 349.6199, 198.9841, 1.093915
39166, 142.1855, 349.4485, 198.773, 1.176416
39166, 142.2102, 349.3063, 198.457, 1.317046
39166, 142.2309, 349.1827, 198.0253, 1.493685
39166, 142.254, 349.0081, 197.4676, 1.725382
39166, 142.2751, 348.8074, 196.8006, 2.010552
39166, 142.2962, 348.5981, 196.0019, 2.312659
39166, 142.3171, 348.3286, 195.0661, 2.628861
39166, 142.3397, 347.9102, 193.9844, 3.007896
39166, 142.3612, 347.519, 192.8376, 3.2787
39166, 142.3821, 347.0325, 191.7314, 3.286354
39166, 142.4048, 346.4254, 190.8079, 2.884355
39166, 142.4309, 345.9254, 190.0216, 2.441061
39166, 142.4535, 345.5212, 189.3657, 2.087936
39166, 142.4753, 345.2877, 188.7693, 1.603741
39166, 142.4969, 345.1013, 188.2826, 1.080319
39166, 142.5178, 345.0009, 187.8868, 0.6032054
39166, 142.5381, 345.1243, 187.5275, 0.1700782
39166, 142.559, 345.3326, 187.1922, 359.832
39166, 142.5805, 345.6623, 186.8389, 359.5767
39166, 142.6028, 346.062, 186.4541, 359.3708
39166, 142.629, 346.3953, 186.0239, 359.1895
39166, 142.6535, 346.624, 185.5618, 358.9271
39166, 142.6778, 346.7684, 185.0947, 358.644
39166, 142.7001, 346.9802, 184.6393, 358.2785
39166, 142.7205, 347.2355, 184.326, 357.7995
39166, 142.7438, 347.4829, 184.0282, 357.3282
39166, 142.7648, 347.7723, 183.7686, 356.8731
39166, 142.7876, 347.9796, 183.5819, 356.4147
39166, 142.8084, 348.1772, 183.4511, 355.9575
39166, 142.8338, 348.3743, 183.4321, 355.534
39166, 142.8582, 348.6091, 183.5856, 355.0413
39166, 142.883, 348.7289, 183.7147, 354.8676
39166, 142.9033, 348.7988, 183.8417, 354.7794
39166, 142.9277, 348.845, 183.974, 354.7493
39166, 142.9492, 348.9395, 184.1438, 354.6963
39166, 142.9763, 349.0335, 184.3097, 354.6295
39166, 142.997, 349.1182, 184.455, 354.6056
39166, 143.0224, 349.1722, 184.5453, 354.6533
39166, 143.0435, 349.1756, 184.6336, 354.671
39166, 143.0641, 349.1328, 184.7656, 354.6736
39166, 143.0846, 349.1078, 184.9112, 354.6151
39166, 143.1059, 349.1004, 185.0862, 354.5323
39166, 143.1271, 349.0703, 185.2767, 354.4362
39166, 143.1483, 349.0079, 185.4886, 354.3722
39166, 143.1718, 348.9068, 185.7372, 354.4418
39166, 143.1969, 348.8264, 185.9216, 354.6031
39166, 143.2203, 348.8469, 186.0557, 354.803
39166, 143.2435, 348.9985, 186.1513, 355.0123
39166, 143.2659, 349.2106, 186.2039, 355.1839
39166, 143.2868, 349.3452, 186.2601, 355.3202
39166, 143.3092, 349.4823, 186.2892, 355.4595
39166, 143.3319, 349.6229, 186.2965, 355.5957
39166, 143.3515, 349.7845, 186.2868, 355.7724
39166, 143.374, 349.891, 186.2803, 355.9796
39166, 143.398, 349.9362, 186.2689, 356.2415
39166, 143.4179, 349.9661, 186.2851, 356.5112
39166, 143.4418, 350.0356, 186.3196, 356.8295
39166, 143.4627, 350.1459, 186.36, 357.1951
39166, 143.4828, 350.2538, 186.3824, 357.56
39166, 143.5042, 350.3966, 186.3947, 357.9172
39166, 143.525, 350.5708, 186.3353, 358.2986
39166, 143.5472, 350.7323, 186.2657, 358.7047
39166, 143.572, 350.833, 186.1486, 359.0196
39166, 143.5946, 350.8218, 186.0506, 359.272
39166, 143.6168, 350.7875, 185.965, 359.4297
39166, 143.6368, 350.7456, 185.8896, 359.581
39166, 143.6592, 350.6943, 185.8451, 359.7354
39166, 143.6801, 350.6815, 185.8191, 359.8625
39166, 143.7052, 350.6864, 185.8105, 359.9393
39166, 143.7317, 350.6868, 185.8254, 0.01917499
39166, 143.7565, 350.6922, 185.8622, 0.06672238
39166, 143.7775, 350.7166, 185.8887, 0.07932138
39166, 143.798, 350.7168, 185.9659, 0.1209397
39166, 143.8188, 350.7009, 186.0008, 0.1319055
39166, 143.8424, 350.6497, 186.0583, 0.09335229
39166, 143.8654, 350.6241, 186.0924, 0.01869516
39166, 143.886, 350.574, 186.1377, 359.9203
39166, 143.9066, 350.5304, 186.1521, 359.8098
39166, 143.9324, 350.4892, 186.1562, 359.7379
39166, 143.9554, 350.4281, 186.1325, 359.6592
39166, 143.9765, 350.3033, 186.1115, 359.5446
39166, 143.9997, 350.1367, 186.1087, 359.4703
39166, 144.0226, 350.0146, 186.1054, 359.4084
39166, 144.0467, 349.8967, 186.1062, 359.3414
39166, 144.0715, 349.8738, 186.134, 359.2919
39166, 144.0975, 349.8176, 186.1582, 359.2147
39166, 144.1175, 349.7513, 186.1695, 359.1166
39166, 144.1378, 349.7088, 186.208, 359.0123
39166, 144.1592, 349.6782, 186.3051, 358.9147
39166, 144.182, 349.7292, 186.4025, 358.8181
39166, 144.2105, 349.859, 186.5181, 358.6879
39166, 144.2363, 350.1352, 186.7141, 358.5607
39166, 144.2587, 350.3282, 186.814, 358.5423
39166, 144.2798, 350.4825, 186.8988, 358.5532
39166, 144.303, 350.5466, 186.9575, 358.5927
39166, 144.3295, 350.5192, 187.0135, 358.6304
39166, 144.3497, 350.4226, 187.0871, 358.7274
39166, 144.3731, 350.2978, 187.1876, 358.8227
39166, 144.3992, 350.1766, 187.2791, 358.8917
39166, 144.4195, 350.13, 187.3436, 358.9416
39166, 144.446, 350.1853, 187.3887, 358.9628
39166, 144.4684, 350.3829, 187.4384, 358.9536
39166, 144.4919, 350.8179, 187.5359, 358.8484
39166, 144.513, 351.1393, 187.6721, 358.8085
39166, 144.5364, 351.381, 187.8269, 358.8162
39166, 144.5609, 351.5198, 187.9522, 358.8579
