SubjectID, Time, X, Y, Z
34086, 30.55997, 3.87315, 0.417899, 3.976836
34086, 30.57997, 3.875403, 0.2211306, 5.972299
34086, 30.60077, 3.875417, 0.2211846, 5.972366
34086, 30.61955, 3.876358, 0.2213817, 5.971331
34086, 30.64899, 3.876054, 0.2211826, 5.971638
34086, 30.66828, 3.876125, 0.2212304, 5.971711
34086, 30.68837, 3.875727, 0.2213458, 5.972612
34086, 30.75319, 3.875878, 0.2212877, 5.973318
34086, 30.77542, 3.87573, 0.2211275, 5.973885
34086, 31.13495, 3.878388, 0.2209397, 5.976152
34086, 31.15439, 3.878364, 0.2207592, 5.976479
34086, 31.1751, 3.87798, 0.220479, 5.977086
34086, 31.19732, 3.877327, 0.2203481, 5.978156
34086, 31.35277, 3.877841, 0.2200217, 5.979601
34086, 31.37664, 3.877548, 0.2199019, 5.980364
34086, 31.69091, 3.878453, 0.217285, 5.983186
34086, 31.71328, 3.878885, 0.2171164, 5.982977
34086, 31.75768, 3.878964, 0.2163691, 5.983883
34086, 31.80211, 3.878792, 0.2155438, 5.985281
34086, 31.82428, 3.878973, 0.2151109, 5.985558
34086, 31.86873, 3.87885, 0.2142416, 5.986579
34086, 31.89094, 3.878627, 0.2138213, 5.987307
34086, 32.06861, 3.877946, 0.2114532, 5.991249
34086, 32.09087, 3.877611, 0.2111503, 5.991905
34086, 32.11597, 3.877631, 0.2110676, 5.992252
34086, 32.13778, 3.877743, 0.2109961, 5.992315
34086, 32.15791, 3.878021, 0.2109267, 5.992257
34086, 32.17931, 3.878764, 0.2109809, 5.991595
34086, 32.24518, 3.879, 0.2107169, 5.991649
34086, 32.28956, 3.878719, 0.2104183, 5.99229
34086, 32.31318, 3.878849, 0.2104101, 5.992535
34086, 32.33399, 3.879699, 0.2105941, 5.991867
34086, 32.37843, 3.880071, 0.2105218, 5.992066
34086, 32.4236, 3.880224, 0.2100897, 5.992827
34086, 32.51323, 3.88171, 0.2098225, 5.993249
34086, 32.53431, 3.882375, 0.2099181, 5.993132
34086, 32.56017, 3.882742, 0.2099234, 5.993353
34086, 32.66692, 3.885389, 0.2096289, 5.994128
34086, 32.69077, 3.886226, 0.2096885, 5.993841
34086, 32.77867, 3.888046, 0.2096576, 5.994755
34086, 32.80024, 3.888189, 0.2095889, 5.995338
34086, 32.8891, 3.889342, 0.2094666, 5.99615
34086, 33.0225, 3.88969, 0.2093108, 5.997867
34086, 33.06695, 3.889478, 0.2093387, 5.9982
34086, 33.09124, 3.890232, 0.2096341, 5.997384
34086, 33.11154, 3.889776, 0.2095388, 5.99774
34086, 33.13432, 3.889901, 0.2096558, 5.997627
34086, 33.20122, 3.889515, 0.2096628, 5.998243
34086, 33.24582, 3.889416, 0.2098763, 5.998339
34086, 33.2687, 3.889003, 0.2097757, 5.998811
34086, 33.31504, 3.888731, 0.2100693, 5.999319
34086, 33.33548, 3.888591, 0.2103265, 5.999753
34086, 33.37919, 3.888578, 0.2103291, 5.999884
34086, 33.40343, 3.8887, 0.2105803, 5.999612
34086, 33.4278, 3.890806, 0.2107395, 6.001058
34086, 33.44889, 3.89509, 0.2108855, 6.003623
34086, 33.47109, 3.901313, 0.2109993, 6.007372
34086, 33.49395, 3.910892, 0.2109598, 6.013104
34086, 33.51779, 3.924538, 0.2110969, 6.021084
34086, 33.5377, 3.940615, 0.2116369, 6.027653
34086, 33.56012, 3.9555, 0.2117347, 6.035089
34086, 33.58188, 3.973034, 0.2108196, 6.048666
34086, 33.60269, 3.99183, 0.2107175, 6.060686
34086, 33.6215, 4.00982, 0.2108155, 6.072269
34086, 33.64164, 4.024719, 0.2108543, 6.081999
34086, 33.66368, 4.042731, 0.2108324, 6.093451
34086, 33.68534, 4.061537, 0.210781, 6.105618
34086, 33.70731, 4.080133, 0.2107961, 6.117554
34086, 33.77393, 4.135862, 0.2107221, 6.154242
34086, 33.79717, 4.1544, 0.21072, 6.166626
34086, 33.81834, 4.173536, 0.2107272, 6.179707
34086, 33.84055, 4.191083, 0.2107202, 6.191663
34086, 33.86277, 4.209148, 0.2105974, 6.204598
34086, 33.88555, 4.226879, 0.210457, 6.217838
34086, 33.91085, 4.246452, 0.2103547, 6.232327
34086, 33.93357, 4.267229, 0.2102029, 6.248
34086, 33.95158, 4.281579, 0.2100073, 6.259155
34086, 33.97436, 4.297568, 0.209941, 6.271142
34086, 33.9972, 4.315468, 0.2098313, 6.285492
34086, 34.04197, 4.350661, 0.2097654, 6.312774
34086, 34.0641, 4.367781, 0.2097324, 6.326334
34086, 34.08628, 4.386715, 0.209776, 6.340571
34086, 34.1085, 4.402868, 0.2098651, 6.353161
34086, 34.13079, 4.419276, 0.2098936, 6.366621
34086, 34.1973, 4.416996, 0.2100343, 6.366757
34086, 34.21959, 4.416364, 0.2100572, 6.366444
34086, 34.28632, 4.414607, 0.2096404, 6.366367
34086, 34.35417, 4.414165, 0.2096413, 6.364801
34086, 34.37683, 4.414036, 0.2093973, 6.364569
34086, 34.39954, 4.41472, 0.2094506, 6.363385
34086, 34.4447, 4.414731, 0.2088277, 6.362644
34086, 34.46729, 4.415228, 0.2087688, 6.361779
34086, 34.51191, 4.416898, 0.2087804, 6.359022
34086, 34.53437, 4.417036, 0.2085337, 6.358703
34086, 34.5564, 4.417984, 0.2084344, 6.35742
34086, 34.60075, 4.419148, 0.208457, 6.354975
34086, 34.66738, 4.420358, 0.2087713, 6.352532
34086, 34.69021, 4.420905, 0.2090266, 6.351399
34086, 34.71192, 4.422299, 0.2095618, 6.349399
34086, 34.73573, 4.422604, 0.2096261, 6.348722
34086, 34.75629, 4.422503, 0.209834, 6.347617
34086, 34.77928, 4.418183, 0.209953, 6.345162
34086, 34.802, 4.410204, 0.2100591, 6.340973
34086, 34.82291, 4.398273, 0.2101127, 6.335117
34086, 34.84704, 4.382236, 0.2100021, 6.327682
34086, 34.86734, 4.362906, 0.2100426, 6.318711
34086, 34.88959, 4.342361, 0.210105, 6.309488
34086, 34.91179, 4.322877, 0.2100688, 6.300598
34086, 34.93395, 4.30264, 0.2099791, 6.291651
34086, 34.95621, 4.282434, 0.2099813, 6.282892
34086, 34.9798, 4.261457, 0.2099863, 6.2739
34086, 35.00059, 4.241834, 0.2099144, 6.265625
34086, 35.02282, 4.221434, 0.2099134, 6.257153
34086, 35.04495, 4.211359, 0.2100353, 6.252729
34086, 35.09002, 4.211421, 0.2099829, 6.253015
34086, 35.11238, 4.211795, 0.2100617, 6.252531
34086, 35.15609, 4.211768, 0.2101099, 6.252663
34086, 35.17837, 4.211485, 0.2099418, 6.25287
34086, 35.22273, 4.211464, 0.2100419, 6.252867
34086, 35.24642, 4.211225, 0.2100215, 6.253101
34086, 35.29137, 4.210943, 0.2100282, 6.253207
34086, 35.40039, 4.210809, 0.2101617, 6.252691
34086, 35.42253, 4.210655, 0.2101756, 6.25282
34086, 35.44469, 4.210765, 0.210308, 6.252428
34086, 35.46693, 4.21115, 0.2102836, 6.251822
34086, 35.48916, 4.211027, 0.2103425, 6.25155
34086, 35.5787, 4.210436, 0.2103451, 6.251578
34086, 35.6002, 4.210262, 0.2103101, 6.252374
34086, 35.62381, 4.210613, 0.2102838, 6.254834
34086, 35.64544, 4.210633, 0.2100789, 6.260715
34086, 35.82337, 4.208848, 0.2100018, 6.26197
34086, 35.84595, 4.208562, 0.2099651, 6.262395
34086, 35.86691, 4.208483, 0.2099043, 6.264643
34086, 35.88908, 4.20903, 0.2098036, 6.269186
34086, 35.91182, 4.21002, 0.2097665, 6.276632
34086, 35.93353, 4.211625, 0.209839, 6.285074
34086, 35.95607, 4.213612, 0.209857, 6.296843
34086, 35.97795, 4.216001, 0.2098814, 6.310753
34086, 36.00186, 4.217607, 0.2099035, 6.318496
34086, 36.02236, 4.217473, 0.2099178, 6.318923
34086, 36.06677, 4.21781, 0.209884, 6.318942
34086, 36.15575, 4.217632, 0.209616, 6.320809
34086, 36.17751, 4.219066, 0.2102084, 6.319351
34086, 36.28858, 4.21883, 0.2098382, 6.321216
34086, 36.31078, 4.21891, 0.2098102, 6.32135
34086, 36.333, 4.218685, 0.2096372, 6.321824
34086, 36.3552, 4.218895, 0.2095704, 6.321734
34086, 36.39959, 4.21882, 0.2094553, 6.322338
34086, 36.4218, 4.218586, 0.2092987, 6.322913
34086, 36.44412, 4.217528, 0.2091793, 6.323175
34086, 36.4663, 4.212513, 0.209166, 6.32242
34086, 36.48999, 4.203748, 0.2093522, 6.320182
34086, 36.51535, 4.1899, 0.2092845, 6.316752
34086, 36.53473, 4.17335, 0.2093521, 6.31223
34086, 36.55369, 4.155403, 0.2093493, 6.307325
34086, 36.57591, 4.134812, 0.2093575, 6.301551
34086, 36.59812, 4.113237, 0.2093536, 6.295733
34086, 36.62035, 4.091818, 0.2091844, 6.289612
34086, 36.64265, 4.071523, 0.2093726, 6.282054
34086, 36.66472, 4.050076, 0.2092874, 6.275886
34086, 36.68694, 4.028675, 0.2093076, 6.269791
34086, 36.70915, 4.018139, 0.2093224, 6.266609
34086, 36.88874, 4.018342, 0.2093595, 6.265668
34086, 36.91385, 4.017582, 0.2090765, 6.266621
34086, 36.93526, 4.017415, 0.2089747, 6.266727
34086, 36.95691, 4.017738, 0.2090951, 6.266253
34086, 36.97654, 4.018274, 0.2094092, 6.265474
34086, 36.99894, 4.017902, 0.2092504, 6.265932
34086, 37.01938, 4.01785, 0.2093181, 6.265852
34086, 37.04257, 4.017581, 0.2092247, 6.266021
34086, 37.06558, 4.017076, 0.2090881, 6.266699
34086, 37.09201, 4.017714, 0.2093987, 6.265914
34086, 37.11469, 4.017454, 0.2092264, 6.266078
34086, 37.16322, 4.017297, 0.2091818, 6.266149
34086, 37.18581, 4.017282, 0.2092278, 6.265921
34086, 37.20919, 4.017224, 0.2092036, 6.26592
34086, 37.23574, 4.016832, 0.2092142, 6.266145
34086, 37.25642, 4.016724, 0.209145, 6.266289
34086, 37.29523, 4.016599, 0.2091057, 6.266115
34086, 37.31814, 4.016426, 0.2090075, 6.266229
34086, 37.33887, 4.016228, 0.2090543, 6.266111
34086, 37.36108, 4.016381, 0.2091983, 6.26547
34086, 37.38337, 4.016309, 0.2092612, 6.265363
34086, 37.40563, 4.016368, 0.2093538, 6.264932
34086, 37.42773, 4.015939, 0.209298, 6.265181
34086, 37.49443, 4.015882, 0.2093158, 6.264691
34086, 37.5168, 4.01597, 0.2093958, 6.264332
34086, 37.71954, 4.015702, 0.209752, 6.262892
34086, 37.74109, 4.015934, 0.2099137, 6.262304
34086, 37.78675, 4.015589, 0.2097722, 6.262359
34086, 37.80939, 4.015683, 0.2099196, 6.261992
34086, 37.83219, 4.015608, 0.2098091, 6.261711
34086, 37.85614, 4.01533, 0.2097536, 6.261696
34086, 37.87792, 4.015068, 0.2096355, 6.2619
34086, 37.89893, 4.014895, 0.2097052, 6.261927
34086, 37.92114, 4.01507, 0.209769, 6.262932
34086, 37.94337, 4.016539, 0.2098044, 6.267995
34086, 37.96677, 4.019426, 0.2098725, 6.27696
34086, 37.99008, 4.024559, 0.2101037, 6.288425
34086, 38.01045, 4.031035, 0.2102291, 6.307592
34086, 38.03195, 4.036793, 0.2101924, 6.324924
34086, 38.07645, 4.050171, 0.2104346, 6.366992
34086, 38.12082, 4.062787, 0.210564, 6.409533
34086, 38.14372, 4.069036, 0.2106999, 6.430712
34086, 38.16518, 4.075715, 0.2108702, 6.454179
34086, 38.18752, 4.081383, 0.2109899, 6.474164
34086, 38.23201, 4.081285, 0.2110505, 6.473965
34086, 38.25436, 4.080822, 0.2109181, 6.474399
34086, 38.38928, 4.080096, 0.2109962, 6.474252
34086, 38.41079, 4.080212, 0.2111114, 6.475029
34086, 38.4326, 4.080553, 0.211086, 6.47994
34086, 38.4546, 4.081466, 0.2111603, 6.489296
34086, 38.47675, 4.083271, 0.2112791, 6.502161
34086, 38.49899, 4.085205, 0.2112561, 6.518976
34086, 38.52121, 4.087787, 0.2111658, 6.540312
34086, 38.61004, 4.099448, 0.2111082, 6.628846
34086, 38.63226, 4.102664, 0.2111631, 6.651474
34086, 38.65771, 4.105827, 0.2111613, 6.674438
34086, 38.67597, 4.108829, 0.2111538, 6.695559
34086, 38.6982, 4.112111, 0.2113228, 6.715699
34086, 38.72047, 4.11482, 0.2113114, 6.738075
34086, 38.74256, 4.117902, 0.2112375, 6.76019
34086, 38.76662, 4.121035, 0.2112049, 6.782253
34086, 38.79022, 4.12455, 0.2111781, 6.807913
34086, 38.81136, 4.126285, 0.2107959, 6.829057
34086, 38.83185, 4.128984, 0.2107204, 6.849356
34086, 38.85323, 4.131824, 0.2107525, 6.871644
34086, 38.87664, 4.134528, 0.2107103, 6.894171
34086, 38.89765, 4.134427, 0.2107027, 6.894379
34086, 38.92091, 4.134294, 0.2106816, 6.894378
34086, 38.94206, 4.135001, 0.2110848, 6.893317
34086, 38.96423, 4.134688, 0.2111858, 6.893668
34086, 38.98682, 4.134518, 0.2110901, 6.896464
34086, 39.00866, 4.134543, 0.2110423, 6.903101
34086, 39.03087, 4.134675, 0.2109725, 6.914049
34086, 39.05307, 4.135175, 0.2109648, 6.92902
34086, 39.0759, 4.136292, 0.2109497, 6.947856
34086, 39.09805, 4.137724, 0.210921, 6.969847
34086, 39.11977, 4.139189, 0.2109214, 6.992402
34086, 39.14209, 4.140553, 0.2110021, 7.014365
34086, 39.16603, 4.141985, 0.2109948, 7.036784
34086, 39.18796, 4.144409, 0.2113203, 7.047116
34086, 39.20941, 4.144556, 0.2113972, 7.04676
34086, 39.23167, 4.144941, 0.2116967, 7.046216
34086, 39.25384, 4.145072, 0.2117916, 7.046112
34086, 39.29828, 4.14523, 0.2116385, 7.045985
34086, 39.32055, 4.145606, 0.2116543, 7.048884
34086, 39.34268, 4.145965, 0.2114852, 7.05673
34086, 39.36489, 4.147184, 0.211575, 7.06653
34086, 39.38709, 4.148291, 0.2114168, 7.082074
34086, 39.4093, 4.14937, 0.211307, 7.101918
34086, 39.43153, 4.151053, 0.2112946, 7.124088
34086, 39.45372, 4.151565, 0.2111974, 7.135422
34086, 39.47731, 4.151516, 0.2112253, 7.135501
34086, 39.49817, 4.15133, 0.2112107, 7.135953
34086, 39.52036, 4.152327, 0.2114642, 7.134672
34086, 39.56577, 4.152643, 0.2115397, 7.134195
34086, 39.58736, 4.153142, 0.2117008, 7.133462
34086, 39.69844, 4.152619, 0.2115723, 7.134226
34086, 39.72057, 4.152953, 0.2116664, 7.133879
34086, 39.74284, 4.153093, 0.2116763, 7.134962
34086, 39.76505, 4.153284, 0.2117191, 7.140132
34086, 39.78722, 4.153987, 0.2116214, 7.149374
34086, 39.80945, 4.15521, 0.2116085, 7.162638
34086, 39.83163, 4.156533, 0.2114079, 7.180544
34086, 39.85387, 4.158824, 0.2114324, 7.203515
34086, 39.8785, 4.160871, 0.2114318, 7.224307
34086, 39.8985, 4.163467, 0.2115824, 7.24575
34086, 39.92136, 4.163337, 0.2114757, 7.246027
34086, 39.94289, 4.163357, 0.2114497, 7.246122
34086, 39.96496, 4.163203, 0.2113636, 7.246428
34086, 39.98711, 4.164146, 0.2116774, 7.245423
34086, 40.0316, 4.164365, 0.2117506, 7.245654
34086, 40.05378, 4.16425, 0.2115913, 7.245963
34086, 40.076, 4.164313, 0.2115619, 7.246118
34086, 40.0982, 4.164075, 0.2113717, 7.246542
34086, 40.12224, 4.163752, 0.2112668, 7.247371
34086, 40.14264, 4.163872, 0.2112493, 7.247579
34086, 40.16496, 4.164029, 0.2112416, 7.248927
34086, 40.18773, 4.164623, 0.211246, 7.254429
34086, 40.20947, 4.165622, 0.2113103, 7.263845
34086, 40.23284, 4.167103, 0.2113406, 7.276984
34086, 40.25536, 4.169204, 0.211289, 7.295745
34086, 40.2804, 4.172041, 0.2113894, 7.317935
34086, 40.30635, 4.174701, 0.2114308, 7.343806
34086, 40.33029, 4.175878, 0.2113807, 7.357642
34086, 40.41758, 4.176217, 0.2112399, 7.3587
34086, 40.43904, 4.175751, 0.2110348, 7.359683
34086, 40.50569, 4.175889, 0.2110073, 7.36096
34086, 40.53184, 4.17666, 0.2112797, 7.360482
34086, 40.55463, 4.176315, 0.2111633, 7.361315
34086, 40.59606, 4.176574, 0.2112013, 7.361754
34086, 40.61741, 4.176497, 0.21102, 7.362315
34086, 40.68478, 4.176602, 0.2109286, 7.363442
34086, 40.70622, 4.177012, 0.2109731, 7.363228
34086, 40.72847, 4.177923, 0.2108487, 7.364203
34086, 40.75144, 4.182852, 0.2108461, 7.366956
34086, 40.77498, 4.191768, 0.2108383, 7.371228
34086, 40.79674, 4.204523, 0.2104976, 7.378097
34086, 40.81732, 4.22056, 0.2105175, 7.385101
34086, 40.8395, 4.240252, 0.2106233, 7.393142
34086, 40.86166, 4.260668, 0.210614, 7.401798
34086, 40.88435, 4.28152, 0.2107953, 7.409869
34086, 40.90628, 4.302142, 0.2106788, 7.418613
34086, 40.92882, 4.312466, 0.2106163, 7.423234
34086, 40.95241, 4.312487, 0.210604, 7.423305
34086, 40.97559, 4.312374, 0.2103715, 7.423728
34086, 40.99653, 4.311902, 0.2102377, 7.424643
34086, 41.01911, 4.311852, 0.2101969, 7.424993
34086, 41.04218, 4.311872, 0.2102638, 7.42512
34086, 41.06421, 4.311445, 0.2102614, 7.425865
34086, 41.0867, 4.311389, 0.2102784, 7.426094
34086, 41.11078, 4.311609, 0.210395, 7.42595
34086, 41.13108, 4.311586, 0.2104143, 7.426166
34086, 41.15406, 4.312798, 0.2109104, 7.42485
34086, 41.17625, 4.31261, 0.2106409, 7.424978
34086, 41.19867, 4.31256, 0.210575, 7.425132
34086, 41.24225, 4.312809, 0.2106836, 7.425234
34086, 41.26429, 4.313834, 0.2107918, 7.424019
34086, 41.30874, 4.313489, 0.2106588, 7.424526
34086, 41.35309, 4.313613, 0.2106225, 7.424824
34086, 41.37528, 4.316501, 0.2104742, 7.425937
34086, 41.39754, 4.323725, 0.2104237, 7.427997
34086, 41.42315, 4.336021, 0.2104189, 7.431522
34086, 41.44534, 4.344358, 0.2104498, 7.433711
34086, 41.46266, 4.344304, 0.2105365, 7.433783
34086, 41.48486, 4.345145, 0.2108624, 7.432714
34086, 41.50735, 4.345282, 0.2108993, 7.432373
34086, 41.52979, 4.345591, 0.210879, 7.431882
34086, 41.55159, 4.345416, 0.2106459, 7.432133
34086, 41.59597, 4.345776, 0.2110629, 7.431388
34086, 41.70699, 4.345604, 0.2117647, 7.4312
34086, 41.72927, 4.34527, 0.2117886, 7.431553
34086, 41.75279, 4.345221, 0.2120124, 7.431769
34086, 41.7737, 4.34523, 0.2121391, 7.431661
34086, 41.8183, 4.345016, 0.2121012, 7.431671
34086, 41.84085, 4.344628, 0.2120759, 7.432241
34086, 41.86371, 4.345126, 0.2122467, 7.431531
34086, 41.88634, 4.344815, 0.2119559, 7.431527
34086, 41.90827, 4.344727, 0.2118879, 7.431472
