SubjectID, Time, Event
117794, 726.7709, Start
117794, 726.7709, Disable
117794, 897.691, Enable
118046, 726.7709, Start
118046, 726.7709, Disable
118194, 726.7709, Start
118194, 726.7709, Disable
118194, 897.691, Enable
118354, 726.7709, Start
118354, 726.7709, Disable
118354, 897.691, Enable
120252, 726.7709, Start
120252, 726.7709, Disable
119896, 726.7709, Start
119896, 726.7709, Disable
119962, 726.7709, Start
119962, 726.7709, Disable
119636, 726.7709, Start
119636, 726.7709, Disable
120272, 726.7709, Start
120272, 726.7709, Disable
119490, 726.7709, Start
119490, 726.7709, Disable
119490, 769.0841, Enable
119980, 726.7709, Start
119980, 726.7709, Disable
119980, 788.881, Enable
119980, 883.0245, Disable
119980, 883.0245, Destroy
119968, 726.7709, Start
119968, 726.7709, Disable
119968, 828.4509, Enable
119968, 885.3245, Disable
119968, 885.3245, Destroy
119972, 726.7709, Start
119972, 726.7709, Disable
120066, 726.7709, Start
120066, 726.7709, Disable
120074, 726.7709, Start
120074, 726.7709, Disable
120074, 848.1819, Enable
120074, 887.0467, Disable
120074, 887.0467, Destroy
120522, 726.7709, Start
120522, 726.7709, Disable
119954, 726.7709, Start
119954, 726.7709, Disable
120638, 726.7709, Start
120638, 726.7709, Disable
120714, 726.7709, Start
120714, 726.7709, Disable
120714, 848.1819, Enable
120714, 886.4244, Disable
120714, 886.4244, Destroy
120720, 726.7709, Start
120720, 726.7709, Disable
119892, 726.7709, Start
119892, 726.7709, Disable
120100, 726.7709, Start
120100, 726.7709, Disable
120100, 828.4509, Enable
120100, 886.9467, Disable
120100, 886.9467, Destroy
120098, 726.7709, Start
120098, 726.7709, Disable
119344, 726.7709, Start
119344, 726.7709, Disable
120078, 726.7709, Start
120078, 726.7709, Disable
120086, 726.7709, Start
120086, 726.7709, Disable
120086, 848.1819, Enable
120086, 887.6133, Disable
120086, 887.6133, Destroy
120730, 726.7709, Start
120730, 726.7709, Disable
120724, 726.7709, Start
120724, 726.7709, Disable
120724, 848.1819, Enable
120724, 888.68, Disable
120724, 888.68, Destroy
120696, 726.7709, Start
120696, 726.7709, Disable
120148, 726.7709, Start
120148, 726.7709, Disable
120148, 788.881, Enable
120148, 887.5689, Disable
120148, 887.5689, Destroy
120156, 726.7709, Start
120156, 726.7709, Disable
120248, 726.7709, Start
120248, 726.7709, Disable
120240, 726.7709, Start
120240, 726.7709, Disable
120240, 848.1819, Enable
120240, 888.1578, Disable
120240, 888.1578, Destroy
119500, 726.7709, Start
119500, 726.7709, Disable
120354, 726.7709, Start
120692, 726.7709, Start
