SubjectID, Time, X, Y, Z
39172, 75.22596, -6.744064, -0.04157576, 7.502862
39172, 75.24596, -6.744633, 0.1337584, 7.510536
39172, 75.2668, -6.745255, 0.1338283, 7.511431
39172, 75.28648, -6.745521, 0.1339121, 7.512859
39172, 75.30682, -6.745715, 0.1339917, 7.514928
39172, 75.32612, -6.745837, 0.1339913, 7.517529
39172, 75.34669, -6.745336, 0.1342455, 7.521943
39172, 75.36777, -6.745194, 0.1341525, 7.526682
39172, 75.39017, -6.744475, 0.1340414, 7.53379
39172, 75.41235, -6.743427, 0.1340619, 7.542533
39172, 75.43446, -6.742049, 0.1341362, 7.553448
39172, 75.45667, -6.740436, 0.1341064, 7.566374
39172, 75.47894, -6.73814, 0.1340576, 7.581671
39172, 75.50111, -6.735426, 0.1338947, 7.599429
39172, 75.52617, -6.732468, 0.1338418, 7.619317
39172, 75.54677, -6.728885, 0.1338851, 7.642748
39172, 75.56783, -6.725734, 0.1339779, 7.663527
39172, 75.59003, -6.722081, 0.134222, 7.687027
39172, 75.61305, -6.718637, 0.134253, 7.7091
39172, 75.65661, -6.712021, 0.1345541, 7.752776
39172, 75.67957, -6.708536, 0.1347529, 7.775062
39172, 75.701, -6.70499, 0.1348864, 7.79791
39172, 75.72329, -6.701499, 0.1350657, 7.819192
39172, 75.77049, -6.694185, 0.1352924, 7.866146
39172, 75.79495, -6.690211, 0.1353568, 7.890676
39172, 75.8203, -6.686471, 0.1355275, 7.913391
39172, 75.84186, -6.682775, 0.1354973, 7.936626
39172, 75.86415, -6.679624, 0.1356015, 7.957033
39172, 75.88752, -6.67585, 0.1355378, 7.982061
39172, 75.90987, -6.672678, 0.1355744, 8.003001
39172, 75.93012, -6.669473, 0.1354682, 8.023779
39172, 75.95242, -6.666155, 0.1354192, 8.045834
39172, 75.97686, -6.663473, 0.1355563, 8.064899
39172, 76.00414, -6.659771, 0.1358357, 8.091815
39172, 76.02783, -6.656319, 0.1360418, 8.116434
39172, 76.04959, -6.653144, 0.1364653, 8.139134
39172, 76.07335, -6.650499, 0.1369182, 8.159415
39172, 76.09874, -6.646657, 0.1372057, 8.187891
39172, 76.18253, -6.647144, 0.1375597, 8.186386
39172, 76.28967, -6.648051, 0.1375478, 8.183581
39172, 76.49284, -6.651592, 0.1371413, 8.176378
39172, 76.51855, -6.651574, 0.1371739, 8.175879
39172, 76.53951, -6.651921, 0.1370766, 8.175014
39172, 76.65311, -6.652212, 0.1371044, 8.171287
39172, 76.67332, -6.652129, 0.1370303, 8.170861
39172, 76.69893, -6.652215, 0.1365679, 8.170502
39172, 76.7428, -6.651473, 0.1358525, 8.170482
39172, 76.87313, -6.650539, 0.1338272, 8.170694
39172, 76.89271, -6.650611, 0.1334403, 8.170544
39172, 76.91713, -6.650553, 0.133168, 8.170413
39172, 77.02972, -6.651209, 0.1318885, 8.169752
39172, 77.05096, -6.651116, 0.1315725, 8.169704
39172, 77.16043, -6.651631, 0.1305072, 8.169649
39172, 77.18401, -6.651495, 0.1305141, 8.170086
39172, 77.206, -6.650937, 0.1305611, 8.170803
39172, 77.2291, -6.650961, 0.1305119, 8.171114
39172, 77.25018, -6.65099, 0.1305402, 8.171741
39172, 77.27057, -6.650822, 0.1305466, 8.172465
39172, 77.29151, -6.651174, 0.1303815, 8.172831
39172, 77.31236, -6.650757, 0.1306081, 8.173728
39172, 77.40025, -6.649874, 0.1317911, 8.177485
39172, 77.42246, -6.649349, 0.1322255, 8.178667
39172, 77.51314, -6.648471, 0.1337671, 8.182138
39172, 77.53358, -6.648576, 0.1339756, 8.182676
39172, 77.5788, -6.648112, 0.1346043, 8.183677
39172, 77.64816, -6.647659, 0.1349739, 8.184916
39172, 77.66814, -6.647347, 0.1351264, 8.185442
39172, 77.76062, -6.646645, 0.1355745, 8.187166
39172, 77.78204, -6.645981, 0.1357268, 8.18799
39172, 77.89811, -6.644664, 0.1372429, 8.190686
39172, 77.94519, -6.64339, 0.1382778, 8.192345
39172, 77.98885, -6.642678, 0.1387006, 8.193235
39172, 78.03355, -6.641678, 0.1392065, 8.19445
39172, 78.07776, -6.640677, 0.1393705, 8.195412
39172, 78.0999, -6.639915, 0.1395535, 8.195978
39172, 78.16939, -6.638252, 0.1400452, 8.197796
39172, 78.18883, -6.637354, 0.140326, 8.198518
39172, 78.25745, -6.635942, 0.1406423, 8.199988
39172, 78.32639, -6.634615, 0.1405737, 8.201205
39172, 78.47923, -6.631222, 0.1399386, 8.204802
39172, 78.63596, -6.62826, 0.1401263, 8.209645
39172, 78.68027, -6.627202, 0.1403435, 8.211315
39172, 78.72784, -6.626856, 0.1405346, 8.212594
39172, 78.75117, -6.626671, 0.1408608, 8.212957
39172, 78.7719, -6.626498, 0.1407664, 8.213673
39172, 78.79388, -6.626217, 0.1408013, 8.214272
39172, 78.81747, -6.625763, 0.140997, 8.214806
39172, 78.84024, -6.625625, 0.1410373, 8.215355
39172, 78.90718, -6.625499, 0.1412397, 8.216043
39172, 78.93188, -6.625594, 0.1411625, 8.216003
39172, 79.02327, -6.626617, 0.1400341, 8.214828
39172, 79.09103, -6.627903, 0.1388423, 8.213234
39172, 79.15498, -6.628935, 0.1384732, 8.211357
39172, 79.17918, -6.629548, 0.1380687, 8.210873
39172, 79.20281, -6.62983, 0.1378392, 8.210211
39172, 79.22531, -6.629599, 0.1377928, 8.210007
39172, 79.35818, -6.631433, 0.1371424, 8.206352
39172, 79.38066, -6.631459, 0.1370997, 8.205742
39172, 79.40064, -6.631433, 0.1368746, 8.205107
39172, 79.42157, -6.631695, 0.1365589, 8.204421
39172, 79.44516, -6.63161, 0.1365226, 8.203829
39172, 79.46703, -6.631774, 0.136353, 8.203113
39172, 79.48935, -6.631724, 0.1363376, 8.202535
39172, 79.53486, -6.631922, 0.136252, 8.201094
39172, 79.55769, -6.631887, 0.1363484, 8.200549
39172, 79.58182, -6.631682, 0.1364919, 8.200212
39172, 79.77956, -6.632572, 0.1354741, 8.194714
39172, 79.8516, -6.632895, 0.1355878, 8.193663
39172, 79.87187, -6.633121, 0.1355056, 8.193153
39172, 79.91905, -6.633067, 0.1356137, 8.192692
39172, 80.05458, -6.632177, 0.1373218, 8.193172
39172, 80.1233, -6.632166, 0.1384252, 8.19372
39172, 80.2323, -6.63304, 0.1403747, 8.194806
39172, 80.27667, -6.633224, 0.140751, 8.194891
39172, 80.32111, -6.633678, 0.1408738, 8.19466
39172, 80.34513, -6.6337, 0.140828, 8.194438
39172, 80.3656, -6.633551, 0.140875, 8.194383
39172, 80.3924, -6.633646, 0.1407892, 8.194057
39172, 80.41429, -6.633302, 0.140871, 8.193874
39172, 80.4376, -6.633568, 0.1408717, 8.193441
39172, 80.4661, -6.633289, 0.1408552, 8.193158
39172, 80.48993, -6.632806, 0.1407344, 8.192911
39172, 80.51274, -6.633104, 0.1404938, 8.192575
39172, 80.53423, -6.632751, 0.14051, 8.19231
39172, 80.58694, -6.632045, 0.1404975, 8.192132
39172, 80.7088, -6.631598, 0.140512, 8.191585
39172, 80.73402, -6.631043, 0.1409208, 8.191795
39172, 80.80239, -6.630476, 0.1409623, 8.191611
39172, 80.84952, -6.630481, 0.1409842, 8.19101
39172, 80.8706, -6.630944, 0.1408318, 8.190582
39172, 81.07578, -6.631226, 0.1419625, 8.188533
39172, 81.09558, -6.631439, 0.1419994, 8.188337
39172, 81.12382, -6.631999, 0.1418654, 8.187807
39172, 81.32063, -6.634786, 0.1408392, 8.184921
39172, 81.34289, -6.635502, 0.1405186, 8.184405
39172, 81.36504, -6.635659, 0.1403163, 8.184137
39172, 81.47869, -6.637206, 0.140286, 8.182382
39172, 81.4988, -6.638062, 0.1400453, 8.181714
39172, 81.54279, -6.638493, 0.1401081, 8.181206
39172, 81.56556, -6.638477, 0.1401995, 8.181202
39172, 81.65697, -6.639686, 0.1396624, 8.180084
39172, 81.67941, -6.640471, 0.139248, 8.179439
39172, 81.70447, -6.640463, 0.139179, 8.179268
39172, 81.72488, -6.640767, 0.1391974, 8.178963
39172, 81.74862, -6.640964, 0.1393017, 8.178816
39172, 81.76856, -6.641377, 0.1392251, 8.178542
39172, 81.90016, -6.642208, 0.1394856, 8.177623
39172, 81.92233, -6.642055, 0.139682, 8.177588
39172, 82.08, -6.641546, 0.1389576, 8.175953
39172, 82.12431, -6.641338, 0.1380357, 8.175281
39172, 82.14453, -6.641476, 0.1371495, 8.174925
39172, 82.16685, -6.641609, 0.1359292, 8.174726
39172, 82.18941, -6.642081, 0.1345504, 8.174033
39172, 82.21201, -6.642501, 0.1336063, 8.173147
39172, 82.23461, -6.643167, 0.1337761, 8.171844
39172, 82.25715, -6.643608, 0.1354885, 8.170566
39172, 82.27977, -6.643839, 0.1369263, 8.169918
39172, 82.30231, -6.643846, 0.1374984, 8.170118
39172, 82.32607, -6.643721, 0.1377451, 8.170455
39172, 82.3465, -6.64357, 0.13765, 8.170683
39172, 82.36866, -6.643515, 0.1371857, 8.170712
39172, 82.39085, -6.643464, 0.136513, 8.170464
39172, 82.41309, -6.643765, 0.1355591, 8.169877
39172, 82.43529, -6.644036, 0.1346741, 8.168914
39172, 82.45854, -6.644292, 0.1346651, 8.16764
39172, 82.47971, -6.644599, 0.1364522, 8.166041
39172, 82.50186, -6.644509, 0.1389376, 8.165352
39172, 82.52465, -6.644312, 0.1401322, 8.165178
39172, 82.54633, -6.644214, 0.1405747, 8.16578
39172, 82.56855, -6.643947, 0.1404544, 8.166387
39172, 82.59073, -6.643813, 0.1399134, 8.166712
39172, 82.61298, -6.643945, 0.139102, 8.166577
39172, 82.63523, -6.644404, 0.1382012, 8.166149
39172, 82.65739, -6.644777, 0.1372165, 8.165471
39172, 82.68227, -6.64524, 0.1364395, 8.164463
39172, 82.70248, -6.64563, 0.1364337, 8.163543
39172, 82.72414, -6.64591, 0.1370778, 8.162746
39172, 82.74834, -6.646027, 0.1375861, 8.162216
39172, 82.76958, -6.646228, 0.1378743, 8.162528
39172, 82.79073, -6.646288, 0.1377714, 8.162939
39172, 82.87967, -6.647141, 0.1370314, 8.16382
39172, 82.96852, -6.648005, 0.1370348, 8.16342
39172, 82.99166, -6.647956, 0.1370599, 8.163767
39172, 83.01608, -6.648163, 0.1368629, 8.163867
39172, 83.07681, -6.64862, 0.1362557, 8.164975
39172, 83.36835, -6.651173, 0.1374148, 8.171594
39172, 83.39095, -6.651084, 0.1375326, 8.171994
39172, 83.41229, -6.651239, 0.1376069, 8.172194
39172, 83.43323, -6.651281, 0.1375785, 8.172682
39172, 83.45576, -6.651872, 0.1374481, 8.172604
39172, 83.50233, -6.651453, 0.1375106, 8.172998
39172, 83.52341, -6.651398, 0.1374823, 8.173403
39172, 83.54482, -6.651039, 0.137587, 8.173441
39172, 83.5665, -6.650904, 0.1375767, 8.173509
39172, 83.61092, -6.650601, 0.1371524, 8.173331
39172, 83.63315, -6.651287, 0.1369413, 8.172706
39172, 83.65532, -6.650786, 0.136716, 8.172896
39172, 83.6776, -6.650256, 0.1367612, 8.17267
39172, 83.69976, -6.650017, 0.1368663, 8.172363
39172, 83.72199, -6.649756, 0.1368124, 8.172219
39172, 83.74516, -6.649438, 0.1368604, 8.171824
39172, 83.76643, -6.649297, 0.1370162, 8.171245
39172, 83.78866, -6.649554, 0.1368949, 8.170964
39172, 83.83317, -6.648712, 0.1364673, 8.170643
39172, 83.9008, -6.647693, 0.1364594, 8.169792
39172, 83.92329, -6.647575, 0.1365264, 8.169404
39172, 83.9457, -6.647676, 0.136453, 8.169016
39172, 83.96826, -6.647411, 0.1364003, 8.168654
39172, 84.03551, -6.647387, 0.1365912, 8.167558
39172, 84.08033, -6.647316, 0.1365553, 8.167216
39172, 84.10223, -6.647923, 0.1365123, 8.166516
39172, 84.23547, -6.648376, 0.1369654, 8.165673
39172, 84.30397, -6.649122, 0.1369453, 8.165803
39172, 84.34508, -6.65015, 0.1367212, 8.165987
39172, 84.38956, -6.650705, 0.136775, 8.16648
39172, 84.4117, -6.6512, 0.1369019, 8.166589
39172, 84.47829, -6.652628, 0.137748, 8.167589
39172, 84.50059, -6.65318, 0.137994, 8.168398
39172, 84.52276, -6.654097, 0.1384157, 8.168582
39172, 84.6116, -6.657755, 0.1399187, 8.170972
39172, 84.63387, -6.658604, 0.1402271, 8.171868
39172, 84.65616, -6.659629, 0.1403454, 8.17237
39172, 84.6806, -6.660341, 0.1404395, 8.172997
39172, 84.72296, -6.661798, 0.1404378, 8.173619
39172, 84.74587, -6.662134, 0.1403185, 8.174157
39172, 84.79005, -6.662512, 0.1402624, 8.174756
39172, 84.81284, -6.662823, 0.140225, 8.174772
39172, 84.94408, -6.662647, 0.1399712, 8.17554
39172, 84.98853, -6.662126, 0.1399693, 8.17563
39172, 85.07736, -6.65997, 0.1389226, 8.175532
39172, 85.09962, -6.659591, 0.1385061, 8.175056
39172, 85.12177, -6.658644, 0.1379094, 8.174721
39172, 85.14404, -6.657253, 0.1375569, 8.17463
39172, 85.16618, -6.656057, 0.1370094, 8.174332
39172, 85.21267, -6.653705, 0.136115, 8.173883
39172, 85.27802, -6.649853, 0.1345213, 8.173019
39172, 85.30057, -6.648565, 0.1343067, 8.172875
39172, 85.32623, -6.647437, 0.1338291, 8.172684
39172, 85.34634, -6.646276, 0.1334674, 8.172455
39172, 85.36695, -6.644879, 0.1333674, 8.172455
39172, 85.3891, -6.64393, 0.1330061, 8.172425
39172, 85.41415, -6.643069, 0.1328498, 8.172347
39172, 85.47792, -6.640934, 0.1319855, 8.172352
39172, 85.49676, -6.639852, 0.1320333, 8.17279
39172, 85.54101, -6.639241, 0.1316668, 8.172802
39172, 85.56313, -6.639132, 0.1316597, 8.17285
39172, 85.58531, -6.639168, 0.1315833, 8.172652
39172, 85.87577, -6.641451, 0.1313958, 8.172616
39172, 85.8985, -6.64179, 0.1312636, 8.172464
39172, 85.96721, -6.642266, 0.1312883, 8.172417
39172, 85.98974, -6.642264, 0.1314326, 8.172636
39172, 86.03397, -6.64268, 0.1314755, 8.172394
39172, 86.05618, -6.642704, 0.1315308, 8.172476
39172, 86.10065, -6.643159, 0.1316822, 8.172391
39172, 86.14629, -6.643058, 0.1319855, 8.172745
39172, 86.39288, -6.645524, 0.1317019, 8.173862
39172, 86.41736, -6.64567, 0.1319168, 8.174205
39172, 86.49896, -6.646635, 0.1319295, 8.174819
39172, 86.51867, -6.646752, 0.132157, 8.175097
39172, 86.54196, -6.646884, 0.1321985, 8.175275
39172, 86.56265, -6.646808, 0.132301, 8.175664
39172, 86.6071, -6.647104, 0.1324686, 8.17606
39172, 86.6515, -6.647224, 0.1331959, 8.17602
39172, 86.69595, -6.647326, 0.1347207, 8.175739
39172, 86.76256, -6.64687, 0.1379399, 8.175834
39172, 86.78477, -6.646686, 0.1386753, 8.175701
39172, 86.80698, -6.646434, 0.1391063, 8.17579
39172, 86.82914, -6.646197, 0.1390553, 8.175975
39172, 86.85252, -6.645947, 0.1386451, 8.175979
39172, 86.87377, -6.645657, 0.1379732, 8.176037
39172, 86.92133, -6.644791, 0.1356789, 8.176444
39172, 86.9652, -6.644382, 0.13289, 8.176163
39172, 86.98798, -6.644222, 0.1317114, 8.175897
39172, 87.01108, -6.643859, 0.13116, 8.175563
39172, 87.03293, -6.643837, 0.1310959, 8.17485
39172, 87.05512, -6.643708, 0.1317421, 8.174165
39172, 87.07735, -6.643525, 0.1327836, 8.173764
39172, 87.12179, -6.642986, 0.1349012, 8.17352
39172, 87.14696, -6.64273, 0.1360922, 8.173659
39172, 87.16672, -6.642321, 0.1370388, 8.173886
39172, 87.18722, -6.641807, 0.1375655, 8.174361
39172, 87.20928, -6.641493, 0.1376793, 8.174727
39172, 87.2315, -6.64145, 0.1374967, 8.175107
39172, 87.25431, -6.641181, 0.1367822, 8.175484
39172, 87.27679, -6.640999, 0.1359799, 8.175592
39172, 87.2981, -6.640984, 0.1350448, 8.175391
39172, 87.32035, -6.640935, 0.1335957, 8.175305
39172, 87.34479, -6.641082, 0.1319398, 8.175073
39172, 87.36476, -6.641123, 0.1309323, 8.174738
39172, 87.38693, -6.641229, 0.1307792, 8.174291
39172, 87.40916, -6.641405, 0.1314928, 8.173805
39172, 87.4333, -6.64156, 0.1327218, 8.173611
39172, 87.45451, -6.641794, 0.1340253, 8.173934
39172, 87.47582, -6.641998, 0.1351833, 8.174655
39172, 87.49821, -6.642189, 0.1359575, 8.175552
39172, 87.52077, -6.642279, 0.1364655, 8.176556
39172, 87.5433, -6.64225, 0.1364146, 8.177425
39172, 87.56586, -6.642144, 0.1362322, 8.178041
39172, 87.59013, -6.641991, 0.1354896, 8.178599
39172, 87.61128, -6.642035, 0.1343395, 8.178728
39172, 87.6325, -6.642012, 0.1328219, 8.178537
39172, 87.65556, -6.64203, 0.1310726, 8.177967
39172, 87.67699, -6.641876, 0.1296, 8.177264
39172, 87.69915, -6.641749, 0.1290748, 8.176521
39172, 87.72324, -6.641568, 0.1299218, 8.175818
39172, 87.74566, -6.641551, 0.131529, 8.175382
39172, 87.76534, -6.64146, 0.1330545, 8.175665
39172, 87.78761, -6.641225, 0.1342247, 8.176487
39172, 87.80986, -6.640616, 0.1352241, 8.177849
39172, 87.83202, -6.640281, 0.1357886, 8.178825
39172, 87.85417, -6.639973, 0.1359035, 8.179608
39172, 87.8764, -6.639755, 0.1356021, 8.180107
39172, 87.8986, -6.63951, 0.1351207, 8.180072
39172, 87.92082, -6.639492, 0.1341608, 8.179888
39172, 87.94303, -6.639389, 0.1329753, 8.179343
39172, 87.98748, -6.639725, 0.1299296, 8.177307
39172, 88.00972, -6.639881, 0.1287238, 8.176166
39172, 88.03187, -6.639774, 0.1284872, 8.175503
39172, 88.05408, -6.63984, 0.12918, 8.174964
39172, 88.07756, -6.639467, 0.1303116, 8.175325
39172, 88.12115, -6.639262, 0.1324636, 8.176357
39172, 88.16622, -6.638991, 0.1338168, 8.177544
39172, 88.18849, -6.638833, 0.1341087, 8.178165
39172, 88.21189, -6.638779, 0.1340829, 8.178491
39172, 88.25542, -6.638692, 0.1332445, 8.178411
39172, 88.27873, -6.63879, 0.1324503, 8.177986
39172, 88.2995, -6.638904, 0.131484, 8.17741
39172, 88.34386, -6.638981, 0.1297651, 8.176476
39172, 88.36612, -6.638865, 0.1296583, 8.176371
39172, 88.41393, -6.638936, 0.130672, 8.176131
39172, 88.45412, -6.638862, 0.1320286, 8.176529
39172, 88.4763, -6.638701, 0.1325643, 8.176879
39172, 88.52072, -6.638813, 0.1330402, 8.176973
39172, 88.54294, -6.638872, 0.1329803, 8.17686
39172, 88.56509, -6.638936, 0.1327032, 8.176557
39172, 88.58736, -6.638919, 0.1321232, 8.176222
39172, 88.60954, -6.639108, 0.1315994, 8.175718
39172, 88.63171, -6.639662, 0.1310161, 8.174919
39172, 88.65404, -6.639781, 0.1307212, 8.174357
39172, 88.6774, -6.639836, 0.1306284, 8.17391
39172, 88.72064, -6.639617, 0.1305468, 8.173412
39172, 88.92199, -6.640116, 0.1307111, 8.17241
39172, 89.00834, -6.640371, 0.1301051, 8.171556
39172, 89.03032, -6.640125, 0.1301789, 8.171637
39172, 89.07669, -6.640539, 0.1297818, 8.170981
39172, 89.23029, -6.640924, 0.1301974, 8.169522
39172, 89.25253, -6.64119, 0.1302591, 8.169199
39172, 89.27505, -6.641944, 0.1300775, 8.16859
39172, 89.29759, -6.641654, 0.1302868, 8.168583
39172, 89.32018, -6.641475, 0.1302774, 8.168293
39172, 89.41002, -6.641927, 0.1300825, 8.167022
39172, 89.45447, -6.641844, 0.1299036, 8.16645
39172, 89.49931, -6.642307, 0.1299063, 8.165722
39172, 89.52159, -6.641913, 0.1300289, 8.165885
39172, 89.65517, -6.641918, 0.1296419, 8.164004
39172, 89.67746, -6.641791, 0.1296151, 8.163935
39172, 89.70282, -6.641959, 0.1296031, 8.163558
39172, 89.72729, -6.642035, 0.1297028, 8.163399
39172, 89.77232, -6.642436, 0.1295178, 8.162919
39172, 89.79563, -6.642568, 0.1295575, 8.162904
39172, 89.8389, -6.643192, 0.1295516, 8.162449
39172, 89.88333, -6.643351, 0.1295158, 8.162336
39172, 89.9944, -6.644467, 0.1294171, 8.162008
39172, 90.01885, -6.644397, 0.1294825, 8.162299
39172, 90.03883, -6.644469, 0.1294865, 8.162329
39172, 90.15074, -6.645542, 0.1294154, 8.16264
39172, 90.17348, -6.645515, 0.1295888, 8.162994
