SubjectID, Time, X, Y, Z
39172, 75.22596, 357.3461, 177.0221, 358.3253
39172, 75.24596, 357.1075, 177.4653, 358.8082
39172, 75.2668, 357.0326, 177.4981, 358.8498
39172, 75.28648, 356.9806, 177.5333, 358.8914
39172, 75.30682, 356.9366, 177.5764, 358.9066
39172, 75.32612, 356.9127, 177.6024, 358.9202
39172, 75.34669, 356.9112, 177.6457, 358.9834
39172, 75.36777, 356.92, 177.6874, 359.0179
39172, 75.39017, 356.9036, 177.7276, 359.0345
39172, 75.41235, 356.9178, 177.7645, 359.0615
39172, 75.43446, 356.8903, 177.8121, 359.0915
39172, 75.45667, 356.8817, 177.8136, 359.0966
39172, 75.47894, 356.9333, 177.8303, 359.1258
39172, 75.50111, 356.933, 177.8726, 359.1443
39172, 75.52617, 356.9245, 177.8887, 359.1545
39172, 75.54677, 356.9122, 177.9068, 359.1572
39172, 75.56783, 356.9024, 177.9218, 359.1724
39172, 75.59003, 356.8791, 177.912, 359.216
39172, 75.61305, 356.8114, 177.9177, 359.2153
39172, 75.63441, 356.7208, 177.9435, 359.2291
39172, 75.65661, 356.619, 177.9622, 359.2655
39172, 75.67957, 356.498, 177.9639, 359.295
39172, 75.701, 356.3554, 177.974, 359.2948
39172, 75.72329, 356.2303, 177.958, 359.3106
39172, 75.74655, 356.123, 177.9533, 359.3324
39172, 75.77049, 356.0443, 177.9365, 359.3606
39172, 75.79495, 355.9744, 177.9262, 359.3823
39172, 75.8203, 355.9408, 177.8896, 359.3874
39172, 75.84186, 355.8861, 177.8566, 359.3655
39172, 75.86415, 355.8218, 177.7733, 359.3602
39172, 75.88752, 355.7852, 177.7001, 359.3379
39172, 75.90987, 355.7455, 177.6253, 359.291
39172, 75.93012, 355.7502, 177.5495, 359.238
39172, 75.95242, 355.7636, 177.4928, 359.1768
39172, 75.97686, 355.7078, 177.4576, 359.1239
39172, 76.00414, 355.5125, 177.4277, 359.0807
39172, 76.02783, 355.2951, 177.4462, 359.063
39172, 76.04959, 354.9185, 177.4038, 359.0711
39172, 76.07335, 354.5235, 177.3284, 359.0338
39172, 76.09874, 354.2662, 177.2652, 358.9375
39172, 76.11992, 354.1296, 177.2346, 358.7936
39172, 76.14258, 354.017, 177.1866, 358.6637
39172, 76.16171, 353.9659, 177.1454, 358.558
39172, 76.18253, 353.9512, 177.107, 358.474
39172, 76.20422, 353.9435, 177.1013, 358.403
39172, 76.22384, 353.888, 177.0698, 358.3718
39172, 76.24525, 353.8607, 177.0695, 358.3769
39172, 76.26746, 353.8416, 177.079, 358.4117
39172, 76.28967, 353.875, 177.106, 358.449
