SubjectID, Time, X, Y, Z
56974, 165.5159, 114.4376, -0.263873, -60.43356
56974, 165.618, 114.4364, -0.2638661, -60.45239
56974, 165.7289, 114.4343, -0.263854, -60.4791
56974, 165.8289, 114.4321, -0.2638416, -60.50676
56974, 165.9289, 114.4297, -0.2638278, -60.53751
56974, 166.0289, 114.427, -0.2638127, -60.57104
56974, 166.1401, 114.4238, -0.2637945, -60.61127
56974, 166.2411, 114.4207, -0.263777, -60.65025
56974, 166.3412, 114.4173, -0.2637575, -60.6935
56974, 166.4413, 114.4134, -0.2637357, -60.74211
56974, 166.5414, 114.4092, -0.2637115, -60.79568
56974, 166.6522, 114.4041, -0.2636825, -60.86006
56974, 166.7633, 114.3986, -0.2636513, -60.92951
56974, 166.8743, 114.3927, -0.263618, -61.0033
56974, 166.9745, 114.3872, -0.2635865, -61.07321
56974, 167.0847, 114.3808, -0.2635504, -61.15343
56974, 167.1953, 114.3742, -0.2635127, -61.23709
56974, 167.3064, 114.3673, -0.2634735, -61.32394
56974, 167.4073, 114.3609, -0.2634372, -61.40493
56974, 167.5075, 114.3544, -0.2634, -61.48734
56974, 167.618, 114.347, -0.2633582, -61.58005
56974, 167.7289, 114.3395, -0.2633154, -61.67506
56974, 167.8402, 114.3318, -0.2632718, -61.77197
56974, 167.951, 114.324, -0.2632277, -61.87
56974, 168.0515, 114.3169, -0.2631872, -61.96
56974, 168.2735, 114.3008, -0.263096, -62.1622
56974, 168.4849, 114.2853, -0.2630076, -62.35827
56974, 168.8855, 114.2552, -0.262837, -62.73709
56974, 169.609, 114.1997, -0.2625217, -63.43697
56974, 171.5493, 114.0477, -0.2621514, -65.35411
56974, 172.2727, 113.9906, -0.2656527, -66.07375
56974, 172.4729, 113.9748, -0.2637169, -66.27304
56974, 172.5838, 113.9661, -0.2656527, -66.38353
56974, 179.0021, 113.4589, -0.2656527, -72.7806
56974, 179.1131, 113.4503, -0.2656527, -72.88943
56974, 179.2225, 113.4426, -0.2656527, -72.98659
56974, 179.3337, 113.4356, -0.2656527, -73.07493
56974, 179.4339, 113.4299, -0.2656527, -73.14648
56974, 179.5448, 113.4242, -0.2656527, -73.21774
56974, 179.6466, 113.4195, -0.2656527, -73.27655
56974, 179.7574, 113.415, -0.2656527, -73.33402
56974, 179.8686, 113.4109, -0.2656527, -73.38561
56974, 179.9794, 113.4072, -0.2656527, -73.43156
56974, 180.0794, 113.4043, -0.2656527, -73.4689
56974, 180.1905, 113.4013, -0.2656527, -73.50617
56974, 180.2905, 113.3989, -0.2656527, -73.53638
56974, 180.4007, 113.3966, -0.2656527, -73.5663
56974, 180.5009, 113.3946, -0.2656527, -73.59078
56974, 180.6118, 113.3927, -0.2656527, -73.61516
56974, 180.7233, 113.391, -0.2656527, -73.63705
56974, 180.8236, 113.3896, -0.2656527, -73.65476
56974, 180.9237, 113.3883, -0.2656527, -73.67075
56974, 181.0342, 113.387, -0.2656527, -73.68663
56974, 181.1342, 113.386, -0.2656527, -73.69955
56974, 181.245, 113.385, -0.2656527, -73.71243
56974, 181.345, 113.3842, -0.2656527, -73.72291
56974, 181.5562, 113.3827, -0.2656527, -73.74181
56974, 181.7565, 113.3815, -0.2656527, -73.75638
56974, 182.0893, 113.38, -0.2656527, -73.77495
56974, 182.622, 113.3785, -0.2656527, -73.79433
56974, 183.0445, 113.3778, -0.2656527, -73.80379
56974, 183.1447, 113.3774, -0.2656527, -73.80807
56974, 183.2449, 113.3764, -0.2656527, -73.82043
56974, 183.3556, 113.3748, -0.2656527, -73.84153
56974, 183.4666, 113.3724, -0.2656527, -73.8717
56974, 183.5769, 113.3693, -0.2656527, -73.91008
56974, 183.6879, 113.3657, -0.2656527, -73.95632
56974, 183.7991, 113.3615, -0.2656527, -74.0085
56974, 183.8992, 113.3574, -0.2656527, -74.06056
56974, 183.9999, 113.3529, -0.2656527, -74.11758
56974, 184.0999, 113.3481, -0.2656527, -74.17833
56974, 184.2106, 113.3424, -0.2656527, -74.24993
56974, 184.3215, 113.3364, -0.2656527, -74.32572
56974, 184.4327, 113.3301, -0.2656527, -74.4054
56974, 184.5437, 113.3235, -0.2656527, -74.48822
56974, 184.6442, 113.3174, -0.2656527, -74.56577
56974, 184.7553, 113.3104, -0.2656527, -74.65397
56974, 184.8555, 113.3039, -0.2656527, -74.73563
56974, 184.9667, 113.2965, -0.2656527, -74.82825
56974, 185.0777, 113.289, -0.2656527, -74.9226
56974, 185.1865, 113.2816, -0.2656527, -75.01634
56974, 185.2977, 113.2739, -0.2656527, -75.11325
56974, 185.4085, 113.2662, -0.2656527, -75.2113
56974, 185.6099, 113.2518, -0.2656527, -75.39275
56974, 186.0323, 113.2208, -0.2656527, -75.78259
56974, 186.3656, 113.1959, -0.2656527, -76.09633
56974, 186.888, 113.1561, -0.2656527, -76.59808
56974, 187.11, 113.139, -0.2656527, -76.81385
56974, 187.2213, 113.131, -0.2656527, -76.91491
56974, 187.3324, 113.1237, -0.2656527, -77.00707
56974, 187.4432, 113.1171, -0.2656527, -77.09064
56974, 187.5432, 113.1117, -0.2656527, -77.15849
56974, 187.6542, 113.1064, -0.2656527, -77.22621
56974, 187.7653, 113.1015, -0.2656527, -77.28722
56974, 187.8757, 113.0971, -0.2656527, -77.34222
56974, 187.9867, 113.0932, -0.2656527, -77.3917
56974, 188.098, 113.0897, -0.2656527, -77.43611
