SubjectID, Time, X, Y, Z
34086, 35.19109, 4.001474, 0.3438659, 4.088552
34086, 35.21109, 4.004483, 0.1474949, 4.087694
34086, 35.23682, 4.004794, 0.1476432, 4.087607
34086, 35.2777, 4.004512, 0.1478463, 4.088466
34086, 35.3261, 4.003183, 0.1480561, 4.089999
34086, 35.34295, 4.002071, 0.1481124, 4.091277
34086, 35.36409, 4.001182, 0.1480531, 4.092185
34086, 35.38629, 3.999949, 0.147978, 4.093352
34086, 35.4066, 3.998499, 0.1483393, 4.094842
34086, 35.42884, 3.996387, 0.1484927, 4.096622
34086, 35.451, 3.994124, 0.1485963, 4.098753
34086, 35.47411, 3.991417, 0.1486337, 4.101226
34086, 35.49542, 3.988664, 0.1488614, 4.103868
34086, 35.51936, 3.98568, 0.149119, 4.106475
34086, 35.53994, 3.982051, 0.1492506, 4.109706
34086, 35.56204, 3.978966, 0.1494397, 4.112508
34086, 35.58421, 3.97524, 0.1495192, 4.115916
34086, 35.62866, 3.967106, 0.149625, 4.123507
34086, 35.65081, 3.962483, 0.1496128, 4.127839
34086, 35.69665, 3.953129, 0.1496977, 4.13633
34086, 35.71746, 3.947925, 0.14964, 4.140966
34086, 35.74432, 3.942099, 0.1495306, 4.146102
34086, 35.77002, 3.935078, 0.1493959, 4.152247
34086, 35.78952, 3.928867, 0.1493771, 4.157431
34086, 35.80948, 3.922714, 0.149193, 4.162568
34086, 35.83121, 3.916598, 0.1490081, 4.167525
34086, 35.85076, 3.910362, 0.1490133, 4.172417
34086, 35.87317, 3.902113, 0.1490721, 4.178453
34086, 35.89524, 3.893829, 0.1488456, 4.184816
34086, 35.91739, 3.884973, 0.1487265, 4.190796
34086, 35.93954, 3.875604, 0.148897, 4.196283
34086, 35.96185, 3.866208, 0.1487645, 4.201719
34086, 35.98457, 3.85614, 0.148684, 4.207224
34086, 36.00621, 3.845645, 0.148578, 4.212664
34086, 36.02976, 3.835032, 0.1480553, 4.217666
34086, 36.05061, 3.822721, 0.1479153, 4.222933
34086, 36.07286, 3.812118, 0.1479993, 4.227341
34086, 36.09504, 3.799893, 0.147797, 4.232232
34086, 36.11728, 3.78741, 0.1474429, 4.237467
34086, 36.13949, 3.775115, 0.1471358, 4.241129
34086, 36.16224, 3.762141, 0.1470357, 4.245612
34086, 36.18572, 3.748641, 0.1468665, 4.249905
34086, 36.20771, 3.734345, 0.1467553, 4.254423
34086, 36.2317, 3.720344, 0.1463623, 4.258856
34086, 36.25322, 3.705379, 0.1464848, 4.263649
34086, 36.27586, 3.690425, 0.1462954, 4.267391
34086, 36.29866, 3.675252, 0.1463365, 4.271141
34086, 36.3213, 3.659666, 0.1462322, 4.275255
34086, 36.34404, 3.643851, 0.1460499, 4.278918
34086, 36.38874, 3.611473, 0.1460146, 4.286284
34086, 36.41122, 3.594907, 0.1460185, 4.290054
34086, 36.43322, 3.57701, 0.1459342, 4.293958
34086, 36.45705, 3.561147, 0.1457525, 4.297478
34086, 36.47831, 3.541752, 0.1455484, 4.301472
