SubjectID, Time, X, Y, Z
34086, 35.19109, 352.3301, 327.4993, 357.7234
34086, 35.21109, 351.1017, 327.8678, 357.3942
34086, 35.23682, 350.9969, 327.9199, 357.3659
34086, 35.25483, 350.9007, 327.9839, 357.3125
34086, 35.2777, 350.8017, 328.0145, 357.2697
34086, 35.30067, 350.7012, 328.0599, 357.2253
34086, 35.3261, 350.6068, 328.0568, 357.2086
34086, 35.34295, 350.5303, 328.0638, 357.1641
34086, 35.36409, 350.4923, 328.0418, 357.1482
34086, 35.38629, 350.4864, 328.0503, 357.1512
34086, 35.4066, 350.4013, 328.0484, 357.1229
34086, 35.42884, 350.2977, 327.9891, 357.1518
34086, 35.451, 350.1718, 327.9232, 357.2032
34086, 35.47411, 350.0578, 327.8206, 357.2686
34086, 35.49542, 349.9709, 327.7232, 357.3364
34086, 35.51936, 349.8692, 327.6344, 357.3676
34086, 35.53994, 349.7509, 327.5436, 357.3937
34086, 35.56204, 349.6504, 327.4582, 357.421
34086, 35.58421, 349.5505, 327.361, 357.481
34086, 35.60641, 349.4938, 327.2619, 357.5482
34086, 35.62866, 349.463, 327.1845, 357.5946
34086, 35.65081, 349.429, 327.0661, 357.6396
34086, 35.67302, 349.3818, 326.9108, 357.7003
34086, 35.69665, 349.3511, 326.7202, 357.734
34086, 35.71746, 349.3658, 326.5263, 357.726
34086, 35.74432, 349.4392, 326.3055, 357.683
34086, 35.77002, 349.5381, 326.0431, 357.6042
34086, 35.78952, 349.6013, 325.7065, 357.5783
34086, 35.80948, 349.6658, 325.282, 357.5901
34086, 35.83121, 349.7538, 324.7469, 357.5938
34086, 35.85076, 349.8184, 324.0622, 357.6063
34086, 35.87317, 349.8922, 323.1945, 357.6519
34086, 35.89524, 350.0464, 322.2278, 357.6688
34086, 35.91739, 350.1259, 321.0379, 357.7769
34086, 35.93954, 350.2145, 319.6591, 357.8832
34086, 35.96185, 350.3102, 318.1558, 357.9947
34086, 35.98457, 350.395, 316.5557, 358.1222
34086, 36.00621, 350.5359, 314.915, 358.2376
34086, 36.02976, 350.7001, 313.3087, 358.3063
34086, 36.05061, 350.8656, 311.6453, 358.3468
34086, 36.07286, 351.1019, 310.0041, 358.2951
34086, 36.09504, 351.3016, 308.4286, 358.2094
34086, 36.11728, 351.5314, 306.8813, 358.0806
34086, 36.13949, 351.6884, 305.3711, 358.0791
