SubjectID, Time, Name, Contents
-1, 172.7017, SceneStatus, "Player,Scene,2,Start"
-1, 172.7017, VRPos, "Player,(-6.64, -0.38, 7.50)"
-1, 172.7017, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7017, TouchPad, "Player,(0.00, 0.00)"
-1, 172.7017, CurrentFloor, "Player,1"
-1, 172.7017, ElvAgentNum, "Player,0"
-1, 172.7017, TouchPad, "Player,(0.00, 0.00)"
-1, 172.7017, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.7017, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7017, CurrentFloor, "Player,1"
-1, 172.7017, ElvAgentNum, "Player,0"
-1, 172.7217, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.7217, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7217, CurrentFloor, "Player,1"
-1, 172.7217, ElvAgentNum, "Player,0"
-1, 172.7324, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.7324, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7324, CurrentFloor, "Player,1"
-1, 172.7324, ElvAgentNum, "Player,0"
-1, 172.7436, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.7436, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7436, CurrentFloor, "Player,1"
-1, 172.7436, ElvAgentNum, "Player,0"
-1, 172.754, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.754, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.754, CurrentFloor, "Player,1"
-1, 172.754, ElvAgentNum, "Player,0"
-1, 172.7651, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.7651, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7651, CurrentFloor, "Player,1"
-1, 172.7651, ElvAgentNum, "Player,0"
-1, 172.7761, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.7761, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7761, CurrentFloor, "Player,1"
-1, 172.7761, ElvAgentNum, "Player,0"
-1, 172.7873, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.7873, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7873, CurrentFloor, "Player,1"
-1, 172.7873, ElvAgentNum, "Player,0"
-1, 172.7984, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.7984, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.7984, CurrentFloor, "Player,1"
-1, 172.7984, ElvAgentNum, "Player,0"
-1, 172.8094, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.8094, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.8094, CurrentFloor, "Player,1"
-1, 172.8094, ElvAgentNum, "Player,0"
-1, 172.8206, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.8206, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.8206, CurrentFloor, "Player,1"
-1, 172.8206, ElvAgentNum, "Player,0"
-1, 172.8317, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.8317, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.8317, CurrentFloor, "Player,1"
-1, 172.8317, ElvAgentNum, "Player,0"
-1, 172.8428, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.8428, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.8428, CurrentFloor, "Player,1"
-1, 172.8428, ElvAgentNum, "Player,0"
-1, 172.8539, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.8539, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.8539, CurrentFloor, "Player,1"
-1, 172.8539, ElvAgentNum, "Player,0"
-1, 172.866, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.866, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.866, CurrentFloor, "Player,1"
-1, 172.866, ElvAgentNum, "Player,0"
-1, 172.8761, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.8761, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.8761, CurrentFloor, "Player,1"
-1, 172.8761, ElvAgentNum, "Player,0"
-1, 172.8872, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.8872, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.8872, CurrentFloor, "Player,1"
-1, 172.8872, ElvAgentNum, "Player,0"
-1, 172.8983, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.8983, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.8983, CurrentFloor, "Player,1"
-1, 172.8983, ElvAgentNum, "Player,0"
-1, 172.9094, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9094, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9094, CurrentFloor, "Player,1"
-1, 172.9094, ElvAgentNum, "Player,0"
-1, 172.9205, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9205, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9205, CurrentFloor, "Player,1"
-1, 172.9205, ElvAgentNum, "Player,0"
-1, 172.9317, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9317, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9317, CurrentFloor, "Player,1"
-1, 172.9317, ElvAgentNum, "Player,0"
-1, 172.9427, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9427, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9427, CurrentFloor, "Player,1"
-1, 172.9427, ElvAgentNum, "Player,0"
-1, 172.9538, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9538, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9538, CurrentFloor, "Player,1"
-1, 172.9538, ElvAgentNum, "Player,0"
-1, 172.9668, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9668, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9668, CurrentFloor, "Player,1"
-1, 172.9668, ElvAgentNum, "Player,0"
-1, 172.9765, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9765, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9765, CurrentFloor, "Player,1"
-1, 172.9765, ElvAgentNum, "Player,0"
-1, 172.9871, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9871, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9871, CurrentFloor, "Player,1"
-1, 172.9871, ElvAgentNum, "Player,0"
-1, 172.9995, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 172.9995, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 172.9995, CurrentFloor, "Player,1"
-1, 172.9995, ElvAgentNum, "Player,0"
-1, 173.0093, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 173.0093, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 173.0093, CurrentFloor, "Player,1"
-1, 173.0093, ElvAgentNum, "Player,0"
-1, 173.0205, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 173.0205, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 173.0205, CurrentFloor, "Player,1"
-1, 173.0205, ElvAgentNum, "Player,0"
-1, 173.0317, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 173.0317, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 173.0317, CurrentFloor, "Player,1"
-1, 173.0317, ElvAgentNum, "Player,0"
-1, 173.0427, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 173.0427, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 173.0427, CurrentFloor, "Player,1"
-1, 173.0427, ElvAgentNum, "Player,0"
-1, 173.0541, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 173.0541, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 173.0541, CurrentFloor, "Player,1"
-1, 173.0541, ElvAgentNum, "Player,0"
-1, 173.0672, VRPos, "Player,(-6.64, -0.20, 7.50)"
-1, 173.0672, VRRot, "Player,(0.00000, -0.70711, 0.00000, 0.70711)"
-1, 173.0672, CurrentFloor, "Player,1"
