SubjectID, Time, X, Y, Z
39172, 172.7017, 357.2284, 272.637, 355.7775
39172, 172.7217, 356.6016, 272.5059, 356.143
39172, 172.7436, 356.5766, 272.4421, 356.2003
39172, 172.7651, 356.5534, 272.397, 356.1829
39172, 172.7873, 356.529, 272.3604, 356.2242
39172, 172.8094, 356.4934, 272.3256, 356.2768
39172, 172.8317, 356.4722, 272.2817, 356.3123
39172, 172.8539, 356.4108, 272.2361, 356.3547
39172, 172.8761, 356.3914, 272.1889, 356.4033
39172, 172.8983, 356.4525, 272.1461, 356.4346
39172, 172.9205, 356.5897, 272.1241, 356.4528
39172, 172.9427, 356.7199, 272.1004, 356.4733
39172, 172.9668, 356.8179, 272.0695, 356.5133
39172, 172.9871, 356.9321, 272.0569, 356.5736
39172, 173.0093, 357.0527, 272.0441, 356.5637
39172, 173.0317, 357.1836, 272.0524, 356.5536
39172, 173.0541, 357.2482, 272.046, 356.5458
39172, 173.0789, 357.2626, 272.0358, 356.5137
39172, 173.1047, 357.2472, 272.0354, 356.4419
39172, 173.1246, 357.2263, 272.0544, 356.3811
39172, 173.145, 357.1634, 272.0702, 356.3499
39172, 173.1666, 357.1032, 272.0954, 356.3635
39172, 173.1871, 357.0873, 272.133, 356.3287
39172, 173.2093, 357.1212, 272.1837, 356.2904
39172, 173.2332, 357.1531, 272.2406, 356.268
39172, 173.2579, 357.1852, 272.3199, 356.2666
39172, 173.2805, 357.2198, 272.3948, 356.2674
39172, 173.3022, 357.2608, 272.4589, 356.2638
39172, 173.3228, 357.3116, 272.4844, 356.2908
39172, 173.3466, 357.332, 272.4846, 356.2798
39172, 173.3693, 357.3272, 272.4596, 356.2362
39172, 173.389, 357.27, 272.4169, 356.1867
39172, 173.4163, 357.1808, 272.3561, 356.1756
39172, 173.4382, 357.076, 272.287, 356.1686
39172, 173.458, 356.987, 272.2302, 356.1742
39172, 173.4821, 356.9145, 272.1883, 356.1732
39172, 173.5066, 356.8569, 272.155, 356.1592
39172, 173.5266, 356.8411, 272.122, 356.1638
39172, 173.5496, 356.8455, 272.1416, 356.1307
39172, 173.572, 356.8627, 272.1903, 356.1036
39172, 173.5945, 356.8972, 272.2532, 356.1283
39172, 173.6182, 356.9533, 272.3292, 356.1352
39172, 173.6396, 357.0737, 272.4193, 356.1082
39172, 173.6649, 357.2222, 272.5491, 356.1205
39172, 173.6869, 357.2563, 272.5892, 356.1608
39172, 173.709, 357.2253, 272.5939, 356.2272
39172, 173.7327, 357.153, 272.5542, 356.2898
39172, 173.7534, 357.0951, 272.433, 356.3356
39172, 173.7768, 357.029, 272.2662, 356.3325
39172, 173.7989, 356.9248, 272.0522, 356.3323
39172, 173.823, 356.7942, 271.8071, 356.3063
39172, 173.8453, 356.6828, 271.5597, 356.2885
39172, 173.8679, 356.6212, 271.3604, 356.2623
39172, 173.8889, 356.5637, 271.1752, 356.2126
39172, 173.913, 356.4909, 270.9799, 356.2007
39172, 173.9345, 356.4051, 270.788, 356.2131
39172, 173.957, 356.3887, 270.6042, 356.2337
39172, 173.978, 356.4336, 270.4313, 356.2622
39172, 173.9986, 356.5489, 270.2488, 356.2934
39172, 174.0276, 356.6746, 270.0758, 356.3027
39172, 174.0513, 356.7646, 269.9373, 356.2915
39172, 174.0751, 356.8447, 269.7852, 356.2991
39172, 174.0966, 356.9265, 269.6906, 356.3212
39172, 174.1174, 356.9932, 269.6317, 356.3045
39172, 174.1384, 357.0238, 269.6204, 356.2809
39172, 174.161, 356.9943, 269.6177, 356.294
39172, 174.1823, 356.9706, 269.6502, 356.2776
39172, 174.2094, 356.9771, 269.7094, 356.2777
39172, 174.2325, 356.9883, 269.7681, 356.2939
39172, 174.2541, 357.0032, 269.8468, 356.2643
39172, 174.2795, 356.9989, 269.9375, 356.1918
39172, 174.3013, 356.9636, 270.023, 356.1578
39172, 174.3227, 356.9132, 270.0938, 356.1558
39172, 174.3435, 356.8799, 270.1332, 356.1537
39172, 174.3643, 356.8829, 270.1725, 356.1152
39172, 174.3865, 356.8727, 270.1913, 356.0399
39172, 174.4087, 356.807, 270.1759, 355.9865
39172, 174.4352, 356.6996, 270.1099, 355.9715
39172, 174.456, 356.5774, 270.0159, 355.9286
39172, 174.4803, 356.507, 269.8882, 355.8773
39172, 174.5061, 356.4684, 269.72, 355.863
39172, 174.526, 356.4708, 269.5112, 355.8414
39172, 174.5492, 356.4663, 269.323, 355.7859
39172, 174.57, 356.4982, 269.1521, 355.7382
39172, 174.5927, 356.5402, 268.9924, 355.6941
39172, 174.6188, 356.53, 268.8631, 355.6835
39172, 174.6415, 356.5229, 268.7311, 355.6534
39172, 174.663, 356.5264, 268.6384, 355.5754
39172, 174.6832, 356.6262, 268.5512, 355.5197
39172, 174.7046, 356.7792, 268.4979, 355.4488
39172, 174.7245, 356.9482, 268.4731, 355.3917
39172, 174.7455, 357.0724, 268.4671, 355.3321
39172, 174.7668, 357.1464, 268.4664, 355.2754
39172, 174.7879, 357.1925, 268.4778, 355.2108
39172, 174.8087, 357.2714, 268.4774, 355.1544
39172, 174.8308, 357.3646, 268.4543, 355.1469
39172, 174.8555, 357.4349, 268.4016, 355.1329
39172, 174.8776, 357.4924, 268.3517, 355.1075
