SubjectID, Time, X, Y, Z
56974, 257.299, 114.4376, -0.263873, -60.43356
56974, 257.4089, 114.4347, -0.2638566, -60.45355
56974, 257.5089, 114.4308, -0.2638343, -60.47711
56974, 257.6198, 114.4258, -0.2638059, -60.50721
56974, 257.7312, 114.4202, -0.2637738, -60.54119
56974, 257.8421, 114.414, -0.2637388, -60.57842
56974, 257.954, 114.4072, -0.2637005, -60.61901
56974, 258.0547, 114.4008, -0.2636638, -60.65786
56974, 258.1668, 114.3929, -0.2636191, -60.70522
56974, 258.2764, 114.3841, -0.2635692, -60.75803
56974, 258.3867, 114.3744, -0.2635136, -60.81694
56974, 258.4979, 114.3636, -0.2634525, -60.88167
56974, 258.6086, 114.3521, -0.2633872, -60.95087
56974, 258.72, 114.3398, -0.2633175, -61.02474
56974, 258.8207, 114.3282, -0.2632514, -61.09477
56974, 258.9318, 114.3148, -0.2631754, -61.17534
56974, 259.0428, 114.3009, -0.2630966, -61.25885
56974, 259.154, 114.2866, -0.2630149, -61.3453
56974, 259.2543, 114.2733, -0.2629394, -61.42541
56974, 259.3655, 114.2581, -0.2628535, -61.51633
56974, 259.4763, 114.2428, -0.2627662, -61.60883
56974, 259.5763, 114.2286, -0.262686, -61.69388
56974, 259.6764, 114.2143, -0.2626045, -61.78031
56974, 259.7873, 114.1981, -0.2625128, -61.87749
56974, 259.9886, 114.1683, -0.2623434, -62.05705
56974, 260.1891, 114.1381, -0.2621715, -62.23932
56974, 260.5105, 114.0886, -0.2618905, -62.53719
56974, 260.9531, 114.019, -0.2614955, -62.95576
56974, 261.3857, 113.95, -0.2611034, -63.37117
56974, 261.4969, 113.9332, -0.261008, -63.47216
56974, 261.5976, 113.9195, -0.2609304, -63.55442
56974, 261.7082, 113.9061, -0.2608539, -63.63563
56974, 261.8083, 113.8951, -0.2607914, -63.70176
56974, 261.9084, 113.8852, -0.260735, -63.76152
56974, 262.0194, 113.8753, -0.2606788, -63.82116
56974, 262.1303, 113.8664, -0.2606286, -63.87443
