SubjectID, Time, X, Y, Z
34086, 20.68656, 350.5917, 3.714988, 357.6198
34086, 20.70656, 351.4305, 2.503936, 358.5065
34086, 20.72659, 351.4805, 2.499824, 358.4835
34086, 20.74491, 351.462, 2.513106, 358.4578
34086, 20.76178, 351.4389, 2.541389, 358.4543
34086, 20.78402, 351.3658, 2.5526, 358.4635
34086, 20.80363, 351.2684, 2.574029, 358.4427
34086, 20.82375, 351.1536, 2.600125, 358.4327
34086, 20.84559, 351.0485, 2.63757, 358.3941
34086, 20.87034, 350.9734, 2.661164, 358.3804
34086, 20.89227, 350.9335, 2.687571, 358.3335
34086, 20.91443, 350.9032, 2.705893, 358.2896
34086, 20.93204, 350.9026, 2.738158, 358.24
34086, 21.22032, 350.7484, 3.309074, 357.6949
34086, 21.23848, 350.743, 3.3124, 357.6897
34086, 21.25994, 350.6938, 3.329697, 357.6762
34086, 21.28424, 350.6389, 3.358429, 357.6808
34086, 21.30379, 350.5856, 3.38914, 357.6929
34086, 21.3275, 350.5135, 3.418412, 357.6626
34086, 21.34821, 350.4462, 3.436321, 357.6437
34086, 21.37804, 350.3761, 3.444123, 357.6554
34086, 21.39871, 350.3189, 3.44086, 357.6549
34086, 21.41919, 350.268, 3.448609, 357.6515
34086, 21.4409, 350.1898, 3.442935, 357.668
34086, 21.46314, 350.0975, 3.417614, 357.703
34086, 21.48541, 350.0402, 3.411571, 357.7281
34086, 21.50757, 350.0168, 3.390241, 357.7416
34086, 21.52974, 350.0248, 3.36301, 357.756
34086, 21.5538, 350.0504, 3.328263, 357.7889
34086, 21.57419, 350.0995, 3.279895, 357.8199
34086, 21.59642, 350.1455, 3.238573, 357.8126
34086, 21.61864, 350.1992, 3.18234, 357.8277
34086, 21.64079, 350.2649, 3.121165, 357.88
34086, 21.66304, 350.3247, 3.063639, 357.9167
34086, 21.68523, 350.4025, 2.996385, 357.9432
34086, 21.70787, 350.4389, 2.930276, 357.9351
34086, 21.73111, 350.5069, 2.856141, 357.9625
34086, 21.75609, 350.571, 2.78292, 358.0164
34086, 21.77446, 350.6437, 2.69081, 358.0443
34086, 21.79972, 350.701, 2.641815, 358.0623
34086, 21.8232, 350.7744, 2.568992, 358.0985
34086, 21.84796, 350.8767, 2.494843, 358.1376
34086, 21.86851, 350.9961, 2.442544, 358.1732
34086, 21.8912, 351.1152, 2.37411, 358.2006
34086, 21.91313, 351.2712, 2.294492, 358.2232
34086, 21.93363, 351.4238, 2.219114, 358.2431
34086, 21.9549, 351.5782, 2.112751, 358.2679
34086, 21.97764, 351.7652, 1.994255, 358.2814
34086, 21.99871, 351.9526, 1.867263, 358.2843
34086, 22.02082, 352.1184, 1.738222, 358.3052
34086, 22.04461, 352.2795, 1.614989, 358.3436
34086, 22.06528, 352.4004, 1.494998, 358.4004
34086, 22.08743, 352.523, 1.377155, 358.4662
34086, 22.10969, 352.6343, 1.280019, 358.5025
34086, 22.13533, 352.7563, 1.192796, 358.5232
34086, 22.15703, 352.9018, 1.126963, 358.5672
34086, 22.1781, 353.0037, 1.054282, 358.6024
34086, 22.19901, 353.1009, 1.010685, 358.6502
34086, 22.22307, 353.1638, 0.9703594, 358.6721
34086, 22.24341, 353.2129, 0.9338629, 358.714
34086, 22.26506, 353.2314, 0.8903511, 358.7428
34086, 22.28858, 353.2302, 0.8493236, 358.7328
34086, 22.30984, 353.2279, 0.8137597, 358.7531
34086, 22.3334, 353.2304, 0.7809972, 358.7869
34086, 22.35392, 353.2189, 0.7543597, 358.8278
34086, 22.37611, 353.219, 0.7460115, 358.826
34086, 22.39832, 353.2075, 0.7438136, 358.8368
34086, 22.42055, 353.2111, 0.7375544, 358.8674
34086, 22.44593, 353.2285, 0.7561917, 358.8799
34086, 22.46715, 353.2312, 0.7741239, 358.8731
34086, 22.4922, 353.2701, 0.7974314, 358.8678
34086, 22.51192, 353.2827, 0.8659592, 358.8467
34086, 22.53188, 353.302, 0.9494582, 358.8463
34086, 22.55409, 353.3079, 1.051313, 358.8473
34086, 22.57633, 353.3102, 1.177164, 358.8339
34086, 22.59852, 353.3083, 1.327097, 358.8206
34086, 22.62072, 353.3102, 1.485094, 358.8198
34086, 22.643, 353.3261, 1.6213, 358.8167
34086, 22.66523, 353.3138, 1.746493, 358.7883
34086, 22.68917, 353.3322, 1.859812, 358.7592
34086, 22.70972, 353.3416, 1.954652, 358.7512
34086, 22.73179, 353.3842, 2.037779, 358.7502
34086, 22.75408, 353.4421, 2.089528, 358.7581
34086, 22.77627, 353.5262, 2.129807, 358.7619
34086, 22.79851, 353.5996, 2.125067, 358.7794
34086, 22.82063, 353.6516, 2.098089, 358.7917
34086, 22.84376, 353.6789, 2.024438, 358.7692
34086, 22.86776, 353.7042, 1.937145, 358.7828
34086, 22.88868, 353.718, 1.844514, 358.8423
34086, 22.91048, 353.7469, 1.737993, 358.8601
34086, 22.93427, 353.7631, 1.608177, 358.8788
34086, 22.95819, 353.7993, 1.469422, 358.9388
34086, 22.98297, 353.8394, 1.290863, 358.9992
34086, 23.00398, 353.8776, 1.141641, 359.027
34086, 23.02476, 353.8995, 0.985505, 359.0608
34086, 23.04201, 353.9156, 0.8381786, 359.103
34086, 23.06237, 353.9267, 0.6771044, 359.1489
34086, 23.0846, 353.9383, 0.5189871, 359.1614
34086, 23.10681, 353.9377, 0.3680408, 359.1713
34086, 23.13038, 353.9238, 0.2128481, 359.1969
34086, 23.15659, 353.8535, 0.03613381, 359.206
34086, 23.17348, 353.8201, 359.9007, 359.1923
34086, 23.19563, 353.8093, 359.7846, 359.2123
34086, 23.21785, 353.8176, 359.6913, 359.2401
34086, 23.24007, 353.848, 359.6487, 359.2689
34086, 23.26375, 353.8622, 359.6046, 359.2598
34086, 23.28469, 353.8852, 359.5797, 359.2691
34086, 23.30673, 353.9114, 359.5598, 359.265
34086, 23.32892, 353.9324, 359.5373, 359.2544
34086, 23.3545, 353.965, 359.5, 359.2686
34086, 23.37413, 354.0288, 359.4777, 359.2921
34086, 23.39754, 354.0761, 359.4268, 359.3182
34086, 23.41951, 354.1227, 359.3724, 359.3461
34086, 23.44215, 354.1615, 359.3102, 359.3851
34086, 23.4645, 354.1944, 359.2433, 359.4127
34086, 23.48669, 354.188, 359.1766, 359.4351
34086, 23.51135, 354.1731, 359.1403, 359.4551
34086, 23.53482, 354.1643, 359.1192, 359.4764
34086, 23.55403, 354.1438, 359.1273, 359.4995
34086, 23.57685, 354.1453, 359.1479, 359.542
34086, 23.59916, 354.1444, 359.1801, 359.5571
34086, 23.6215, 354.136, 359.2049, 359.5507
34086, 23.64367, 354.1305, 359.267, 359.5532
34086, 23.66821, 354.1046, 359.3099, 359.5799
34086, 23.68953, 354.1185, 359.3661, 359.5774
34086, 23.7102, 354.1057, 359.4321, 359.5391
34086, 23.73236, 354.0666, 359.4927, 359.5571
34086, 23.75658, 354.0441, 359.5362, 359.5855
34086, 23.7768, 354.0553, 359.586, 359.5806
34086, 23.80178, 354.0725, 359.6256, 359.5577
34086, 23.82274, 354.1167, 359.6569, 359.5565
34086, 23.84575, 354.1243, 359.6784, 359.5738
34086, 23.87098, 354.1403, 359.7182, 359.5754
34086, 23.89145, 354.1458, 359.7338, 359.5875
34086, 23.91537, 354.1556, 359.756, 359.5931
34086, 23.93918, 354.1287, 359.7641, 359.6325
34086, 23.95765, 354.0644, 359.7982, 359.6509
34086, 23.97625, 353.9883, 359.8483, 359.6224
34086, 23.99531, 353.9368, 359.8898, 359.6331
34086, 24.02069, 353.8853, 359.9454, 359.6424
34086, 24.04232, 353.8588, -0.001567256, 359.6284
34086, 24.06804, 353.8726, 0.03286647, 359.6039
34086, 24.08505, 353.8635, 0.09749953, 359.5616
34086, 24.10847, 353.8639, 0.1563663, 359.5484
34086, 24.13052, 353.8777, 0.2103074, 359.5135
34086, 24.15078, 353.9069, 0.2545849, 359.4903
34086, 24.17301, 353.9402, 0.294058, 359.4424
34086, 24.19521, 353.9934, 0.3252576, 359.4167
34086, 24.21968, 354.042, 0.3533332, 359.3896
34086, 24.23962, 354.0741, 0.3871467, 359.3705
34086, 24.26184, 354.1194, 0.41401, 359.3602
34086, 24.28404, 354.1505, 0.4344942, 359.3447
34086, 24.30634, 354.1563, 0.4565977, 359.3236
34086, 24.32849, 354.1554, 0.4868032, 359.3037
34086, 24.35078, 354.161, 0.5216964, 359.2733
34086, 24.37449, 354.1469, 0.5655696, 359.2529
34086, 24.39559, 354.1455, 0.6066447, 359.2555
34086, 24.41953, 354.1332, 0.6355389, 359.2298
34086, 24.44135, 354.1353, 0.6871375, 359.2405
34086, 24.46406, 354.1301, 0.6974401, 359.2455
34086, 24.48664, 354.1644, 0.7122167, 359.2085
34086, 24.51196, 354.1768, 0.7360007, 359.2036
34086, 24.5371, 354.1949, 0.7545387, 359.2176
34086, 24.55834, 354.2261, 0.7518995, 359.2168
34086, 24.57566, 354.2582, 0.7490807, 359.2262
34086, 24.59705, 354.2656, 0.7344339, 359.2295
34086, 24.61923, 354.2564, 0.7187451, 359.2834
34086, 24.6414, 354.2553, 0.687633, 359.3097
34086, 24.66365, 354.2375, 0.661678, 359.3316
34086, 24.68587, 354.2234, 0.6079507, 359.3773
34086, 24.70811, 354.1984, 0.5782225, 359.4099
34086, 24.73181, 354.1624, 0.5607383, 359.4555
34086, 24.75417, 354.1149, 0.5316877, 359.4699
34086, 24.77552, 354.0576, 0.53206, 359.49
34086, 24.79747, 354.0082, 0.5122865, 359.538
34086, 24.81924, 353.9669, 0.4872595, 359.5623
34086, 24.84149, 353.9401, 0.4846494, 359.5879
34086, 24.86403, 353.9253, 0.4810919, 359.6314
34086, 24.88945, 353.9064, 0.4698871, 359.6508
34086, 24.91178, 353.8937, 0.4863101, 359.6705
34086, 24.93723, 353.8812, 0.4986427, 359.6996
34086, 24.95567, 353.88, 0.5156655, 359.7122
34086, 24.9766, 353.8878, 0.543109, 359.7248
34086, 24.99999, 353.9059, 0.5602276, 359.7365
34086, 25.02249, 353.9288, 0.5797881, 359.7649
34086, 25.04, 353.9348, 0.5906305, 359.7827
34086, 25.06267, 353.9445, 0.6097801, 359.7757
34086, 25.08644, 353.9591, 0.6262332, 359.7866
34086, 25.11137, 353.9598, 0.6511964, 359.7778
34086, 25.13252, 353.9246, 0.6835403, 359.7767
34086, 25.15376, 353.8849, 0.7252236, 359.7733
34086, 25.17327, 353.8492, 0.7700766, 359.7666
34086, 25.19549, 353.8268, 0.8166195, 359.7608
34086, 25.21769, 353.7827, 0.856843, 359.7572
34086, 25.24386, 353.7602, 0.8844604, 359.7685
34086, 25.26891, 353.7463, 0.9054177, 359.7633
34086, 25.28597, 353.7269, 0.9271999, 359.7372
