ImageFile,TextFile,thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,Texts,Length,Color,Sequence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,unixTime_Intro_Start,unixTime_SUDSStart,Introduction.started,image.started,Introduction.stopped,unixTime_Intro_End,unixTime_SUDSRoutine_Start,SUDS_Rating_0.started,SUDS_rate.started,slider.started,key_resp.started,image_3.started,text.started,text_2.started,SUDS_Rating_0.stopped,trials.slider.response,trials.slider.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Result,unixTime_SUDSRoutine_End,BTstart.started,BTintro.started,text_3.started,BTintro.stopped,text_3.stopped,BTstart.stopped,unixTime_BTRoutine End,unixTime_SUDSEnd,unixTime_BTEnd,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,1732525988.9013057,1732525989.1724427,0.07415729999956966,0.07869690000006813,5.013025399999606,1732525994.470745,,,,,,,,,,,,,,,,,,,,,,,,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
VeryCalm.png,     Very Calm (0) = ,0,0,0,19.753086419753085,2.729446700000153,space,3.851263000000472,None,,,,,0,0,0,0,,,,,5.2452322999997705,,,,,,,,1732525994.6670678,5.233901699999478,5.2452322999997705,5.2452322999997705,5.2452322999997705,5.2452322999997705,5.2452322999997705,5.2452322999997705,9.098247099999753,19.753086419753085,2.729446700000153,space,3.851263000000472,None,20,1732525998.5550916,,,,,,,,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
VeryAnxious.png,Very Anxious (10) = ,1,1,0,64.73765432098766,4.348124200000711,space,5.904087099999742,None,,,,,0,1,1,1,,,,,9.31314089999978,,,,,,,,1732525998.748881,9.296449699999357,9.31314089999978,9.31314089999978,9.31314089999978,9.31314089999978,9.31314089999978,9.31314089999978,15.22986949999995,64.73765432098766,4.348124200000711,space,5.904087099999742,None,65,1732526004.6866298,,,,,,,,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
,,0,0,0,,,,,,bt1.png,5,grey,1,,,,,0,0,0,0,15.361768599999778,,,,,,,,,,,,,,,,,,,,,,,,15.35245649999979,15.361768599999778,15.361768599999778,20.444849299999987,20.444849299999987,20.346034599999257,1732526009.8023615,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
,,1,1,0,,,,,,bt2.png,30,grey,2,,,,,0,1,1,1,20.444849299999987,,,,,,,,,,,,,,,,,,,,,,,,20.433904999999868,20.444849299999987,20.444849299999987,50.54597119999926,50.54597119999926,50.43025959999977,1732526039.8854423,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
,,2,2,0,,,,,,bt3.png,5,grey,3,,,,,0,2,2,2,50.54597119999926,,,,,,,,,,,,,,,,,,,,,,,,50.54007659999934,50.54597119999926,50.54597119999926,55.66267059999973,55.66267059999973,55.530306599999676,1732526044.985122,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
,,3,3,0,,,,,,bt4.png,30,steelblue,4,,,,,0,3,3,3,55.66267059999973,,,,,,,,,,,,,,,,,,,,,,,,55.6506174999995,55.66267059999973,55.66267059999973,85.71063199999935,85.71063199999935,85.66319219999968,1732526075.1161704,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
,,4,4,0,,,,,,bt5.png,5,grey,5,,,,,0,4,4,4,85.71063199999935,,,,,,,,,,,,,,,,,,,,,,,,85.70184979999976,85.71063199999935,85.71063199999935,90.74391089999972,90.74391089999972,90.69657769999958,1732526080.1493917,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
,,5,5,0,,,,,,bt6.png,3,grey,6,,,,,0,5,5,5,90.74391089999972,,,,,,,,,,,,,,,,,,,,,,,,90.7331508999996,90.74391089999972,90.74391089999972,93.74539129999994,93.74539129999994,93.72971309999957,1732526083.181914,,,sangsu,001,2024-11-25_18h13.01.068,SUDS_rate,2024.2.4,60.80184253910443,2024-11-25 18h13.09.531455 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732526083.181914,1732526083.181914,,,,,,,,
