SubjectID, Time, Event
63378, 322.2372, Start
61118, 322.2372, Start
60092, 322.2372, Start
63022, 322.2372, Start
60874, 322.2372, Start
64904, 322.2372, Start
62556, 322.2372, Start
64826, 322.2372, Start
61548, 322.2372, Start
62638, 322.2372, Start
61426, 322.2372, Start
60196, 322.2372, Start
62578, 322.2372, Start
60268, 322.2372, Start
60454, 322.2372, Start
63858, 322.2372, Start
61736, 322.2372, Start
65132, 322.2372, Start
63102, 322.2372, Start
62628, 322.2372, Start
60408, 322.2372, Start
64116, 322.2372, Start
62622, 322.2372, Start
61796, 322.2372, Start
65030, 322.2372, Start
60712, 322.2372, Start
62154, 322.2372, Start
58258, 322.2372, Start
58138, 322.2372, Start
65058, 322.2372, Start
65850, 322.2372, Start
65080, 322.2372, Start
62986, 322.2372, Start
61848, 322.2372, Start
64882, 322.2372, Start
64940, 322.2372, Start
65948, 322.2372, Start
63228, 322.2372, Start
